filename	sample_id	sample_type	ATTRIBUTE_group	ATTRIBUTE_replicate	source_taxon
20260424_CVOL_bk_mapp_01.mzML	bk_mapp_01	blank	NA	NA	NA
20260424_CVOL_Group_01_11A.mzML	11A	sample	11	A	ND
20260424_CVOL_Group_01_11B.mzML	11B	sample	11	B	ND
20260424_CVOL_Group_01_11C.mzML	11C	sample	11	C	ND
20260424_CVOL_Group_01_11D.mzML	11D	sample	11	D	ND
20260424_CVOL_Group_01_4A.mzML	4A	sample	4	A	ND
20260424_CVOL_Group_01_4B.mzML	4B	sample	4	B	ND
20260424_CVOL_Group_01_4C.mzML	4C	sample	4	C	ND
20260424_CVOL_Group_01_4D.mzML	4D	sample	4	D	ND
20260424_CVOL_Group_01_8A.mzML	8A	sample	8	A	ND
20260424_CVOL_Group_01_8B.mzML	8B	sample	8	B	ND
20260424_CVOL_Group_01_8C.mzML	8C	sample	8	C	ND
20260424_CVOL_Group_01_8D.mzML	8D	sample	8	D	ND
20260424_CVOL_Group_01_blank.mzML	blank	blank	NA	NA	NA
20260424_CVOL_Group_01_QC_01.mzML	QC_01	QC	NA	NA	NA
20260424_CVOL_Group_01_QC_02.mzML	QC_02	QC	NA	NA	NA
20260424_CVOL_Group_01_QC_03.mzML	QC_03	QC	NA	NA	NA
20260424_CVOL_Group_01_QC_04.mzML	QC_04	QC	NA	NA	NA
20260424_CVOL_Group_01_QC_05.mzML	QC_05	QC	NA	NA	NA
20260424_CVOL_Group_01_QC_06.mzML	QC_06	QC	NA	NA	NA
20260424_CVOL_Group_01_WT_A.mzML	WT_A	sample	WT	A	ND
20260424_CVOL_Group_01_WT_B.mzML	WT_B	sample	WT	B	ND
20260424_CVOL_Group_01_WT_C.mzML	WT_C	sample	WT	C	ND
20260424_CVOL_Group_01_WT_D.mzML	WT_D	sample	WT	D	ND
