row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260424_CVOL_Group_01_11A.mzML Peak area,20260424_CVOL_Group_01_11B.mzML Peak area,20260424_CVOL_Group_01_11C.mzML Peak area,20260424_CVOL_Group_01_11D.mzML Peak area,20260424_CVOL_Group_01_4A.mzML Peak area,20260424_CVOL_Group_01_4B.mzML Peak area,20260424_CVOL_Group_01_4C.mzML Peak area,20260424_CVOL_Group_01_4D.mzML Peak area,20260424_CVOL_Group_01_8A.mzML Peak area,20260424_CVOL_Group_01_8B.mzML Peak area,20260424_CVOL_Group_01_8C.mzML Peak area,20260424_CVOL_Group_01_8D.mzML Peak area,20260424_CVOL_Group_01_QC_01.mzML Peak area,20260424_CVOL_Group_01_QC_02.mzML Peak area,20260424_CVOL_Group_01_QC_03.mzML Peak area,20260424_CVOL_Group_01_QC_04.mzML Peak area,20260424_CVOL_Group_01_QC_05.mzML Peak area,20260424_CVOL_Group_01_QC_06.mzML Peak area,20260424_CVOL_Group_01_WT_A.mzML Peak area,20260424_CVOL_Group_01_WT_B.mzML Peak area,20260424_CVOL_Group_01_WT_C.mzML Peak area,20260424_CVOL_Group_01_WT_D.mzML Peak area,20260424_CVOL_Group_01_blank.mzML Peak area,20260424_CVOL_bk_mapp_01.mzML Peak area,Unnamed: 37
1,158.00301815286383,0.39484534,height,,,,,,,,,,,273921.8,278127.47,258041.36,293301.88,288256.16,269028.84,293622.44,268203.16,270815.8,260503.62,268952.34,253090.64,277325.1,282444.9,270874.1,282798.4,284477.06,257130.72,273863.25,265469.16,278803.84,261918.33,277758.94,404881.97,
2,224.0760687192321,0.40115556,height,,,,,,,,,,,527125.7,523312.2,517147.75,520474.56,541031.2,563208.9,558111.06,542367.9,537303.56,531791.06,533580.06,498919.53,534722.75,547615.7,559205.2,536993.0,537191.1,538738.06,526695.94,533057.94,520910.97,549527.25,502460.38,545392.2,
3,266.1230192263711,0.39829108,height,,,,,,,,,,,911855.75,977129.4,956455.75,922863.3,982458.2,972271.2,1015347.2,953851.25,941734.8,1003848.44,1022017.94,902545.1,977994.94,1041229.75,955242.25,994728.6,977391.3,1017230.5,957221.56,985080.0,984010.5,953497.25,956383.3,1031954.06,
4,160.18084317334657,0.44229648,height,,,,,,,,,,,491302.7,129362.49,561596.06,118059416.0,584244.2,508023.47,478218.6,2362897.0,118979330.0,451234.75,119570630.0,532642.9,59200612.0,95573670.0,446664.0,386877.22,104088850.0,111193180.0,558862.5,661013.0,95889010.0,175388.34,0.0,0.0,
5,199.0131571064544,0.4703219,height,,,,,,,,,,,656759.2,639158.75,790800.25,777127.06,774066.3,750972.56,728696.2,732820.25,1025388.5,689315.25,827559.0,704648.75,888793.0,861137.2,800378.25,936651.25,786445.25,791003.94,786017.06,776005.06,784315.8,757451.5,1038149.5,330453.8,
6,145.966088920367,0.47070742,height,,,,,,,,,,,1135535.4,1115944.4,1137694.6,1191277.6,1041145.5,1096515.8,1101601.2,1227023.1,1219072.0,1095078.9,1093407.8,1192185.0,1198909.9,1224344.0,1194445.8,1188517.5,1263107.1,1198953.9,1182599.6,1169104.6,1070920.6,1174817.4,1463891.2,566517.25,
7,220.03926295805977,0.475112,height,,,,,,,,,,,925646.25,831924.6,949710.06,959903.75,827308.44,941373.3,944318.25,1129580.5,848239.1,952475.8,1276646.1,911588.75,1052402.1,994941.3,1324144.9,843307.1,1030921.06,943378.4,1229713.5,1182947.4,973725.0,1256317.4,1299741.0,367977.78,
8,202.01175881989727,0.47110495,height,,,,,,,,,,,574790.3,589439.94,538766.5,661335.56,578020.94,550760.3,512202.47,559264.3,671252.5,520381.72,634018.9,548951.44,725082.56,732021.75,711914.56,721430.3,619050.56,529413.44,775646.1,734922.9,773607.5,546767.5,842552.75,302398.7,
9,155.00286979511992,0.4722139,height,,,,,,,,,,,3531559.5,3791856.5,3756278.8,4123281.5,3712907.8,4040673.2,3751744.8,3543767.5,4287096.0,3912913.2,4544127.0,3840807.0,4163863.0,3854628.0,4331127.5,4323313.0,3911528.5,3793693.0,3864150.0,3797239.0,4113223.5,4136323.8,4700689.0,259346.22,
10,214.04002046215464,0.47197726,height,,,,,,,,,,,455972.56,498146.03,492304.03,553810.44,439740.7,457010.03,431220.8,517997.56,597538.2,386758.12,465145.44,460285.06,497583.3,533484.2,578977.06,470424.53,478836.8,439799.75,644853.4,549835.9,463657.7,492027.16,663966.5,237022.38,
