#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
168	spectra_filtered.mgf	*..*		:12574	12574	-1	0	267.109	1	0.993404	0	0	104.818	6799650.0	3-DEAZAADENOSINE M+H	MCE-DRUG	temp/spectra_filtered.mgf168	-1	MCE-DRUG.mgf	3725.28				9	0	0.995056	268.104	0	CCMSLIB00010142298
192	spectra_filtered.mgf	*..*		:408	885	-1	0	166.083	1	0.99144	0	0	62554700.0	10782000.0	Spectral Match to DL-Phenylalanine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf192	-1	GNPS-NIST14-MATCHES.mgf	19.8449				6	0	0.0032959	166.086	0	CCMSLIB00003135371
234	spectra_filtered.mgf	*..*		:9865	9865	-1	0	205.0	1	0.989629	0	0	58861400.0	1054670.0	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid [M+H]+	MASSBANK	temp/spectra_filtered.mgf234	-1	MASSBANK.mgf	474.065				7	0	0.0971832	205.097	0	CCMSLIB00000220666
230	spectra_filtered.mgf	*..*		:1666	50907	-1	0	298.097	1	0.989302	0	0	109.2	2053220.0	5'-METHYLTHIOADENOSINE M+H	MONA	temp/spectra_filtered.mgf230	-1	MONA.mgf	0.614248				6	0	0.000183105	298.097	0	CCMSLIB00006679936
597	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.987976	0	0	4896590.0	111858000.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf597	-1	BERKELEY-LAB.mgf	0.293995				9	0	0.00012207	415.212	0	CCMSLIB00010113136
380	spectra_filtered.mgf	*..*		:1076	2348	-1	0	135.117	1	0.982558	0	0	916630.0	263208.0	Spectral Match to Amantadine from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf380	-1	GNPS-NIST14-MATCHES.mgf	0.790511				6	0	0.000106812	135.117	0	CCMSLIB00003136835
623	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.979932	0	0	4896590.0	2133100.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf623	-1	BERKELEY-LAB.mgf	1.32298				6	0	0.000549316	415.211	0	CCMSLIB00010113136
23	spectra_filtered.mgf	*..*		:1	29	-1	0	182.985	1	0.971684	0	0	2.5763	2951360.0	4-Hydroxyphenylpyruvic_acid M+H	WINE-DB-ORBITRAP	temp/spectra_filtered.mgf23	-1	WINE-DB-ORBITRAP.mgf	10902.8				8	0	1.99506	180.99	0	CCMSLIB00013639059
543	spectra_filtered.mgf	*..*		:22024	22470	-1	0	415.212	1	0.970848	0	0	5047300.0	2521470.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:205060 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf543	-1	BERKELEY-LAB.mgf	1.17598				6	0	0.000488281	415.212	0	CCMSLIB00010124460
139	spectra_filtered.mgf	*..*		:4331	4331	-1	0	308.091	1	0.970546	0	0	158683000.0	389988.0	Glutathione - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/spectra_filtered.mgf139	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	0.297161				13	0	9.15527e-05	308.091	0	CCMSLIB00006119972
233	spectra_filtered.mgf	*..*		:110	2801	-1	0	188.071	1	0.969446	0	0	1556410.0	1357070.0	Spectral Match to L-Tryptophan from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf233	-1	GNPS-NIST14-MATCHES.mgf	2.19059				6	0	0.000411987	188.071	0	CCMSLIB00003137288
630	spectra_filtered.mgf	*..*		:1	487	-1	0	288.253	1	0.968568	0	0	293681000.0	257601.0	Lauryl diethanolamide M+H	CASMI	temp/spectra_filtered.mgf630	-1	CASMI.mgf	0.952837				6	0	0.000274658	288.253	0	CCMSLIB00000579850
1017	spectra_filtered.mgf	*..*		:8563	283	-1	0	185.081	0	0.967276	0	0	9596610.0	1429750.0	Asperlactone M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf1017	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	1037.14				8	0	0.191956	184.889	0	CCMSLIB00011906249
1106	spectra_filtered.mgf	*..*		:4508	4130	-1	0	531.406	1	0.963316	0	0	1898880.0	1355180.0	Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1106	-1	GNPS-NIST14-MATCHES.mgf	4.24967				9	0	0.0022583	531.408	0	CCMSLIB00003138617
161	spectra_filtered.mgf	*..*		:1941	10236	-1	0	182.081	1	0.948946	0	0	3883160.0	1097880.0	Tyrosine - 50.00 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf161	-1	GNPS-LIBRARY.mgf	2.09506				6	0	0.00038147	182.081	0	CCMSLIB00005885094
518	spectra_filtered.mgf	*..*		:1	29	-1	0	182.985	0	0.94893	0	0	2.5763	1097490.0	4-Hydroxyphenylpyruvic_acid M+H	WINE-DB-ORBITRAP	temp/spectra_filtered.mgf518	-1	WINE-DB-ORBITRAP.mgf	836.217				8	0	0.153015	183.138	0	CCMSLIB00013639059
643	spectra_filtered.mgf	*..*		:34	145	-1	0	415.282	1	0.948436	0	0	5127390.0	763894.0	DEOXYCHOLATE M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf643	-1	GNPS-MSMLS.mgf	169.827				6	0	0.0705261	415.211	0	CCMSLIB00005463896
127	spectra_filtered.mgf	*..*		:1666	50907	-1	0	298.097	1	0.948304	0	0	109.2	920056.0	5'-METHYLTHIOADENOSINE M+H	MONA	temp/spectra_filtered.mgf127	-1	MONA.mgf	0.716623				6	0	0.000213623	298.097	0	CCMSLIB00006679936
56	spectra_filtered.mgf	*..*		:27	234	-1	0	146.165	1	0.944349	0	0	13543900.0	23299100.0	SPERMIDINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf56	-1	GNPS-MSMLS.mgf	1.46152				6	0	0.000213623	146.165	0	CCMSLIB00005463985
159	spectra_filtered.mgf	*..*		:1196	9491	-1	0	146.165	1	0.942395	0	0	1461540.0	2468650.0	SPERMIDINE - 40.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf159	-1	GNPS-LIBRARY.mgf	1360.68				6	0	0.198883	145.966	0	CCMSLIB00005884349
163	spectra_filtered.mgf	*..*		:1196	9491	-1	0	146.165	1	0.940685	0	0	1461540.0	2553460.0	SPERMIDINE - 40.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf163	-1	GNPS-LIBRARY.mgf	1360.68				6	0	0.198883	145.966	0	CCMSLIB00005884349
142	spectra_filtered.mgf	*..*		:1196	9491	-1	0	146.165	1	0.940464	0	0	1461540.0	3033770.0	SPERMIDINE - 40.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf142	-1	GNPS-LIBRARY.mgf	1.25273				6	0	0.000183105	146.165	0	CCMSLIB00005884349
854	spectra_filtered.mgf	*..*		:406	130	-1	0	371.1	1	0.939467	0	0	2493310.0	324013.0	CAMPTOTHECIN M+Na	LEAFBOT	temp/spectra_filtered.mgf854	-1	LEAFBOT.mgf	3.28942				9	0	0.0012207	371.101	0	CCMSLIB00011427902
116	spectra_filtered.mgf	*..*		:1196	9491	-1	0	146.165	1	0.939285	0	0	1461540.0	2623370.0	SPERMIDINE - 40.0 eV M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf116	-1	GNPS-LIBRARY.mgf	1360.78				6	0	0.198898	145.966	0	CCMSLIB00005884349
6	spectra_filtered.mgf	*..*		:27	234	-1	0	146.165	1	0.938083	0	0	13543900.0	7035440.0	SPERMIDINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf6	-1	GNPS-MSMLS.mgf	1360.78				6	0	0.198898	145.966	0	CCMSLIB00005463985
924	spectra_filtered.mgf	*..*		:12077	12523	-1	0	637.302	1	0.936633	0	0	4882030.0	933350.0	AC1L1X1Z CollisionEnergy:102040 M+Na	BERKELEY-LAB	temp/spectra_filtered.mgf924	-1	BERKELEY-LAB.mgf	5.6505				17	0	0.00360107	637.306	0	CCMSLIB00010114511
153	spectra_filtered.mgf	*..*		:209	5583	-1	0	193.068	1	0.932732	0	0	1634260.0	404991.0	Spectral Match to S-(5'-Adenosyl)-L-homocysteine from NIST14 M+2H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf153	-1	GNPS-NIST14-MATCHES.mgf	0.316133				6	0	6.10352e-05	193.068	0	CCMSLIB00003140070
780	spectra_filtered.mgf	*..*		:406	130	-1	0	371.1	1	0.929912	0	0	2493310.0	233168.0	CAMPTOTHECIN M+Na	LEAFBOT	temp/spectra_filtered.mgf780	-1	LEAFBOT.mgf	3.28942				11	0	0.0012207	371.101	0	CCMSLIB00011427902
1058	spectra_filtered.mgf	*..*		:3144	709	-1	0	338.23	1	0.928831	0	0	825717.0	233034.0	3-hydroxylauroyl valine [M+Na]+ [M+Na]+	3-HYDROXY-ACYL-AMIDES-LIBRARY	temp/spectra_filtered.mgf1058	-1	3-HYDROXY-ACYL-AMIDES-LIBRARY.mgf	329.961				9	0	0.111603	338.342	0	CCMSLIB00013641540
966	spectra_filtered.mgf	*..*		:406	130	-1	0	371.1	1	0.924525	0	0	2493310.0	328321.0	CAMPTOTHECIN M+Na	LEAFBOT	temp/spectra_filtered.mgf966	-1	LEAFBOT.mgf	3.28942				11	0	0.0012207	371.101	0	CCMSLIB00011427902
