cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:11	ATTRIBUTE_group:GNPSGROUP:4	ATTRIBUTE_group:GNPSGROUP:8	ATTRIBUTE_group:GNPSGROUP:WT	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:A	ATTRIBUTE_replicate:GNPSGROUP:B	ATTRIBUTE_replicate:GNPSGROUP:C	ATTRIBUTE_replicate:GNPSGROUP:D	ATTRIBUTE_mutant:GNPSGROUP:nan	ATTRIBUTE_mutant:GNPSGROUP:xthA1	ATTRIBUTE_mutant:GNPSGROUP:xthB1	ATTRIBUTE_mutant:GNPSGROUP:xthA2	ATTRIBUTE_mutant:GNPSGROUP:WT
1	158.00301815286383	0.39484534	0	275848.1275	279777.65	263340.6	270013.645	0	276714.2525	268282.27249999996	274854.995	269128.5025	0	275848.1275	279777.65	263340.6	270013.645
2	224.0760687192321	0.40115556	0	522015.0525	551179.765	525398.5525	532548.0249999999	0	533039.1	537842.525	532437.46	527822.31	0	522015.0525	551179.765	525398.5525	532548.0249999999
3	266.1230192263711	0.39829108	0	942076.05	980981.9624999999	967536.57	969952.3275	0	948317.5775	984582.26	994457.8474999999	933189.225	0	942076.05	980981.9624999999	967536.57	969952.3275
4	160.18084317334657	0.44229648	0	29810419.3125	983345.8175	59883459.4125	24321068.46	0	30153434.85	437408.4275	54124863.665	30282586.06	0	29810419.3125	983345.8175	59883459.4125	24321068.46
5	199.0131571064544	0.4703219	0	715961.315	746638.8275	811727.875	775947.355	0	810557.765	713862.905	782842.8125	743011.89	0	715961.315	746638.8275	811727.875	775947.355
6	145.966088920367	0.47070742	0	1145113.0	1116571.4	1149935.925	1149360.55	0	1144588.125	1119160.925	1100906.05	1196325.775	0	1145113.0	1116571.4	1149935.925	1149360.55
7	220.03926295805977	0.475112	0	916796.165	960645.1225	997237.4375	1160675.825	0	957726.8225	977180.275	1036099.8525	1064347.6	0	916796.165	960645.1225	997237.4375	1160675.825
8	202.01175881989727	0.47110495	0	591083.075	550062.0025	593651.14	707736.0	0	649927.46	598876.215	614648.8425	579079.7	0	591083.075	550062.0025	593651.14	707736.0
9	155.00286979511992	0.4722139	0	3800744.075	3762273.325	4146235.8	3977734.075	0	3848928.325	3885670.475	4041343.525	3911044.95	0	3800744.075	3762273.325	4146235.8	3977734.075
10	214.04002046215464	0.47197726	0	500058.265	461492.2725	477431.70499999996	537593.54	0	534526.215	472937.52	463081.9925	506030.055	0	500058.265	461492.2725	477431.70499999996	537593.54
11	318.94365470527185	0.47559816	0	8069668.5	8379145.0	8098732.125	8789868.375	0	8330570.875	8079971.25	8166340.5	8760531.375	0	8069668.5	8379145.0	8098732.125	8789868.375
12	408.78765253633713	0.4787237	0	3950587.95	3798631.7	4052267.425	3957508.75	0	4001443.4	3968438.05	3972624.35	3816490.025	0	3950587.95	3798631.7	4052267.425	3957508.75
13	363.7898645303061	0.4807012	0	12890975.5	12771756.0	13496056.25	13158129.0	0	12966442.0	12903152.5	13329262.25	13118060.0	0	12890975.5	12771756.0	13496056.25	13158129.0
14	128.950982533484	0.48172536	0	1624111.075	1467291.975	1754439.775	1657257.325	0	1686566.4	1611747.325	1639516.775	1565269.65	0	1624111.075	1467291.975	1754439.775	1657257.325
15	481.7255947477197	0.48423553	0	6262216.375	6161922.375	6408017.75	6468849.5	0	6466743.75	6150681.125	6373859.875	6309721.25	0	6262216.375	6161922.375	6408017.75	6468849.5
16	140.96204563406116	0.48505792	0	4588241.125	3163867.75	4375015.125	4545973.25	0	4821710.325	3788073.925	4055513.325	4007799.675	0	4588241.125	3163867.75	4375015.125	4545973.25
17	143.95815040236036	0.47958115	0	0.0	829893.6	506748.77999999997	919878.8175	0	339680.8	398700.25	506232.34249999997	1011907.8049999999	0	0.0	829893.6	506748.77999999997	919878.8175
18	143.95688495328253	0.48975754	0	1635127.625	1636228.425	1850044.1	1814864.525	0	1766323.0	1695998.7	1600632.675	1873310.3	0	1635127.625	1636228.425	1850044.1	1814864.525
19	142.96178302240932	0.48613462	0	17271744.25	15878264.75	17814288.0	17643321.0	0	18312947.75	17013340.5	16482542.75	16798787.0	0	17271744.25	15878264.75	17814288.0	17643321.0
20	142.95905249979242	0.48862454	0	11153821.25	10243890.0	11424032.5	11968175.25	0	11720697.0	11069523.5	10823385.75	11176312.75	0	11153821.25	10243890.0	11424032.5	11968175.25
21	139.96353429552258	0.4886826	0	36028874.0	33176602.0	37603664.0	37326469.0	0	39036742.0	34971204.0	34791942.5	35335720.5	0	36028874.0	33176602.0	37603664.0	37326469.0
