CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
778	1106	1	0.8431	-168.188
1104	1106	1	0.8099	45.058
29	84	2	0.8161	-0.127
811	954	3	0.9784	-1.995
875	954	3	0.9991	-1.995
906	954	3	0.9994	0.000
908	954	3	0.9991	-1.995
951	954	3	0.999	-1.995
954	1001	3	0.9992	-0.000
954	1003	3	0.9985	1.995
954	1010	3	0.9816	1.995
954	1013	3	0.9994	-0.000
954	1046	3	0.9787	1.995
811	951	3	0.9801	0.000
875	951	3	0.9999	0.000
906	951	3	0.9992	1.995
908	951	3	0.9997	0.000
951	1001	3	0.9996	-1.995
951	1003	3	0.9995	0.000
951	1010	3	0.9819	0.000
951	1013	3	0.9989	-1.995
951	1046	3	0.9791	-0.000
811	875	3	0.98	0.000
811	906	3	0.978	-1.995
811	908	3	0.9781	-0.000
811	1001	3	0.9804	-1.995
811	1003	3	0.9807	0.000
811	1010	3	0.9756	0.000
811	1013	3	0.9802	-1.995
811	1046	3	0.9724	0.000
875	1046	3	0.9805	-0.000
906	1046	3	0.9808	1.995
908	1046	3	0.9809	0.000
1001	1046	3	0.9779	1.995
1003	1046	3	0.9797	-0.000
1010	1046	3	0.9994	-0.000
1013	1046	3	0.9782	1.995
875	906	3	0.9994	-1.995
906	908	3	0.9994	1.995
906	1001	3	0.9988	0.000
906	1003	3	0.9986	1.995
906	1010	3	0.984	1.995
906	1013	3	0.999	0.000
875	1003	3	0.9996	0.000
908	1003	3	0.9996	0.000
1001	1003	3	0.9991	1.995
1003	1010	3	0.9826	0.000
1003	1013	3	0.9983	-1.995
875	908	3	0.9999	-0.000
908	1001	3	0.9993	-1.995
908	1010	3	0.9836	0.000
908	1013	3	0.9987	-1.995
875	1001	3	0.9994	-1.995
875	1010	3	0.9834	0.000
875	1013	3	0.999	-1.995
1001	1013	3	0.9996	0.000
1010	1013	3	0.9813	-1.995
1001	1010	3	0.9807	1.995
576	766	4	0.807	-0.000
751	767	4	0.8738	0.000
524	832	4	0.8609	-28.031
555	832	4	0.8668	-28.031
653	832	4	0.862	-28.031
671	832	4	0.9463	-0.000
686	832	4	0.9412	-0.000
696	832	4	0.9418	-0.000
715	832	4	0.9351	-0.000
787	832	4	0.8652	18.010
788	832	4	0.941	-0.000
832	839	4	0.9084	0.000
377	408	4	0.8804	-14.016
408	432	4	0.8533	-14.016
408	446	4	0.8895	-82.078
557	652	4	0.918	28.031
557	662	4	0.8158	28.031
557	744	4	0.81	-0.000
557	766	4	0.8331	-0.000
557	787	4	0.831	-0.000
557	942	4	0.8297	-10.021
449	787	4	0.8352	-70.078
671	787	4	0.8723	-18.011
766	787	4	0.8712	0.000
787	788	4	0.8638	18.010
787	942	4	0.823	-10.021
301	313	4	0.808	-12.000
274	377	4	0.8156	3.995
314	377	4	0.8344	-14.016
339	377	4	0.8146	27.995
377	382	4	0.8171	17.027
317	382	4	0.902	-14.016
577	766	4	0.8061	18.010
633	648	4	0.8678	0.000
633	795	4	0.9169	0.000
633	801	4	0.934	0.000
633	805	4	0.8516	0.000
651	942	4	0.8084	-28.031
524	696	4	0.8525	-28.031
540	696	4	0.8562	-28.031
555	696	4	0.88	-28.031
671	696	4	0.9655	0.000
686	696	4	0.9658	0.000
696	715	4	0.955	0.000
696	788	4	0.9603	-0.000
696	795	4	0.84	2.016
696	839	4	0.9074	-0.000
507	840	4	0.8046	-42.011
273	301	4	0.8134	-14.016
294	301	4	0.837	-18.013
652	662	4	0.8345	0.000
555	839	4	0.8473	-28.031
671	839	4	0.8982	-0.000
686	839	4	0.8998	-0.000
715	839	4	0.8993	-0.000
747	839	4	0.8286	0.000
767	839	4	0.8271	-0.000
788	839	4	0.8983	0.000
839	942	4	0.8308	-28.031
