CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1	25	0.029	0.000	0.8011	0.8828	1
1	36	-101.891	0.000	0.7392	0.5796	1
1	52	0.000	0.000	0.9182	0.8015	1
1	115	-83.881	0.000	0.7092	0.5774	1
1	284	-12.115	0.000	0.7667	0.6844	1
2	3	-42.047	0.000	0.7840	0.6922	1
2	245	-0.050	0.000	0.9010	0.7643	1
2	271	-0.050	0.000	0.8884	0.7388	1
2	318	-0.050	0.000	0.8875	0.7712	1
4	6	14.215	0.000	0.7486	0.6081	1
4	46	17.027	0.000	0.7424	0.7209	1
4	58	-1.003	0.000	0.7727	0.6847	1
4	63	-0.000	0.000	0.8940	0.8906	1
4	116	14.215	0.000	0.7603	0.6081	1
4	132	-27.995	0.000	0.7531	0.6743	1
4	142	14.016	0.000	0.7548	0.6081	1
4	143	17.027	0.000	0.7758	0.7250	1
4	145	-1.003	0.000	0.8316	0.7487	1
4	146	0.000	0.000	0.9155	0.8906	1
4	147	-0.997	0.000	0.8389	0.7487	1
4	156	0.008	0.000	0.9262	0.8906	1
4	159	14.215	0.000	0.7612	0.6081	1
4	163	14.215	0.000	0.7595	0.6081	1
4	175	14.215	0.000	0.7644	0.6081	1
4	177	-0.997	0.000	0.8418	0.7487	1
4	224	14.063	0.000	0.7756	0.6300	1
4	231	14.121	0.000	0.8448	0.7707	1
4	260	0.047	0.000	0.7639	0.6216	1
4	297	5.074	0.000	0.7796	0.8143	1
4	617	0.000	0.000	0.9339	0.9432	1
5	23	18.023	0.000	0.7013	0.5429	1
5	138	0.000	0.000	0.8907	0.7924	1
5	165	0.000	0.000	0.8755	0.7570	1
6	56	-0.199	0.000	0.9822	0.8963	1
6	63	-14.215	0.000	0.9215	0.7816	1
6	105	-0.151	0.000	0.7763	0.6659	1
6	116	0.000	0.000	0.9957	0.9819	1
6	142	-0.199	0.000	0.9961	0.9768	1
6	145	-15.218	0.000	0.8369	0.7790	1
6	146	-14.215	0.000	0.9039	0.7295	1
6	147	-15.212	0.000	0.8103	0.7423	1
6	156	-14.207	0.000	0.8934	0.7130	1
6	159	-0.000	0.000	0.9938	0.9786	1
6	163	-0.000	0.000	0.9956	0.9819	1
6	175	-0.000	0.000	0.9879	0.9819	1
6	177	-15.212	0.000	0.7875	0.7279	1
6	224	-0.152	0.000	0.8777	0.8021	1
6	231	-0.094	0.000	0.9154	0.8595	1
7	136	-0.000	0.000	0.9213	0.8586	1
7	162	-0.000	0.000	0.9378	0.8713	1
7	171	-0.000	0.000	0.9296	0.8427	1
8	422	-0.205	0.000	0.7256	0.6160	1
9	131	0.000	0.000	0.9590	0.9502	1
9	214	0.000	0.000	0.9596	0.9499	1
9	297	-0.104	0.000	0.7071	0.6434	1
9	365	0.000	0.000	0.9562	0.9506	1
9	421	0.000	0.000	0.9826	1.0000	1
9	447	-0.000	0.000	0.9738	0.9528	1
9	481	0.000	0.000	0.9652	0.9500	1
9	592	0.000	0.000	0.9545	0.9072	1
10	135	-0.101	0.000	0.7372	0.6184	1
10	152	0.000	0.000	0.7933	0.6398	1
11	32	31.055	0.000	0.7388	0.5738	1
11	43	0.151	0.000	0.8813	0.7447	1
11	149	31.055	0.000	0.7153	0.5825	1
12	13	44.998	0.000	0.7724	0.6156	1
12	45	-55.935	0.000	0.8629	0.7047	1
13	45	-100.933	0.000	0.7669	0.6228	1
14	141	-0.188	0.000	0.9387	0.9009	1
16	17	-2.996	0.000	0.8162	0.7091	1
16	19	-2.000	0.000	0.7820	0.7150	1
16	20	-1.997	0.000	0.7820	0.7150	1
16	46	-2.192	0.000	0.7287	0.6551	1
16	140	-1.993	0.000	0.7704	0.7033	1
16	169	-1.124	0.000	0.9174	0.7867	1
16	182	-1.124	0.000	0.9187	0.7867	1
16	225	-2.145	0.000	0.7502	0.6849	1
16	358	-42.116	0.000	0.7411	0.5759	1
16	518	-42.176	0.000	0.7298	0.5951	1
16	875	-2.997	0.000	0.7196	0.7135	1
16	908	-2.997	0.000	0.7206	0.7135	1
16	951	-2.997	0.000	0.7168	0.7060	1
16	1003	-2.997	0.000	0.7152	0.7132	1
16	1010	-2.997	0.000	0.7164	0.7087	1
16	1046	-2.997	0.000	0.7193	0.7055	1
17	18	0.001	0.000	0.8855	0.8299	1
17	19	0.996	0.000	0.7345	0.7270	1
17	20	0.999	0.000	0.7345	0.7270	1
17	22	-0.005	0.000	0.8855	0.8299	1
17	140	1.003	0.000	0.7364	0.7270	1
17	225	0.852	0.000	0.7217	0.7270	1
18	19	0.995	0.000	0.7025	0.6566	1
18	20	0.998	0.000	0.7025	0.6566	1
18	22	-0.006	0.000	1.0000	1.0000	1
18	46	0.803	0.000	0.7536	0.7418	1
18	143	0.803	0.000	0.7420	0.7418	1
18	225	0.850	0.000	0.7523	0.7418	1
19	20	0.003	0.000	1.0000	1.0000	1
19	21	2.998	0.000	0.7155	0.7139	1
19	22	-1.001	0.000	0.7025	0.6566	1
19	46	-0.192	0.000	0.8992	0.8631	1
19	140	0.006	0.000	0.9918	1.0000	1
19	143	-0.192	0.000	0.8378	0.8224	1
19	225	-0.145	0.000	0.9344	0.9004	1
20	21	2.996	0.000	0.7155	0.7139	1
20	22	-1.004	0.000	0.7025	0.6566	1
20	46	-0.195	0.000	0.8992	0.8631	1
20	140	0.004	0.000	0.9918	1.0000	1
20	143	-0.195	0.000	0.8378	0.8224	1
20	225	-0.148	0.000	0.9344	0.9004	1
21	23	-41.026	0.000	0.8127	0.6795	1
21	83	-0.105	0.000	0.8741	0.7769	1
21	140	-2.992	0.000	0.7181	0.7170	1
21	169	-2.122	0.000	0.9753	0.9040	1
21	182	-2.122	0.000	0.9745	0.9040	1
22	46	0.809	0.000	0.7536	0.7418	1
22	143	0.809	0.000	0.7420	0.7418	1
22	225	0.856	0.000	0.7523	0.7418	1
23	25	23.016	0.000	0.7247	0.6039	1
23	358	-2.088	0.000	0.8445	0.7178	1
23	518	-2.148	0.000	0.9412	0.8460	1
23	796	-2.184	0.000	0.7183	0.5402	1
23	802	-2.184	0.000	0.7978	0.6283	1
24	35	-9.984	0.000	0.9249	0.8109	1
24	38	18.010	0.000	0.7124	0.5873	1
24	39	-27.995	0.000	0.7023	0.6091	1
24	148	-9.984	0.000	0.9548	0.8647	1
25	284	-12.143	0.000	0.7024	0.6872	1
26	30	-17.013	0.000	0.7016	0.5706	1
26	31	30.953	0.000	0.8797	0.7776	1
26	34	0.998	0.000	0.8071	0.6200	1
26	35	-0.997	0.000	0.8207	0.6418	1
26	38	26.998	0.000	0.7324	0.5391	1
26	77	9.032	0.000	0.7113	0.6486	1
26	148	-0.997	0.000	0.7757	0.6418	1
27	32	18.011	0.000	0.8110	0.6530	1
27	37	-23.016	0.000	0.8622	0.6082	1
27	79	10.029	0.000	0.8074	0.6141	1
27	130	11.037	0.000	0.7905	0.5867	1
27	149	18.011	0.000	0.7849	0.6618	1
28	32	-0.997	0.000	0.9153	0.7326	1
28	40	0.998	0.000	0.9261	0.7653	1
28	41	30.952	0.000	0.9388	0.7599	1
28	49	-1.999	0.000	0.9026	0.8662	1
28	78	9.031	0.000	0.7806	0.6585	1
28	149	-0.997	0.000	0.8877	0.7000	1
29	84	-0.127	0.000	0.8161	0.6929	1
30	31	47.965	0.000	0.7302	0.5580	1
30	33	29.955	0.000	0.8439	0.5160	1
30	34	18.011	0.000	0.8484	0.6972	1
30	35	16.015	0.000	0.7880	0.5991	1
30	39	-1.995	0.000	0.9270	0.7310	1
30	40	-23.016	0.000	0.7506	0.5788	1
30	157	-1.995	0.000	0.8447	0.6321	1
31	33	-18.011	0.000	0.8166	0.6939	1
31	34	-29.955	0.000	0.8152	0.6025	1
31	35	-31.950	0.000	0.8486	0.6927	1
31	38	-3.955	0.000	0.7245	0.6323	1
31	39	-49.960	0.000	0.7154	0.4679	1
31	44	-15.978	0.000	0.7577	0.7791	1
31	77	-21.921	0.000	0.7179	0.6150	1
31	148	-31.950	0.000	0.7883	0.6927	1
31	157	-49.960	0.000	0.7494	0.4768	1
32	36	27.995	0.000	0.8597	0.6623	1
32	37	-41.027	0.000	0.7809	0.6128	1
32	39	23.016	0.000	0.8027	0.5803	1
32	40	1.995	0.000	0.9733	0.8738	1
32	41	31.950	0.000	0.9313	0.7605	1
32	49	-1.002	0.000	0.7467	0.5972	1
32	73	40.898	0.000	0.7213	0.5402	1
32	78	10.029	0.000	0.8223	0.7905	1
32	79	-7.982	0.000	0.7320	0.7063	1
32	149	0.000	0.000	0.9371	0.7887	1
32	157	23.016	0.000	0.8051	0.6944	1
33	34	-11.944	0.000	0.7355	0.5049	1
33	38	14.056	0.000	0.7349	0.6804	1
33	39	-31.950	0.000	0.8775	0.6006	1
33	41	-23.016	0.000	0.7707	0.5418	1
33	80	-21.921	0.000	0.7038	0.5619	1
34	35	-1.995	0.000	0.9512	0.8176	1
34	39	-20.006	0.000	0.7219	0.4859	1
34	148	-1.995	0.000	0.8947	0.7370	1
34	157	-20.006	0.000	0.7654	0.5062	1
35	38	27.995	0.000	0.8451	0.6715	1
35	39	-18.011	0.000	0.8148	0.6541	1
35	77	10.029	0.000	0.7901	0.7708	1
35	115	4.979	0.000	0.7531	0.5377	1
35	148	0.000	0.000	0.9440	0.8796	1
35	157	-18.010	0.000	0.8152	0.6027	1
36	39	-4.979	0.000	0.9204	0.7130	1
36	40	-26.000	0.000	0.7065	0.6458	1
36	41	3.955	0.000	0.7166	0.7279	1
36	49	-28.997	0.000	0.7266	0.5870	1
36	52	101.891	0.000	0.7635	0.4997	1
36	73	12.903	0.000	0.8362	0.7125	1
36	78	-17.966	0.000	0.7778	0.7016	1
36	115	18.010	0.000	0.7091	0.5037	1
36	149	-27.995	0.000	0.8352	0.6218	1
36	157	-4.979	0.000	0.8567	0.6723	1
36	860	108.798	0.000	0.7027	0.6071	1
37	81	10.029	0.000	0.8130	0.6831	1
37	149	41.027	0.000	0.7425	0.5786	1
37	174	9.972	0.000	0.7021	0.6065	1
38	77	-17.966	0.000	0.7427	0.6444	1
38	148	-27.995	0.000	0.7807	0.5797	1
39	73	17.882	0.000	0.8248	0.6046	1
39	148	18.011	0.000	0.7118	0.5607	1
39	149	-23.016	0.000	0.7566	0.4844	1
39	157	0.000	0.000	0.8336	0.5251	1
40	41	29.955	0.000	0.9374	0.7542	1
40	49	-2.997	0.000	0.7573	0.6067	1
40	78	8.034	0.000	0.7505	0.4908	1
40	149	-1.995	0.000	0.9376	0.7537	1
41	49	-32.952	0.000	0.8039	0.6498	1
41	78	-21.921	0.000	0.7670	0.5455	1
41	149	-31.950	0.000	0.8979	0.6608	1
44	69	-6.017	0.000	0.7564	0.6017	1
45	47	127.920	0.000	0.7444	0.6501	1
46	140	0.199	0.000	0.8837	0.8631	1
46	143	0.000	0.000	0.9870	1.0000	1
46	225	0.047	0.000	0.9866	1.0000	1
49	78	11.031	0.000	0.7417	0.6888	1
49	149	1.002	0.000	0.7272	0.5444	1
52	78	-119.857	0.000	0.7294	0.4527	1
52	149	-129.886	0.000	0.7080	0.4731	1
53	144	0.000	0.000	0.9835	0.9134	1
56	68	-27.995	0.000	0.8573	0.6322	1
56	116	0.199	0.000	0.9641	0.8501	1
56	132	-42.011	0.000	0.8770	0.7424	1
56	142	0.000	0.000	0.9707	0.8554	1
56	159	0.199	0.000	0.9628	0.8337	1
56	163	0.199	0.000	0.9648	0.8508	1
