feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
1005	1.0	0.25545993	ISDB	http://www.wikidata.org/entity/Q105176174	NACRYBSGHPQZTL-UVYZFVDISA-N	InChI=1S/C28H40O3/c1-17(2)7-8-18(3)23-11-12-24-22-10-9-20-15-21(30)13-14-27(20,5)25(22)16-26(28(23,24)6)31-19(4)29/h7-8,13-15,17-18,22-26H,9-12,16H2,1-6H3/b8-7+/t18-,22-,23+,24-,25-,26+,27-,28+/m0/s1	CC(=O)O[C@@H]1C[C@H]2[C@@H](CCC3=CC(=O)C=C[C@@]32C)[C@@H]2CC[C@H]([C@@H](C)/C=C/C(C)C)[C@@]12C	C28H40O3	nan	424.29774514	[(8R,9S,10R,12R,13R,14S,17R)-10,13-dimethyl-17-[(E,2S)-5-methylhex-3-en-2-yl]-3-oxo-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-12-yl] acetate	NACRYBSGHPQZTL	Terpenoids	Steroids	Cholestane steroids	http://www.wikidata.org/entity/Q2006197	Gersemia rubiformis	463880.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Nephtheidae']	['Unknown']	['Gersemia']	['Gersemia rubiformis']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	2.521839737892151	1	74	Terpenoids	1.0	Steroids	1.0	Cholestane steroids	1.0
1007	1.0	0.47926277	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	LKIXPFWTPURWGW	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	1.917051076889038	1	15	Fatty acids	0.4375	Glycerophospholipids	0.4375	Glycerophosphoethanolamines	0.4375
1008	1.0	0.2354457	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	GTXGQQPQOYAJJE	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	0.9417827725410461	1	44	Terpenoids	0.2	Triterpenoids	0.2	Oleanane triterpenoids	0.2
1014	5.0	0.64033043	ISDB	http://www.wikidata.org/entity/Q27158102	LYJWNHGFGVVCAO-IEHWZJNJSA-N	InChI=1S/C39H76NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h13,15,37H,3-12,14,16-36,40H2,1-2H3,(H,43,44)/b15-13-/t37-/m1/s1	CCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN	C39H76NO8P	nan	717.530855022	Phosphatidylethanolamine (1-palmitoyl, 2-cis-vaccenoyl)	LYJWNHGFGVVCAO	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	http://www.wikidata.org/entity/Q33244	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	4.06132173538208	1	15	Fatty acids	0.4375	Glycerophospholipids	0.4375	Glycerophosphoethanolamines	0.4375
1018	1.0	0.5176033	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	ZPEIQUBUKPWTCI	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.070413112640381	1	15	Fatty acids	0.4375	Glycerophospholipids	0.4375	Glycerophosphoethanolamines	0.4375
102	1.0	0.67333156	ISDB	http://www.wikidata.org/entity/Q408641	RHGKLRLOHDJJDR-BYPYZUCNSA-N	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1	NC(=O)NCCC[C@H](N)C(=O)O	C6H13N3O3	nan	175.095691276	alpha-Amino-gamma-ureidovaleric acid	RHGKLRLOHDJJDR	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q26270559	Paraburkholderia	5902778.0	['Bacteria']	['Unknown']	['Proteobacteria']	['Betaproteobacteria']	['Burkholderiales']	['Burkholderiaceae']	['Unknown']	['Burkholderia']	['Unknown']	nan	['Bacteria']	nan	['Proteobacteria']	nan	nan	nan	nan	nan	nan	2	3	6.193326234817505	1	36	Amino acids and Peptides	0.5	Small peptides	0.5	Aminoacids	0.5
1020	2.0	0.36118189	ISDB	http://www.wikidata.org/entity/Q105342727	XUYKACVIVNMPKZ-YXRUNKGDSA-N	InChI=1S/C46H78O3/c1-10-11-12-13-14-15-16-17-18-19-20-21-22-23-40(48)49-39-32-38(47)46(9)36(42(39,4)5)26-27-45(8)37(46)25-24-34-35-33-41(2,3)28-29-43(35,6)30-31-44(34,45)7/h24-25,35-36,38-39,47H,10-23,26-33H2,1-9H3/t35-,36-,38+,39-,43+,44+,45+,46-/m0/s1	CCCCCCCCCCCCCCCC(=O)O[C@H]1C[C@@H](O)[C@]2(C)C3=CC=C4[C@@H]5CC(C)(C)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C	C46H78O3	nan	678.595096356	Ussuriensin B	XUYKACVIVNMPKZ	Terpenoids	Triterpenoids	Oleanane triterpenoids	http://www.wikidata.org/entity/Q5706552	Saussurea ussuriensis	5739495.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Cardueae']	['Saussurea']	['Saussurea ussuriensis']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	2.9447275400161743	1	44	Terpenoids	0.2	Triterpenoids	0.2	Oleanane triterpenoids	0.2
1021	2.0	0.658111	ISDB	http://www.wikidata.org/entity/Q27158112	MWRBNPKJOOWZPW-GPADLTIESA-N	InChI=1S/C41H78NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17-20,39H,3-16,21-38,42H2,1-2H3,(H,45,46)/b19-17+,20-18+/t39-/m1/s1	CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C/CCCCCCCC	C41H78NO8P	nan	743.546505086	18:1 (Delta9-Trans) PE, 1,2-dielaidoyl-sn-glycero-3-phosphoethanolamine, chloroform	MWRBNPKJOOWZPW	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	http://www.wikidata.org/entity/Q2557995	Aphis gossypii	1026471.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hemiptera']	['Aphididae']	['Aphidini']	['Aphis']	['Aphis gossypii']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	4.132443904876709	1	15	Fatty acids	0.4375	Glycerophospholipids	0.4375	Glycerophosphoethanolamines	0.4375
1023	2.0	0.27529502	ISDB	http://www.wikidata.org/entity/Q105176174	NACRYBSGHPQZTL-UVYZFVDISA-N	InChI=1S/C28H40O3/c1-17(2)7-8-18(3)23-11-12-24-22-10-9-20-15-21(30)13-14-27(20,5)25(22)16-26(28(23,24)6)31-19(4)29/h7-8,13-15,17-18,22-26H,9-12,16H2,1-6H3/b8-7+/t18-,22-,23+,24-,25-,26+,27-,28+/m0/s1	CC(=O)O[C@@H]1C[C@H]2[C@@H](CCC3=CC(=O)C=C[C@@]32C)[C@@H]2CC[C@H]([C@@H](C)/C=C/C(C)C)[C@@]12C	C28H40O3	nan	424.29774514	[(8R,9S,10R,12R,13R,14S,17R)-10,13-dimethyl-17-[(E,2S)-5-methylhex-3-en-2-yl]-3-oxo-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-12-yl] acetate	NACRYBSGHPQZTL	Terpenoids	Steroids	Cholestane steroids	http://www.wikidata.org/entity/Q2006197	Gersemia rubiformis	463880.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Nephtheidae']	['Unknown']	['Gersemia']	['Gersemia rubiformis']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	2.601180076599121	1	74	Terpenoids	1.0	Steroids	1.0	Cholestane steroids	1.0
103	3.0	0.3249991	ISDB	http://www.wikidata.org/entity/Q27121627	KIIBBJKLKFTNQO-WHFBIAKZSA-N	InChI=1S/C6H10N2O3/c1-3-7-2-4(9)5(8-3)6(10)11/h4-5,9H,2H2,1H3,(H,7,8)(H,10,11)/t4-,5-/m0/s1	CC1=NC[C@H](O)[C@@H](C(=O)O)N1	C6H10N2O3	nan	158.06914218	CID 137208350	KIIBBJKLKFTNQO	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q22286833	Streptomyces albidoflavus	772836.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Streptomyces albidoflavus']	nan	['Bacteria']	nan	nan	nan	nan	nan	nan	nan	nan	1	3	3.7999963760375977	1	36	Amino acids and Peptides	0.5	Small peptides	0.5	Aminoacids	0.5
