formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C8H21F2N2O2Si	[M + Na]+	C8H21F2N2NaO2Si+	Alkaloids	0.486	Small peptides	0.399	Halogenated fatty acids	0.315	Organohalogen compounds	0.717	Organofluorides	0.793					Organofluorides	0.793	Organic compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organofluorides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	266.123	24	0.397	836961160931501531	836960999127830479	836960999123636174	3	
1	C6H14F3N3	[M + K]+	C6H14F3KN3+	Alkaloids	0.714	Nicotinic acid alkaloids	0.077	Polyamines	0.086	Organohalogen compounds	0.985	Alkyl halides	0.986	Alkyl fluorides	0.983			Alkyl fluorides	0.983	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	224.076	24	0.407	836961146066887394	836960998989418443	836960998981029834	2	
1	C6H5NOSi	[M + Na]+	C6H5NNaOSi+	Fatty acids	0.453	Fatty acyls	0.423	Halogenated fatty acids	0.286	Organic oxygen compounds	0.947	Organooxygen compounds	0.863	Carbonyl compounds	0.644			Carbonyl compounds	0.644	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.003	26	0.441	836961152630973452	836960998729371591	836960998708400070	1	
1	C8H18N2	[M + H3N + H]+	C8H22N3+	Alkaloids	0.781	Pseudoalkaloids (transamidation)	0.406	Acetate-derived alkaloids	0.802	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.777			Amines	0.777	Organic compounds; Organonitrogen compounds; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	160.181	28	0.469	836961139104342609	836960999241076691	836960999236882386	4	
1	C6H9O4P	[M + Na]+	C6H9NaO4P+	Fatty acids	0.585	Monoterpenoids	0.047	Halogenated fatty acids	0.009	Organic acids and derivatives	0.812	Organic phosphonic acids and derivatives	0.626					Organic phosphonic acids and derivatives	0.626	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	199.013	28	0.470	836961147417453328	836960999421431767	836960999417237462	5	
1	C3H6O5S	[M + H]+	C3H7O5S+	Fatty acids	0.841	Fatty Acids and Conjugates	0.753	Dicarboxylic acids	0.145	Organosulfur compounds	0.872	Sulfonyls	0.513					Sulfonyls	0.513	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Sulfonyls; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	155.003	28	0.472	836961146847027960	836960999744393191	836960999744393190	9	
1	C6H5NOSi	[M + Na]+	C6H5NNaOSi+	Alkaloids	0.331	Nicotinic acid alkaloids	0.309	Pyridine alkaloids	0.310	Organic oxygen compounds	0.897	Organooxygen compounds	0.726	Carbonyl compounds	0.522			Carbonyl compounds	0.522	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.003	28	0.473	836961155516654783	836961002202255507	836961002198061202	52	
1	C5H12O6S4	[M + Na]+	C5H12NaO6S4+	Fatty acids	0.974	Fatty acyls	0.656	Fatty alcohols	0.511	Organic oxygen compounds	0.999	Organooxygen compounds	0.763					Organooxygen compounds	0.763	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	318.944	29	0.476	836961162554697324	836960999882805231	836960999878610926	11	
1	C5H8ClN2O3	[M + Na]+	C5H8ClN2NaO3+	Fatty acids	0.726	Small peptides	0.570	Halogenated fatty acids	0.901	Organic acids and derivatives	0.989	Carboxylic acids and derivatives	0.958	Carboxylic acid derivatives	0.598			Carboxylic acid derivatives	0.598	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl chlorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	202.012	29	0.476	836961144594686590	836960999668895715	836960999668895714	8	
1	C4H11F2N3OS2	[M + H]+	C4H12F2N3OS2+	Amino acids and Peptides	0.173	Small peptides	0.086	Polyamines	0.077	Organosulfur compounds	0.940	Sulfenyl compounds	0.718					Sulfenyl compounds	0.718	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	220.039	29	0.478	836961145219637930	836960999589203935	836960999585009630	7	
1	C4H7Br2ClNO2P	[M + K]+	C4H7Br2ClKNO2P+	Alkaloids	0.247	Fatty Acids and Conjugates	0.039	Halogenated fatty acids	0.456	Organohalogen compounds	0.995	Alkyl halides	0.734	Alkyl bromides	0.813			Alkyl bromides	0.813	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organophosphorus compounds; Alkyl bromides; Organobromides; Organochlorides; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	363.790	29	0.481	836961158897264005	836961000012828663	836961000012828662	13	
1	C3H4I3NO4	[M - H2O + H]+	C3H3I3NO3+	Fatty acids	0.991	Fatty Acids and Conjugates	0.992	Halogenated fatty acids	0.996	Lipids and lipid-like molecules	0.374	Fatty Acyls	0.445	Fatty acids and conjugates	0.532	Halogenated fatty acids	0.529	Halogenated fatty acids	0.529	Organic compounds; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Halogenated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Organoiodides; Carbonyl compounds; Alpha-halocarboxylic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	481.726	29	0.484	836961139695739482	836961000155435007	836961000155435006	15	
1	C3H2O3S	[M + Na]+	C3H2NaO3S+	Fatty acids	0.755	Tropolones	0.706	Oxygenated hydrocarbons	0.420	Organic acids and derivatives	0.568	Carboxylic acids and derivatives	0.540					Carboxylic acids and derivatives	0.540	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	140.962	29	0.485	836961171396290947	836961000222543875	836961000218349570	16	
1	CHN2O3P	[M + Na]+	CHN2NaO3P+	Alkaloids	0.942	Pseudoalkaloids (transamidation)	0.451	Purine alkaloids	0.517	Organoheterocyclic compounds	0.842	Heteroaromatic compounds	0.757					Heteroaromatic compounds	0.757	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	142.962	29	0.486	836961145706177234	836961000419676175	836961000415481870	19	
1	C3HClFNO	[M + Na]+	C3HClFNNaO+	Fatty acids	0.681	Nicotinic acid alkaloids	0.353	Halogenated fatty acids	0.901	Organohalogen compounds	0.997	Aryl halides	0.882	Aryl fluorides	0.876			Aryl fluorides	0.876	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Aryl fluorides; Organochlorides; Organofluorides; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	143.963	29	0.488	836961163234174633	836961000595836955	836961000595836954	22	
