formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C6H14F3N3	[M + K]+	C6H14F3KN3+	Alkaloids	0.714	Nicotinic acid alkaloids	0.077	Polyamines	0.086	Organohalogen compounds	0.985	Alkyl halides	0.986	Alkyl fluorides	0.983			Alkyl fluorides	0.983	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	224.076	24	0.407	836961146066887394	836960998989418443	836960998981029834	2	
1	C8H18N2	[M + H3N + H]+	C8H22N3+	Alkaloids	0.781	Pseudoalkaloids (transamidation)	0.406	Acetate-derived alkaloids	0.802	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.777			Amines	0.777	Organic compounds; Organonitrogen compounds; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	160.181	28	0.469	836961139104342609	836960999241076691	836960999236882386	4	
1	C6H9O4P	[M + Na]+	C6H9NaO4P+	Fatty acids	0.585	Monoterpenoids	0.047	Halogenated fatty acids	0.009	Organic acids and derivatives	0.812	Organic phosphonic acids and derivatives	0.626					Organic phosphonic acids and derivatives	0.626	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	199.013	28	0.470	836961147417453328	836960999421431767	836960999417237462	5	
1	C3H6O5S	[M + H]+	C3H7O5S+	Fatty acids	0.841	Fatty Acids and Conjugates	0.753	Dicarboxylic acids	0.145	Organosulfur compounds	0.872	Sulfonyls	0.513					Sulfonyls	0.513	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Sulfonyls; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	155.003	28	0.472	836961146847027960	836960999744393191	836960999744393190	9	
1	C5H12O6S4	[M + Na]+	C5H12NaO6S4+	Fatty acids	0.974	Fatty acyls	0.656	Fatty alcohols	0.511	Organic oxygen compounds	0.999	Organooxygen compounds	0.763					Organooxygen compounds	0.763	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	318.944	29	0.476	836961162554697324	836960999882805231	836960999878610926	11	
1	C3H2O3S	[M + Na]+	C3H2NaO3S+	Fatty acids	0.755	Tropolones	0.706	Oxygenated hydrocarbons	0.420	Organic acids and derivatives	0.568	Carboxylic acids and derivatives	0.540					Carboxylic acids and derivatives	0.540	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	140.962	29	0.485	836961171396290947	836961000222543875	836961000218349570	16	
1	CHN2O3P	[M + Na]+	CHN2NaO3P+	Alkaloids	0.942	Pseudoalkaloids (transamidation)	0.451	Purine alkaloids	0.517	Organoheterocyclic compounds	0.842	Heteroaromatic compounds	0.757					Heteroaromatic compounds	0.757	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	142.962	29	0.486	836961145706177234	836961000419676175	836961000415481870	19	
2	C3H4OS2	[M + Na]+	C3H4NaOS2+	Fatty acids	0.844	Fatty acyls	0.803	Oxygenated hydrocarbons	0.935	Organoheterocyclic compounds	0.900							Organoheterocyclic compounds	0.900	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	142.959	29	0.489	836961149141312325	836961000478396435	836961000474202130	20	
1	C4H3NO2S2	[M - H2O + H]+	C4H2NOS2+	Amino acids and Peptides	0.796	β-lactams	0.186	Cephalosporins	0.074	Organoheterocyclic compounds	0.973	Azoles	0.596	Thiazoles	0.588			Thiazoles	0.588	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	143.958	29	0.489	836961163196425884	836961000285458439	836961000285458438	17	
2	C4H3NO2S2	[M - H2O + H]+	C4H2NOS2+	Amino acids and Peptides	0.922	β-lactams	0.048	Aminoacids	0.044	Organoheterocyclic compounds	0.995	Azoles	0.932	Thiazoles	0.882	Thiazolecarboxylic acids and derivatives	0.662	Thiazolecarboxylic acids and derivatives	0.662	Organic compounds; Organoheterocyclic compounds; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Thiazolecarboxylic acids and derivatives; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	143.957	29	0.490	836961150433158028	836961000348373003	836961000348373002	18	
