"sirius_smiles"	"sirius_structurePerIdRank"	"sirius_formulaRank"	"sirius_ConfidenceScoreExact"	"sirius_ConfidenceScoreApproximate"	"sirius_CSI:FingerIDScore"	"sirius_ZodiacScore"	"sirius_SiriusScoreNormalized"	"sirius_SiriusScore"	"sirius_molecularFormula"	"sirius_adduct"	"sirius_precursorFormula"	"sirius_InChIkey2D"	"sirius_InChI"	"sirius_name"	"sirius_xlogp"	"sirius_pubchemids"	"sirius_links"	"sirius_dbflags"	"sirius_ionMass"	"sirius_retentionTimeInSeconds"	"sirius_retentionTimeInMinutes"	"sirius_formulaId"	"sirius_alignedFeatureId"	"sirius_compoundId"	"sirius_mappingFeatureId"	"sirius_overallFeatureQuality"	"sirius_chebiid"	"sirius_chebiasciiname"	"feature_id"
"[B-](C1=CC2=C(S1)C=CC(=C2)CN(C=O)C=O)(O)(O)O"	1	2	"0.020"	"0.020"	-284.932	0.33	0.333	93.145	"C11H12BNO5S"	"[M + H3N + H]+"	"C11H16BN2O5S+"	"BKAIUMJOKRXPFJ"	"InChI=1S/C11H11BNO5S/c14-6-13(7-15)5-8-1-2-10-9(3-8)4-11(19-10)12(16,17)18/h1-4,6-7,16-18H,5H2/q-1"	"[5-[(Diformylamino)methyl]-1-benzothiophen-2-yl]-trihydroxyboranuide"	1.777	"16750036"	"PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(16750036)"	16777218	298.09	92	1.53	836961197539390080	836961008946696960	836961008946696960	195	NA	NA	NA	195
"[B-](CCSCC(C(=O)O)N)(O)(O)O"	1	2	"0.118"	"0.142"	-84.698	0.264	0.333	14.839	"C5H14BNO5S"	"[M - H2O + H]+"	"C5H13BNO4S+"	"XLVRIIJULVQAMP"	"InChI=1S/C5H13BNO5S/c7-4(5(8)9)3-13-2-1-6(10,11)12/h4,10-12H,1-3,7H2,(H,8,9)/q-1"	"S-2-(Boronoethyl)-L-cysteine"	-0.532	"446122"	"PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00073569);PUBCHEM:(446122)"	17039362	193.068	52	0.868	836961322001178496	836961007524827776	836961007520633472	160	NA	NA	NA	160
"[B](N(C)CCCCN)OC"	1	1	"-Infinity"	"-Infinity"	-83.404	1	0.5	17.723	"C6H16BN2O"	"[M + H3N + H]+"	"C6H20BN3O+"	"UOJMVGWZYMOSOT"	"InChI=1S/C6H16BN2O/c1-9(7-10-2)6-4-3-5-8/h3-6,8H2,1-2H3"	NA	-0.134	"89055181"	"PUBCHEM:(89055181)"	2	160.173	44	0.728	836961153729881216	836961007268975104	836961007268975104	156	NA	NA	NA	156
"[B]CN(CCC)C(=S)C(CC)NC(=O)CNC(=O)C(C1CCCCC1)N"	1	1	"-Infinity"	"-Infinity"	-323.102	0.83	0.986	104.161	"C18H33BN4O2S"	"[M + Na]+"	"C18H33BN4NaO2S+"	"MLFGLWWWZBSBBF"	"InChI=1S/C18H33BN4O2S/c1-3-10-23(12-19)18(26)14(4-2)22-15(24)11-21-17(25)16(20)13-8-6-5-7-9-13/h13-14,16H,3-12,20H2,1-2H3,(H,21,25)(H,22,24)"	NA	1.876	"90152410"	"PUBCHEM:(90152410)"	2	402.234	161	2.678	836961182167264640	836961011895292928	836961011895292928	279	NA	NA	NA	279
"[C]=CC1=CC=CC=C1"	1	2	"0.156"	"0.230"	-19.25	0.389	0.072	41.826	"C8H6"	"[M + H3N + H]+"	"C8H10N+"	"ZZWABYQKBLDNHJ"	"InChI=1S/C8H6/c1-2-8-6-4-3-5-7-8/h2-7H"	"Benzylidenecarbene"	2.466	"100930433"	"MESH:(100930433);PUBCHEM:(100930433);PUBMED:(null)"	70	120.081	92	1.53	836961310429093120	836961008875393792	836961008875393792	193	NA	NA	NA	193
"[CH]C(C(C(C(CO)O)O)O)O"	1	1	"0.323"	"0.323"	-34.134	0.989	0.5	118.083	"C6H12O5"	"[M - H2O + H]+"	"C6H11O4+"	"ZRQKZUXZTAJPFH"	"InChI=1S/C6H12O5/c1-3(8)5(10)6(11)4(9)2-7/h1,3-11H,2H2"	NA	-1.733	"58100822"	"PUBCHEM:(58100822)"	2	147.065	210	3.507	836961188035096448	836961013673678080	836961013673678080	329	NA	NA	NA	329
"[CH2+]C1CCC(CC1)C(=O)O"	1	1	"0.166"	"0.166"	-78.298	1	0.333	79.542	"C8H12O2"	"[M + H3N + H]+"	"C8H16NO2+"	"DYIVHRAWXTXYSC"	"InChI=1S/C8H12O2/c1-6-2-4-7(5-3-6)8(9)10/h6-7H,1-5H2/p+1"	NA	2.1	"123422644"	"PUBCHEM:(123422644)"	2	158.118	142	2.37	836961167088740352	836961011291313152	836961011291313152	261	NA	NA	NA	261
"B(C1=CC=C(C=C1)O[Si]C(C)C(C)(C)C)(O)O"	1	3	"0.025"	"0.025"	-133.822	0.182	0.333	72.724	"C12H19BO3Si"	"[M + H3N + H]+"	"C12H23BNO3Si+"	"KTTUMVVLNSFFCD"	"InChI=1S/C12H19BO3Si/c1-9(12(2,3)4)17-16-11-7-5-10(6-8-11)13(14)15/h5-9,14-15H,1-4H3"	NA	0	"21700093"	"PUBCHEM:(21700093)"	2	267.157	445	7.415	836961238647768448	836961027196115712	836961027196115712	717	NA	NA	NA	717
"B(C1=CC=CC(=C)C1=C(C=C)OC)(O)O"	1	3	"0.085"	"0.085"	-72.5	0.209	0.333	69.628	"C11H13BO3"	"[M + H3N + H]+"	"C11H17BNO3+"	"UWRNYFAGCGNQJZ"	"InChI=1S/C11H13BO3/c1-4-10(15-3)11-8(2)6-5-7-9(11)12(13)14/h4-7,13-14H,1-2H2,3H3"	"[(6E)-6-(1-methoxyprop-2-enylidene)-5-methylidenecyclohexa-1,3-dien-1-yl]boronic acid"	1.566	"159957993"	"PUBCHEM:(159957993)"	2	221.134	236	3.933	836961176920189952	836961015523366272	836961015523366272	381	NA	NA	NA	381
"B(C1=CC2=C(N1C(=O)OC(C)(C)C)C=C(C=C2)Cl)(O)O"	1	2	"0.029"	"0.029"	-372.64	0.029	0.033	126.757	"C13H15BClNO4"	"[M + Na]+"	"C13H15BClNNaO4+"	"AHUWHEZTYPWOCY"	"InChI=1S/C13H15BClNO4/c1-13(2,3)20-12(17)16-10-7-9(15)5-4-8(10)6-11(16)14(18)19/h4-7,18-19H,1-3H3"	"1-Boc-6-chloroindole-2-boronic acid"	3.297	"44119151"	"PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(44119151);DSSTox:(DTXSID80657051)"	137506062338	317.071	317	5.275	836961234239554304	836961017503078016	836961017503078016	439	NA	NA	NA	439
