"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_compoundId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
1	"C6H14F3N3"	"[M + K]+"	"C6H14F3KN3+"	"Alkaloids"	0.714	"Nicotinic acid alkaloids"	0.077	"Polyamines"	0.086	"Organohalogen compounds"	0.985	"Alkyl halides"	0.986	"Alkyl fluorides"	0.983	NA	NA	"Alkyl fluorides"	0.983	"Organic compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	224.076	24	0.407	836961146066887424	836960998989418496	836960998981029888	2	NA	2
1	"C8H18N2"	"[M + H3N + H]+"	"C8H22N3+"	"Alkaloids"	0.781	"Pseudoalkaloids (transamidation)"	0.406	"Acetate-derived alkaloids"	0.802	"Organic nitrogen compounds"	1	"Organonitrogen compounds"	1	"Amines"	0.777	NA	NA	"Amines"	0.777	"Organic compounds; Organonitrogen compounds; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	160.181	28	0.469	836961139104342656	836960999241076736	836960999236882432	4	NA	4
1	"C6H9O4P"	"[M + Na]+"	"C6H9NaO4P+"	"Fatty acids"	0.585	"Monoterpenoids"	0.047	"Halogenated fatty acids"	0.009	"Organic acids and derivatives"	0.812	"Organic phosphonic acids and derivatives"	0.626	NA	NA	NA	NA	"Organic phosphonic acids and derivatives"	0.626	"Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	199.013	28	0.47	836961147417453312	836960999421431808	836960999417237504	5	NA	5
1	"C3H6O5S"	"[M + H]+"	"C3H7O5S+"	"Fatty acids"	0.841	"Fatty Acids and Conjugates"	0.753	"Dicarboxylic acids"	0.145	"Organosulfur compounds"	0.872	"Sulfonyls"	0.513	NA	NA	NA	NA	"Sulfonyls"	0.513	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Sulfonyls; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	155.003	28	0.472	836961146847027968	836960999744393216	836960999744393216	9	NA	9
1	"C5H12O6S4"	"[M + Na]+"	"C5H12NaO6S4+"	"Fatty acids"	0.974	"Fatty acyls"	0.656	"Fatty alcohols"	0.511	"Organic oxygen compounds"	0.999	"Organooxygen compounds"	0.763	NA	NA	NA	NA	"Organooxygen compounds"	0.763	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	318.944	29	0.476	836961162554697344	836960999882805248	836960999878610944	11	NA	11
1	"C3H2O3S"	"[M + Na]+"	"C3H2NaO3S+"	"Fatty acids"	0.755	"Tropolones"	0.706	"Oxygenated hydrocarbons"	0.42	"Organic acids and derivatives"	0.568	"Carboxylic acids and derivatives"	0.54	NA	NA	NA	NA	"Carboxylic acids and derivatives"	0.54	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	140.962	29	0.485	836961171396290944	836961000222543872	836961000218349568	16	NA	16
1	"CHN2O3P"	"[M + Na]+"	"CHN2NaO3P+"	"Alkaloids"	0.942	"Pseudoalkaloids (transamidation)"	0.451	"Purine alkaloids"	0.517	"Organoheterocyclic compounds"	0.842	"Heteroaromatic compounds"	0.757	NA	NA	NA	NA	"Heteroaromatic compounds"	0.757	"Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	142.962	29	0.486	836961145706177280	836961000419676160	836961000415481856	19	NA	19
2	"C3H4OS2"	"[M + Na]+"	"C3H4NaOS2+"	"Fatty acids"	0.844	"Fatty acyls"	0.803	"Oxygenated hydrocarbons"	0.935	"Organoheterocyclic compounds"	0.9	NA	NA	NA	NA	NA	NA	"Organoheterocyclic compounds"	0.9	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	142.959	29	0.489	836961149141312384	836961000478396416	836961000474202112	20	NA	20
1	"C4H3NO2S2"	"[M - H2O + H]+"	"C4H2NOS2+"	"Amino acids and Peptides"	0.796	"β-lactams"	0.186	"Cephalosporins"	0.074	"Organoheterocyclic compounds"	0.973	"Azoles"	0.596	"Thiazoles"	0.588	NA	NA	"Thiazoles"	0.588	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	143.958	29	0.489	836961163196425856	836961000285458432	836961000285458432	17	NA	17
2	"C4H3NO2S2"	"[M - H2O + H]+"	"C4H2NOS2+"	"Amino acids and Peptides"	0.922	"β-lactams"	0.048	"Aminoacids"	0.044	"Organoheterocyclic compounds"	0.995	"Azoles"	0.932	"Thiazoles"	0.882	"Thiazolecarboxylic acids and derivatives"	0.662	"Thiazolecarboxylic acids and derivatives"	0.662	"Organic compounds; Organoheterocyclic compounds; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Thiazolecarboxylic acids and derivatives; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	143.957	29	0.49	836961150433158016	836961000348372992	836961000348372992	18	NA	18
