formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C8H21F2N2O2Si	[M + Na]+	C8H21F2N2NaO2Si+	1.000	1.000	57.591	57.591	0.000	16	0.472	-3.774	3.774	-0.870		266.123	24	0.397	836961160931501531	836960999127830479	836960999123636174	3	
1	C6H14F3N3	[M + K]+	C6H14F3KN3+	0.999	0.999	18.205	18.205	0.000	5	0.036	1.323	3.241	-4.776		224.076	24	0.407	836961146066887394	836960998989418443	836960998981029834	2	
1	C6H5NOSi	[M + Na]+	C6H5NNaOSi+	1.000	0.998	19.594	19.594	0.000	5	0.033	-1.590	2.022	-1.494		158.003	26	0.441	836961152630973452	836960998729371591	836960998708400070	1	
1	C8H18N2	[M + H3N + H]+	C8H22N3+	1.000	0.500	25.131	25.131	0.000	3	0.085	1.995	1.995	0.286		160.181	28	0.469	836961139104342609	836960999241076691	836960999236882386	4	
1	C6H9O4P	[M + Na]+	C6H9NaO4P+	1.000	1.000	56.819	56.819	0.000	9	0.314	0.361	0.765	0.472		199.013	28	0.470	836961147417453328	836960999421431767	836960999417237462	5	
1	C5HNOS	[M + Na]+	C5HNNaOS+	0.644	0.648	1.120	1.120	0.000	1	0.004	-5.840	5.840	-6.956		145.966	28	0.471	836961339394958238	836960999505317851	836960999501123546	6	
1	C3H6O5S	[M + H]+	C3H7O5S+	0.741	0.500	48.121	48.121	0.000	12	0.122	-3.650	3.650	12.898		155.003	28	0.472	836961146847027960	836960999744393191	836960999744393190	9	
1	C6H5NOSi	[M + Na]+	C6H5NNaOSi+	1.000	1.000	25.202	25.202	0.000	7	0.037	-2.088	2.662	-1.494		158.003	28	0.473	836961155516654783	836961002202255507	836961002198061202	52	
1	C5H12O6S4	[M + Na]+	C5H12NaO6S4+	1.000	1.000	85.922	85.922	0.000	21	0.347	0.932	0.932	8.645		318.944	29	0.476	836961162554697324	836960999882805231	836960999878610926	11	
1	C5H8ClN2O3	[M + Na]+	C5H8ClN2NaO3+	0.980	0.545	7.365	7.365	0.000	3	0.064	-0.363	0.363	0.988		202.012	29	0.476	836961144594686590	836960999668895715	836960999668895714	8	
1	C4H11F2N3OS2	[M + H]+	C4H12F2N3OS2+	1.000	0.500	23.184	23.184	0.000	6	0.682	-2.413	2.413	3.809		220.039	29	0.478	836961145219637930	836960999589203935	836960999585009630	7	
1	C4H7Br2ClNO2P	[M + K]+	C4H7Br2ClKNO2P+	0.763	0.765	52.833	52.833	0.000	23	0.506	0.363	0.549	-0.729		363.790	29	0.481	836961158897264005	836961000012828663	836961000012828662	13	
1	C2H3O2P	[M + K]+	C2H3KO2P+	0.307	0.308	-0.195	-0.195	0.000	1	0.002	7.106	7.106	5.862		128.951	29	0.482	836961151641117641	836961000088326139	836961000088326138	14	
1	C3H4I3NO4	[M - H2O + H]+	C3H3I3NO3+	0.703	0.500	32.913	32.913	0.000	6	0.358	2.889	2.889	-37384.641		481.726	29	0.484	836961139695739482	836961000155435007	836961000155435006	15	
1	C3H2O3S	[M + Na]+	C3H2NaO3S+	0.990	0.962	13.168	13.168	0.000	2	0.054	5.391	5.391	2.585		140.962	29	0.485	836961171396290947	836961000222543875	836961000218349570	16	
1	CHN2O3P	[M + Na]+	CHN2NaO3P+	1.000	0.994	10.551	10.551	0.000	3	0.066	7.382	7.382	0.565		142.962	29	0.486	836961145706177234	836961000419676175	836961000415481870	19	
