"samples"	"LV1"	"LV2"
"20260424_CVOL_Group_01_11A.mzML"	-8.43249978273813	-2.32389747450385
"20260424_CVOL_Group_01_11B.mzML"	-3.90746674162213	-2.954766747783
"20260424_CVOL_Group_01_11C.mzML"	-7.4816313995544	-2.48151221460497
"20260424_CVOL_Group_01_11D.mzML"	-11.0574534705362	-2.02555423354442
"20260424_CVOL_Group_01_4A.mzML"	-11.9138325340964	6.34733506943544
"20260424_CVOL_Group_01_4B.mzML"	-10.7545289580769	4.90647041234856
"20260424_CVOL_Group_01_4C.mzML"	-7.43564747254201	5.16279501164423
"20260424_CVOL_Group_01_4D.mzML"	-9.76763784722153	4.13910889856929
"20260424_CVOL_Group_01_8A.mzML"	-7.19423917591723	-2.70908175059087
"20260424_CVOL_Group_01_8B.mzML"	-5.84834666274037	-2.63423821391385
"20260424_CVOL_Group_01_8C.mzML"	-11.6111078229701	-1.30209435010881
"20260424_CVOL_Group_01_8D.mzML"	-4.20509420874933	-2.95596291314834
"20260424_CVOL_Group_01_WT_A.mzML"	-8.71361259539664	-1.7854706623433
"20260424_CVOL_Group_01_WT_B.mzML"	-10.3178974174848	-2.57440147098084
"20260424_CVOL_Group_01_WT_C.mzML"	-6.6782064072768	-2.99169515960078
"20260424_CVOL_Group_01_WT_D.mzML"	-10.0755870054771	-1.04775116123624
