"attribute_group"	"attribute_mutant"	"attribute_replicate"	"filename"	"sample_id"	"sample_type"	"source_taxon"	"source_taxon_qid"
"11"	"xthA1"	"A"	"20260424_CVOL_Group_01_11A.mzML"	"11A"	"sample"	"Ensifer meliloti"	"Q25842083"
"11"	"xthA1"	"B"	"20260424_CVOL_Group_01_11B.mzML"	"11B"	"sample"	"Ensifer meliloti"	"Q25842083"
"11"	"xthA1"	"C"	"20260424_CVOL_Group_01_11C.mzML"	"11C"	"sample"	"Ensifer meliloti"	"Q25842083"
"11"	"xthA1"	"D"	"20260424_CVOL_Group_01_11D.mzML"	"11D"	"sample"	"Ensifer meliloti"	"Q25842083"
"4"	"xthB1"	"A"	"20260424_CVOL_Group_01_4A.mzML"	"4A"	"sample"	"Ensifer meliloti"	"Q25842083"
"4"	"xthB1"	"B"	"20260424_CVOL_Group_01_4B.mzML"	"4B"	"sample"	"Ensifer meliloti"	"Q25842083"
"4"	"xthB1"	"C"	"20260424_CVOL_Group_01_4C.mzML"	"4C"	"sample"	"Ensifer meliloti"	"Q25842083"
"4"	"xthB1"	"D"	"20260424_CVOL_Group_01_4D.mzML"	"4D"	"sample"	"Ensifer meliloti"	"Q25842083"
"8"	"xthA2"	"A"	"20260424_CVOL_Group_01_8A.mzML"	"8A"	"sample"	"Ensifer meliloti"	"Q25842083"
"8"	"xthA2"	"B"	"20260424_CVOL_Group_01_8B.mzML"	"8B"	"sample"	"Ensifer meliloti"	"Q25842083"
"8"	"xthA2"	"C"	"20260424_CVOL_Group_01_8C.mzML"	"8C"	"sample"	"Ensifer meliloti"	"Q25842083"
"8"	"xthA2"	"D"	"20260424_CVOL_Group_01_8D.mzML"	"8D"	"sample"	"Ensifer meliloti"	"Q25842083"
"WT"	"WT"	"A"	"20260424_CVOL_Group_01_WT_A.mzML"	"WT_A"	"sample"	"Ensifer meliloti"	"Q25842083"
"WT"	"WT"	"B"	"20260424_CVOL_Group_01_WT_B.mzML"	"WT_B"	"sample"	"Ensifer meliloti"	"Q25842083"
"WT"	"WT"	"C"	"20260424_CVOL_Group_01_WT_C.mzML"	"WT_C"	"sample"	"Ensifer meliloti"	"Q25842083"
"WT"	"WT"	"D"	"20260424_CVOL_Group_01_WT_D.mzML"	"WT_D"	"sample"	"Ensifer meliloti"	"Q25842083"
