"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"100_298.83_0.6",100,298.829046521536,0.60523,NA
"101_255.1_0.6",101,255.097597240216,0.6093179,"C11H14N2O5"
"102_176.1_0.6",102,176.102961561484,0.60665315,"C6H10N2O3"
"1020_679.6_10.2",1020,679.598758542008,10.205156,"C41H75NO5"
"1021_744.55_10.2",1021,744.554136871953,10.222459,"C39H80NO8P"
"1026_786.6_10.2",1026,786.601102049813,10.244782,"C46H81N3O8"
"103_159.08_0.6",103,159.076553132034,0.60622615,"C6H7NO3"
"1036_744.55_10.3",1036,744.554131680231,10.308563,"C39H80NO8P"
"104_284.83_0.6",104,284.83441253998,0.6088632,"C2H4Cl4O2P2"
"105_146.12_0.6",105,146.117559776288,0.60665566,"C7H15NO2"
"106_272.98_0.6",106,272.982320156034,0.614043,"C6H13Cl2O4P"
"107_175.11_0.6",107,175.107756436574,0.6165733,"C7H11NO3"
"1079_504.51_11.1",1079,504.514095256721,11.141134,"C34H62O"
"108_123.06_0.7",108,123.055483962557,0.6511688,"C6H3NO"
"1084_125.09_11.2",1084,125.090372171137,11.2052,NA
"109_302.8_0.6",109,302.800103156122,0.61873025,NA
"1094_504.51_11.3",1094,504.514093757087,11.333272,"C34H62O"
"110_144.1_0.6",110,144.101870115879,0.6148141,"C7H10O2"
"1101_150.1_11.5",1101,150.102631033055,11.543242,"C8H13N3O"
"111_584.2_0.6",111,584.204653598563,0.62528855,"C27H35N3O8S"
"1121_125.09_11.9",1121,125.090343876034,11.907854,NA
"1127_150.1_11.9",1127,150.102629287574,11.940561,"C8H8N2"
"113_600.17_0.6",113,600.174302915676,0.6283073,"C30H31N3O8"
"114_134.12_0.6",114,134.117577333339,0.6300645,"C6H12O2"
"117_136.06_0.6",117,136.061842449442,0.64272684,"C5H2N4"
"118_284.1_0.6",118,284.098984089754,0.64363736,"C10H13N5O5"
"119_573.21_0.6",119,573.214785634843,0.64602697,"C21H38N2O17"
"120_276.12_0.6",120,276.119054084745,0.647047,"C10H14N2O6"
"121_516.69_0.6",121,516.690938940129,0.64706886,NA
"122_152.06_0.6",122,152.056743009975,0.6493152,"C4H6O5"
"123_254.09_0.7",123,254.088369349863,0.65007675,"C9H8N4O4"
"124_196.08_0.7",124,196.082895348489,0.6603766,"C7H6N4O2"
"125_302.17_0.7",125,302.171003805599,0.66447055,"C13H25N3O6"
"126_130.09_0.6",126,130.086402275106,0.64112407,"C6H8O2"
"127_298.1_0.7",127,298.096760319565,0.67603606,"C11H15N5O3S"
"128_174.16_0.7",128,174.160078379477,0.6687491,"C8H16N2O"
"129_123.06_0.7",129,123.055487486718,0.6697561,"C6H3NO"
"130_294.86_0.6",130,294.862896599408,0.6374247,NA
"132_188.18_0.7",132,188.175795971582,0.67348456,"C9H18N2O"
"133_174.15_0.7",133,174.148931785762,0.6841622,"C9H16O2"
"134_192.16_0.7",134,192.159518055161,0.684631,"C9H18O3"
"135_214.14_0.7",135,214.141425588805,0.68559194,"C9H21NO3"
"137_137.05_0.7",137,137.045863895971,0.69401234,"C5H4N4O"
"139_308.09_0.7",139,308.090920633535,0.6991576,"C10H14N2O6S"
"141_129.14_0.7",141,129.138790236458,0.69215286,"C7H16N2"
"142_146.17_0.7",142,146.16517015466,0.6975984,"C7H16N2"
"143_143.15_0.7",143,143.154117964293,0.703361,"C8H18N2"
"144_126.13_0.7",144,126.127908767972,0.70580137,"C8H12"
"145_161.18_0.7",145,161.184018775143,0.7127856,NA
"146_160.18_0.7",146,160.18077410135,0.7107099,"C8H18N2"
"147_161.18_0.7",147,161.178338539319,0.7125353,"C9H19O"
"150_150.06_0.7",150,150.058376935086,0.7180858,"C4H8O3Si"
"151_133.03_0.7",151,133.031878507145,0.71817213,"C5H8O2S"
"153_193.07_0.8",153,193.068055540331,0.7522397,"C5H12BNO4S"
"155_153.04_0.7",155,153.040743789924,0.7298483,"C5H6N4O3"
"158_174.2_0.7",158,174.196501437544,0.7370028,"C9H20N2"
"160_193.07_0.9",160,193.068104716594,0.8650151,"C5H14BNO5S"
"161_182.08_0.9",161,182.081380194565,0.88328665,"C9H8O3"
"164_272.16_1",164,272.160461480195,0.9675315,"C12H18N2O4"
"166_310.22_1",166,310.222297299439,0.97877204,"C14H28O6"
"167_136.06_1",167,136.061859844756,0.98879105,"C5H7N5O"
"168_268.1_1",168,268.104048768297,1.0062627,"C10H13N5O4"
"172_132.1_1.1",172,132.102004400383,1.0687152,NA
"173_133.11_1.1",173,133.105328498972,1.0692437,"C7H16S"
"176_152.06_1.2",176,152.056751318873,1.1802884,"C5H2N4O"
"180_137.05_1.2",180,137.045849827764,1.2346945,"C5H4N4O"
"183_182.08_1.3",183,182.078782039773,1.2962427,"C7H13NO3"
"184_189.05_1.3",184,189.052368754103,1.3171477,NA
"185_151.1_1.3",185,151.096525707755,1.3203027,"C6H14O4"
"186_196.09_1.4",186,196.094508730629,1.3964484,"C8H15NO3"
"188_156.1_1.4",188,156.102029177891,1.3979744,"C8H10O2"
"189_292.21_1.4",189,292.211777672887,1.4050989,"C14H31NO6"
"190_250.09_1.5",190,250.093445658418,1.4997513,"C10H13N5O4"
"191_127.05_1.5",191,127.050348702294,1.5146574,"C5H3NO2"
"192_166.09_1.5",192,166.086288482954,1.5297055,"C9H11NO2"
"193_120.08_1.5",193,120.08098909783,1.5302453,"C8H6"
"194_276.11_1.5",194,276.107839349896,1.5313092,"C11H14O7"
"195_298.09_1.5",195,298.089545721697,1.5326482,"C11H12BNO5S"
"197_156.1_1.5",197,156.102043659954,1.5362347,"C8H10O2"
"199_262.2_1.5",199,262.201327311098,1.546493,"C13H24O4"
"205_262.2_1.7",205,262.201322554238,1.6612624,"C13H24O4"
"206_139.08_1.7",206,139.075435884111,1.6773666,"C8H10O2"
"207_138.09_1.7",207,138.091429051717,1.676155,"C8H8O"
"208_196.09_1.7",208,196.094505329522,1.6763124,"C8H15NO3"
"209_156.1_1.7",209,156.102025112846,1.6768367,"C8H10O2"
"210_299.16_1.7",210,299.160108385794,1.6752441,"C14H19NO5"
"211_219.17_1.7",211,219.169950167831,1.6762065,"C10H19NO3"
"212_218.11_1.7",212,218.107960998097,1.7156562,"C12H9FN2"
"213_186.11_1.7",213,186.112476964909,1.699604,"C9H12O3"
"214_155_1.7",214,155.002831054294,1.7168317,"C6H6ClF"
"215_196.13_1.7",215,196.126037326933,1.7172318,"C7H12F2N2O"
"216_189.16_1.8",216,189.159727970383,1.7579082,"C9H17NO2"
"217_144.1_1.8",217,144.101923142808,1.7580764,"C7H10O2"
"218_233.19_1.8",218,233.185938645642,1.7664123,"C11H21NO3"
"220_210.11_1.8",220,210.110051697875,1.7651801,"C9H17NO3"
"221_170.12_1.8",221,170.117570062118,1.76642,"C9H12O2"
"224_146.12_1.8",224,146.117616164613,1.8209858,"C7H12O2"
"227_136.06_1.9",227,136.061824649395,1.9457157,NA
"229_152.06_2",229,152.05673627428,1.9584106,"C5H7N5O2"
"230_298.1_2",230,298.096809913135,1.9689721,"C11H15N5O3S"
"231_146.06_2",231,146.060094927268,1.9795029,"C9H7NO"
"232_136.06_2",232,136.061820222295,1.9683437,NA
"233_188.07_2",233,188.070589771016,1.9810214,"C11H9NO2"
"234_205.1_2",234,205.097193662618,1.9810214,"C11H9NO2"
"235_256.18_2",235,256.175473478914,2.0112019,"C10H22O6"
"236_284.21_2",236,284.20673897268,2.011725,"C12H26O6"
"237_231.17_2.1",237,231.17032742314,2.0788853,"C11H19NO3"
"238_210.11_2.1",238,210.110096055972,2.0822723,"C9H17NO3"
"239_170.12_2.1",239,170.11756922773,2.0817385,"C9H12O2"
"240_186.11_2.1",240,186.112462017851,2.0783467,"C9H12O3"
"243_187.14_2.2",243,187.144006007453,2.1696188,"C9H15NO2"
"244_184.13_2.2",244,184.133299011986,2.1667728,"C10H14O2"
"245_224.13_2.2",245,224.125750150828,2.1686463,"C10H19NO3"
"247_209.14_2.2",247,209.138405520416,2.227824,"C9H20O5"
