	WT_vs_xthA1_fold_change_log2	WT_vs_xthA1_p_value	WT_vs_xthA2_fold_change_log2	WT_vs_xthA2_p_value	WT_vs_xthB1_fold_change_log2	WT_vs_xthB1_p_value	xthA1_vs_xthA2_fold_change_log2	xthA1_vs_xthA2_p_value	xthA1_vs_xthB1_fold_change_log2	xthA1_vs_xthB1_p_value	xthA2_vs_xthB1_fold_change_log2	xthA2_vs_xthB1_p_value
N-ribosylnicotinamide	0.0871186122029139	0.972789623570548	0.666609273664714	0.00790245922749644	0	1	0.579490661461801	0.0166418400288849	-0.0871186122029139	0.972789623570548	-0.666609273664714	0.00790245922749644
4-(trimethylammonio)butanoate	0.118642804850598	0.950513841813921	0.350006159182198	0.368731968566648	-0.0338629802062007	0.998895779822457	0.231363354331599	0.659141716137134	-0.152505785056799	0.905860249462581	-0.383869139388399	0.304588897289496
Bis-(1-chloro-2-propyl) phosphate	0.162090006171428	0.906251433593053	0.408510647969373	0.300575402714363	0.303110693058743	0.569547620421967	0.246420641797945	0.652933657809349	0.141020686887315	0.914320573188512	-0.10539995491063	0.950826361522432
(2E,10Z)-2-[(Z)-pentadec-6-enyl]nonadeca-2,10-dienal	-0.328553951203098	0.374394224920786	-0.25020429746751	0.57188617050811	-0.293975788913869	0.455614331031255	0.0783496537355878	0.982330662184178	0.034578162289229	0.998474102146815	-0.0437714914463587	0.996669323129848
N-[(4S,7S,8R)-5-[1,3-benzodioxol-5-yl(oxo)methyl]-8-methoxy-4,7,10-trimethyl-11-oxo-2-oxa-5,10-diazabicyclo[10.4.0]hexadeca-1(12),13,15-trien-14-yl]ethanesulfonamide	0	1	0	1	0.936914021312162	4.52082815627364e-13	0	1	0.936914021312162	4.52082815627364e-13	0.936914021312162	4.52082815627364e-13
methyl purine-6-carboxylate	-0.054656669303928	0.948282860120216	-0.177400614056509	0.379051809380276	0.569010963655821	7.52151314261651e-05	-0.122743944752581	0.676535888658559	0.623667632959749	3.62902425862233e-05	0.74641157771233	8.67100555967948e-06
Ile-Ser-Thr	0.0575151188879817	0.993346979782603	0.379467638489236	0.263200628616991	-0.0381417874965434	0.998210218589954	0.321952519601254	0.376074655500862	-0.0956569063845252	0.972103040013133	-0.417609425985779	0.205431206051659
5'-S-methyl-5'-thioadenosine	0.0244278486389062	0.996606646901475	0.0381229310060424	0.987294974462577	-0.715711811568163	0.00218870862128728	0.0136950823671363	0.999369268447591	-0.740139660207069	0.00154985623766291	-0.753834742574206	0.00127680891585402
Triisopropanolamine	0.221016712313197	0.305757315260743	0.248710732351152	0.213230922096624	0.633264778370582	0.000269222641628986	0.0276940200379549	0.994209247063209	0.412248066057384	0.00519837447457105	0.38455404601943	0.00800580440466059
hypoxanthine	0.522227558500621	0.0146957496034549	0.619569579548428	0.00342160243658196	0.342453246712555	0.163955695816814	0.0973420210478065	0.83291562702472	-0.179774311788066	0.513745755354508	-0.277116332835873	0.162672850557932
S-(2-boronoethyl)-L-cysteine	0.247852003829887	0.347430104117314	0.388751646813294	0.0594832362481136	0.611201389163056	0.00181513605840589	0.140899642983407	0.679147699165727	0.363349385333169	0.036272685751902	0.222449742349762	0.232747222741373
trans-4-coumarate	0.0267536695502835	0.996692895721605	0.413308648876968	0.0147849859319159	0.65984143928964	0.000170529712035683	0.386554979326685	0.0212471559590759	0.633087769739357	0.0002313692476833	0.246532790412672	0.0736146858231402
4,6-diamino-5-formamidopyrimidine	0.346836857210253	0.318996087737443	0.400071051943171	0.202005880813712	0.12625942152979	0.928083274715745	0.0532341947329181	0.988418610765527	-0.220577435680463	0.640952021610142	-0.273811630413381	0.460428089817401
adenosine	0.341491413358495	0.243404558387263	0.501044977653519	0.039857829314686	0.0746863416597883	0.977889805713365	0.159553564295024	0.69274173514755	-0.266805071698706	0.416033428444952	-0.426358635993731	0.0787398680227916
triethylene glycol	-0.122918800879988	0.926411360566637	-0.36862711516608	0.370660975418509	0.0345733597401998	0.997751122961174	-0.245708314286092	0.709350294794873	0.157492160620188	0.85614055227505	0.40320047490628	0.290319348599325
D-phenylalanine	-0.0032210568032838	0.999988901976236	-0.064065817735621	0.930324053856232	0.707144624926383	7.94565308592787e-06	-0.0608447609323373	0.939562948198231	0.710365681729666	7.65935092794656e-06	0.771210442662004	3.95369690830982e-06
acetophenone	-0.165490716771655	0.918422335563776	-0.198399417220875	0.873342662243027	0.378826806099728	0.336747450968379	-0.0329087004492201	0.999378344717149	0.544317522871383	0.130504254304263	0.577226223320603	0.107662971573726
N-acetyl-L-isoleucinate	-0.28216253373607	0.577703961354833	-0.267364767051552	0.613944482731527	0.178330037190076	0.770784708531872	0.0147977666845174	0.999908292534495	0.460492570926146	0.159965946952999	0.445694804241628	0.176299981611612
gabapentin	-0.112156519968088	0.94902841360834	-0.270634780050358	0.625809293898826	0.19094478445366	0.746522795909078	-0.158478260082271	0.899952087552149	0.303101304421748	0.443238844459108	0.461579564504018	0.169738939083265
Cyclopentylacetic acid	-0.121251019681903	0.960506786069228	-0.10454817298023	0.973550979447627	0.280207240353622	0.582769643494101	0.0167028467016725	0.999897030262548	0.401458260035524	0.327545406884206	0.384755413333852	0.356931095884235
indole-4-carbaldehyde	0.250988761581307	0.523646081150245	0.560079657699203	0.0201333941024567	0.374335637607711	0.184057815030799	0.309090896117896	0.210339691919467	0.123346876026405	0.861344238330619	-0.185744020091491	0.573933005520048
(E)-3-(indol-3-yl)acrylate(1-)	0.226009612554223	0.57868549492514	0.539872278464008	0.0203179027397755	0.368827785645005	0.16844085336428	0.313862665909785	0.183211199746844	0.142818173090782	0.787293804673447	-0.171044492819002	0.610226474382628
