"feature_id_full","feature_id","feature_mz","feature_rt","WT_vs_xthA1_p_value","WT_vs_xthA2_p_value","WT_vs_xthB1_p_value","xthA1_vs_xthA2_p_value","xthA1_vs_xthB1_p_value","xthA2_vs_xthB1_p_value","WT_vs_xthA1_p_value_minus_log10","WT_vs_xthA2_p_value_minus_log10","WT_vs_xthB1_p_value_minus_log10","xthA1_vs_xthA2_p_value_minus_log10","xthA1_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_fold_change","xthA1_vs_xthB1_fold_change","WT_vs_xthB1_fold_change","xthA1_vs_xthA2_fold_change","WT_vs_xthA2_fold_change","WT_vs_xthA1_fold_change","xthA2_vs_xthB1_fold_change_log2","xthA1_vs_xthB1_fold_change_log2","WT_vs_xthB1_fold_change_log2","xthA1_vs_xthA2_fold_change_log2","WT_vs_xthA2_fold_change_log2","WT_vs_xthA1_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"230_298.1_2",230,298.096809913135,1.9689721,0.000380516269676945,4.1379166673905e-05,6.02960792406293e-10,0.440894916900939,2.5930518288142e-08,9.25193475165287e-08,3.41962676943254,4.38321825974493,9.21971092698953,0.355664908147138,7.58618880265099,7.03376743870914,0.630460946575642,0.604125165276008,0.521533919207958,0.958227735686601,0.827226368327296,0.863287856862713,-0.665521088214362,-0.727080610543123,-0.939167009962509,-0.0615595223287604,-0.273645921748147,-0.212086399419387,"Carbohydrates","Nucleosides","Purine nucleosides","Methylthioadenosine","CSC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3N)O1)O)O",NA,"CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O","\"\"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1\"\"",NA,"WUUGFSXJNOTRMR-IOSLPCCCSA-N","WUUGFSXJNOTRMR",NA,NA,NA,"InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)","WUUGFSXJNOTRMR"
"103_159.08_0.6",103,159.076553132034,0.60622615,0.00186715230324952,0.0142770233804165,0.987338430214204,0.64500495269287,0.00109394534856166,0.00807307546205882,2.72882025528977,1.84536232926931,0.00553395859504991,0.190436950606708,2.96100437399067,2.09296098798449,0.6194003752037,0.556655613622194,0.952343373860273,0.898700801463235,1.53752469644062,1.71083044984189,-0.691055837957522,-0.845143044124993,-0.0704462540771861,-0.154087206167471,0.620609583880336,0.774696790047807,"Amino acids and Peptides","Nicotinic acid alkaloids","Primary amides","3-Acetyltetramic acid",NA,"CC1=NC[C@H](O)[C@@H](C(=O)O)N1","CC(=O)C1=C(CNC1=O)O",NA,NA,NA,NA,"KIIBBJKLKFTNQO","InChI=1S/C6H10N2O3/c1-3-7-2-4(9)5(8-3)6(10)11/h4-5,9H,2H2,1H3,(H,7,8)(H,10,11)/t4-,5-/m0/s1","KIIBBJKLKFTNQO-WHFBIAKZSA-N","InChI=1S/C6H7NO3/c1-3(8)5-4(9)2-7-6(5)10/h9H,2H2,1H3,(H,7,10)","PHWJWQHPYLBZPF"
"102_176.1_0.6",102,176.102961561484,0.60665315,0.00206763060365234,0.0155775255426769,0.982788512229214,0.651829457339898,0.00113885210352005,0.0082595429537301,2.68452704832725,1.80750152795415,0.00753992861098396,0.185866016882394,2.94353267170281,2.08304398393443,0.626240068324899,0.564200219537401,0.948560265596837,0.900932802090666,1.51469111220254,1.6812476010282,-0.675212276407115,-0.825720867592983,-0.0761886585034661,-0.150508591185868,0.599023617903649,0.749532209089517,"Amino acids and Peptides","Small peptides","Aminoacids","TYZIHRRZGCOGJD",NA,"NC(=O)NCCC[C@H](N)C(=O)O","NC(N)(CC=CC=O)C(=O)O",NA,NA,NA,NA,"RHGKLRLOHDJJDR","InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1","RHGKLRLOHDJJDR-BYPYZUCNSA-N","InChI=1S/C6H10N2O3/c7-6(8,5(10)11)3-1-2-4-9/h1-2,4H,3,7-8H2,(H,10,11)","TYZIHRRZGCOGJD"
"144_126.13_0.7",144,126.127908767972,0.70580137,0.00229484190880536,0.000334236427547485,1.5845769141265e-10,0.634250735122348,8.85091999691667e-12,5.19917442431961e-12,2.63924722755519,3.47594621925195,9.80008667564691,0.197739020741006,11.0530115848029,11.2840656124089,0.51906040139309,0.529787274387058,0.576697939113167,1.02066594362656,1.11104206286086,1.08854622788058,-0.946025664743648,-0.916514904632409,-0.794112228095809,0.0295107601112389,0.151913436647839,0.1224026765366,"Fatty acids","Fatty acyls","Hydrocarbons","1-Deuterio-1-prop-2-ynylcyclopentane",NA,NA,"C#CCC1CCCC1",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C8H12/c1-2-5-8-6-3-4-7-8/h1,8H,3-7H2","VBTCAHMANZTRMG"
"97_300.83_0.6",97,300.825953209012,0.60276407,0.00310225782079554,1.8839794917902e-05,0.00164958505065693,0.021422780190962,0.980628467326025,0.0415213449146152,2.50832211190735,4.72492382906481,2.78262528783082,1.66912416827344,0.00849550347903533,1.38172858773339,1.28912571690759,0.973129825556562,0.734807050845369,0.754875814510122,0.570004182841108,0.755096628987926,0.366392963711274,-0.0392958066412129,-0.444562624982951,-0.405688770352487,-0.810955588694225,-0.405266818341738,"Fatty acids","Fatty Acids and Conjugates","Halogenated fatty acids","1-Dichlorophosphoryl-1-dichlorophosphoryloxyethane",NA,NA,"CC(OP(=O)(Cl)Cl)P(=O)(Cl)Cl",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C2H4Cl4O3P2/c1-2(10(3,4)7)9-11(5,6)8/h2H,1H3","UIPXYPCLZAFTJC"
"100_298.83_0.6",100,298.829046521536,0.60523,0.0046695073371501,4.92351462110241e-05,0.00320387192606764,0.0506029806757242,0.995954702854077,0.0739153514442349,2.3307289378587,4.30772476804111,2.49432485304779,1.2958239010872,0.00176041333119354,1.13126535382257,1.24017205351525,0.984591723781414,0.756606538945188,0.793915425678723,0.610081913070529,0.768446982307927,0.310540284752586,-0.0224024821779707,-0.402384850005453,-0.332942766930557,-0.71292513475804,-0.379982367827482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146_160.18_0.7",146,160.18077410135,0.7107099,0.00692941074935804,0.000557850106040703,4.97790697551181e-12,0.454183759538734,1.74238401484672e-12,1.30118138486068e-12,2.15930369456318,3.2534824800311,11.3029532235168,0.342768399109703,11.7588561219178,11.8856621585089,0.52651408381295,0.537792698445808,0.570690430310552,1.02142129713071,1.08390344694615,1.06117177113006,-0.925455972230208,-0.894877926860532,-0.809219723671254,0.0305780453696757,0.116236248558954,0.0856582031892784,"Alkaloids","Ornithine alkaloids","Polyamines","4-(Pyrrolidin-1-yl)butan-1-amine",NA,NA,"C1CCN(C1)CCCCN",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C8H18N2/c9-5-1-2-6-10-7-3-4-8-10/h1-9H2","LSDYCEIPEBJKPT"
"145_161.18_0.7",145,161.184018775143,0.7127856,0.0112394714750691,0.00428451648350692,7.34836635984948e-11,0.942583463433114,7.75890462989537e-12,6.05093752881203e-12,1.94925411055146,2.36809818200058,10.1338091996587,0.0256801837178487,11.1101995863153,11.2181773307946,0.523368870710984,0.528334379715713,0.565074024485678,1.00948758950448,1.07968596549894,1.06953862209333,-0.934099977544707,-0.920476803052042,-0.823488222469183,0.013623174492665,0.110611755075525,0.0969885805828596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143_143.15_0.7",143,143.154117964293,0.703361,0.013958833254337,0.00114082913873781,7.45559169956778e-09,0.479928504112615,7.84729281555485e-10,3.20118598295949e-10,1.8551508805939,2.94277939472273,8.12751788384614,0.318823455503715,9.10528014173166,9.49468909342017,0.532466861362758,0.550054190052745,0.599677846509967,1.03302990282809,1.12622566778183,1.09021594118293,-0.909236354403911,-0.862354338306078,-0.737740417599013,0.0468820160978327,0.171495936804898,0.124613920707066,"Alkaloids","Pseudoalkaloids (transamidation)","Acetate-derived alkaloids","4-(Pyrrolidin-1-yl)butan-1-amine","c1ncc2nc[nH]c2n1",NA,"C1CCN(C1)CCCCN","\"\"InChI=1S/C5H4N4/c1-4-5(8-2-6-1)9-3-7-4/h1-3H,(H,6,7,8,9)\"\"",NA,"KDCGOANMDULRCW-UHFFFAOYSA-N","KDCGOANMDULRCW",NA,NA,NA,"InChI=1S/C8H18N2/c9-5-1-2-6-10-7-3-4-8-10/h1-9H2","LSDYCEIPEBJKPT"
"137_137.05_0.7",137,137.045863895971,0.69401234,0.0146957496034549,0.00342160243658196,0.163955695816814,0.83291562702472,0.513745755354508,0.162672850557932,1.83280825645485,2.46577045348256,0.785273491352992,0.0793989896777821,0.28925175330805,0.788684923011176,0.82523886205267,0.882841092865629,1.26791079479522,1.06980067646073,1.53641673108009,1.43617102221611,-0.277116332835873,-0.179774311788066,0.342453246712555,0.0973420210478065,0.619569579548428,0.522227558500621,"Alkaloids","Pseudoalkaloids (transamidation)","Purine alkaloids","Sarkin",NA,NA,"C1=NC2=C(N1)C(=O)N=CN2",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)","FDGQSTZJBFJUBT"
