feature_id	IK2D	Sources	SMILES	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_superclass	gnps_class	gnps_subclass	gnps_npclassifier_superclass	gnps_npclassifier_class	gnps_npclassifier_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_compoundId	sirius_overallFeatureQuality
2	NLKVTFIRFAXIAP	sirius	CCCNC(CC(N)(N)F)(F)F																																																																																												1.0	1.0	0.029	0.029	-96.28	0.999	0.999	18.205	C6H14F3N3	[M + K]+	C6H14F3KN3+	InChI=1S/C6H14F3N3/c1-2-3-12-5(7,8)4-6(9,10)11/h12H,2-4,10-11H2,1H3	1,3,3-trifluoro-3-N-propylpropane-1,1,3-triamine	CCCNC(CC(N)(N)F)(F)F	0.4	141261126	PUBCHEM:(141261126)	2.0	224.076	24.0	0.407	8.369611460668874e+17	8.369609989894185e+17	8.369609989810299e+17	
4	IHYJTAOFMMMOPX	gnps	CC(=O)NC(C(=O)O)C(C)C	CCMSLIB00016338526	spectra_filtered.mgf	GNPS-N-ACYL-LIPIDS-MASSQL.mgf	0.781419	1009030.0	0.0	523.727	6.0	0.083847	160.181	0.0	temp/spectra_filtered.mgf4	1.0	Candidate Valine-C2:0 (delta mass:42.0104)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	160.097	160.097	0.0			CC(=O)NC(C(=O)O)C(C)C	InChI=1S/C7H13NO3/c1-4(2)6(7(10)11)8-5(3)9/h4,6H,1-3H3,(H,8,9)(H,10,11)		4.0	Positive	GNPS-N-ACYL-LIPIDS-MASSQL	160.097	UPDATE-SINGLE-ANNOTATED-BRONZE	Insilico		C7H13NO3	IHYJTAOFMMMOPX-UHFFFAOYSA-N	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016338526																																																																								
4	PXZQKOBVOJEWOH	sirius	C1CC1CNCCCCN																																																																																												1.0	1.0	0.098	0.098	-46.989	1.0	0.5	25.131	C8H18N2	[M + H3N + H]+	C8H22N3+	InChI=1S/C8H18N2/c9-5-1-2-6-10-7-8-3-4-8/h8,10H,1-7,9H2	N'-(cyclopropylmethyl)butane-1,4-diamine	C1CC1CNCCCCN	0.3	60893628	PUBCHEM:(60893628)	2.0	160.181	28.0	0.469	8.369611391043427e+17	8.369609992410767e+17	8.369609992368824e+17	
5	SVFGYYHVGLDSPE	sirius	CC#CC=CCOP(=O)(O)O																																																																																												1.0	1.0	0.16	0.16	-60.016	1.0	1.0	56.819	C6H9O4P	[M + Na]+	C6H9NaO4P+	InChI=1S/C6H9O4P/c1-2-3-4-5-6-10-11(7,8)9/h4-5H,6H2,1H3,(H2,7,8,9)	SVFGYYHVGLDSPE	CC#CC=CCOP(=O)(O)O	0.432		LotusExpanded	8589934592.0	199.013	28.0	0.47	8.369611474174533e+17	8.369609994214318e+17	8.369609994172375e+17	
6	ATHGHQPFGPMSJY	gnps	NCCCCNCCCN	CCMSLIB00005463985	spectra_filtered.mgf	GNPS-MSMLS.mgf	0.938083	7035440.0	0.0	1360.78	6.0	0.198898	145.966	1.0	temp/spectra_filtered.mgf6	1.0	SPERMIDINE	ESI	Orbitrap	Commercial	Dorrestein	Kelly Weldon	M+H	146.165	145.158	1.0	124-20-9		NCCCCNCCCN	"""InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2"""		1.0	Positive	GNPS-MSMLS	146.165	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C7H19N3	ATHGHQPFGPMSJY-UHFFFAOYSA-N	Organic nitrogen compounds	Organonitrogen compounds	Amines	Ornithine alkaloids	Polyamines	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00005463985																																																																								
9	BKEZNIFOORQAPK	sirius	C(C(C(=O)O)O)S(=O)O																																																																																												1.0	1.0	0.041	0.041	-41.75	0.741	0.5	48.121	C3H6O5S	[M + H]+	C3H7O5S+	InChI=1S/C3H6O5S/c4-2(3(5)6)1-9(7)8/h2,4H,1H2,(H,5,6)(H,7,8)	2-Hydroxy-3-sulfinopropanoic acid	C(C(C(=O)O)O)S(=O)O	-1.7	13120911	LotusExpanded;PUBCHEM:(13120911)	8589934594.0	155.003	28.0	0.472	8.36961146847028e+17	8.369609997443932e+17	8.369609997443932e+17	
10	DXVKLULMQBKMJB	sirius	COC1=CC=C(C(C1F)CN)Cl																																																																																												1.0	1.0	0.064	0.064	-126.013	0.971	0.975	23.591	C8H11ClFNO	[M + Na]+	C8H11ClFNNaO+	InChI=1S/C8H11ClFNO/c1-12-7-3-2-6(9)5(4-11)8(7)10/h2-3,5,8H,4,11H2,1H3	[(6S)-2-chloro-6-fluoro-5-methoxycyclohexa-2,4-dien-1-yl]methanamine	COC1=CC=C(C(C1F)CN)Cl	1.0	89721790	PUBCHEM:(89721790)	2.0	214.04	30.0	0.5	8.369611449889512e+17	8.369609998073078e+17	8.369609998073078e+17	
11	GDCVHJYYVDPBRY	sirius	COS(=O)(=O)CSCSCS(=O)(=O)OC																																																																																												1.0	1.0	0.009	0.009	-67.204	1.0	1.0	85.922	C5H12O6S4	[M + Na]+	C5H12NaO6S4+	InChI=1S/C5H12O6S4/c1-10-14(6,7)4-12-3-13-5-15(8,9)11-2/h3-5H2,1-2H3	Methyl methoxysulfonylmethylsulfanylmethylsulfanylmethanesulfonate	COS(=O)(=O)CSCSCS(=O)(=O)OC	0.7	158219928	PUBCHEM:(158219928)	2.0	318.944	29.0	0.476	8.369611625546973e+17	8.369609998828052e+17	8.36960999878611e+17	
16	UFVXNZLUXSHTTF	sirius	C1(C(=O)S1)C(=O)O																																																																																												1.0	1.0	0.057	0.057	-59.971	0.99	0.962	13.168	C3H2O3S	[M + Na]+	C3H2NaO3S+	InChI=1S/C3H2O3S/c4-2(5)1-3(6)7-1/h1H,(H,4,5)	[(3S)-3-carboxythiiran-2-ylidene]oxidanium	C1(C(=O)S1)C(=O)O	0.8	70680443;70680444	PUBCHEMANNOTATIONBIO;PUBCHEM:(70680443 70680444)	16777218.0	140.962	29.0	0.485	8.36961171396291e+17	8.369610002225439e+17	8.369610002183496e+17	
17	UZWWFFJHMATGGR	sirius	C1=C(NC(=S)S1)C(=O)O																																																																																												1.0	1.0	0.169	0.169	-53.469	0.717	0.477	8.399	C4H3NO2S2	[M - H2O + H]+	C4H2NOS2+	InChI=1S/C4H3NO2S2/c6-3(7)2-1-9-4(8)5-2/h1H,(H,5,8)(H,6,7)	2-sulfanylidene-3H-1,3-thiazole-4-carboxylate	C1=C(NC(=S)S1)C(=O)O	0.6	21818421;153698772	PUBCHEMANNOTATIONSAFETYANDTOXIC;MESH:(21818421);PUBCHEM:(21818421 153698772);PUBMED	67108934.0	143.958	29.0	0.489	8.369611631964259e+17	8.369610002854584e+17	8.369610002854584e+17	
