row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260428_CVOL_Group_01_11A.mzML Peak area,20260428_CVOL_Group_01_11B.mzML Peak area,20260428_CVOL_Group_01_11C.mzML Peak area,20260428_CVOL_Group_01_11D.mzML Peak area,20260428_CVOL_Group_01_4A.mzML Peak area,20260428_CVOL_Group_01_4B.mzML Peak area,20260428_CVOL_Group_01_4C.mzML Peak area,20260428_CVOL_Group_01_4D.mzML Peak area,20260428_CVOL_Group_01_8A.mzML Peak area,20260428_CVOL_Group_01_8B.mzML Peak area,20260428_CVOL_Group_01_8C.mzML Peak area,20260428_CVOL_Group_01_8D.mzML Peak area,20260428_CVOL_Group_01_QC_01.mzML Peak area,20260428_CVOL_Group_01_QC_02.mzML Peak area,20260428_CVOL_Group_01_QC_03.mzML Peak area,20260428_CVOL_Group_01_QC_04.mzML Peak area,20260428_CVOL_Group_01_QC_05.mzML Peak area,20260428_CVOL_Group_01_QC_06.mzML Peak area,20260428_CVOL_Group_01_WT_A.mzML Peak area,20260428_CVOL_Group_01_WT_B.mzML Peak area,20260428_CVOL_Group_01_WT_C.mzML Peak area,20260428_CVOL_Group_01_WT_D.mzML Peak area,20260428_CVOL_Group_01_blank.mzML Peak area,Unnamed: 36
1,864.6970432842786,0.46420103,height,,,,,,,,,,,1213536.2,1717618.6,2109035.0,2375066.0,0.0,0.0,0.0,0.0,2125877.2,2034818.1,2312183.8,2193369.5,2359408.2,2206824.0,2493775.2,2865918.8,2740329.8,2042846.8,1283268.5,1670939.9,1831583.2,1299390.6,0.0,
2,880.7186449323104,0.46513987,height,,,,,,,,,,,3649952.2,6298573.0,6484235.0,8284532.0,303170.7,357480.72,0.0,0.0,7247271.5,6896518.0,7848354.0,6757121.0,9157721.0,9353190.0,10441448.0,11320502.0,11989982.0,8665564.0,4580282.5,4929419.0,6221318.0,3835034.8,0.0,
3,896.7131757348998,0.46667564,height,,,,,,,,,,,3942398.8,1913106.5,2951196.8,3855247.2,0.0,0.0,0.0,0.0,3248691.8,1563456.4,4022570.5,2199520.2,3074285.2,3253937.0,3207072.2,3362456.5,3543859.8,2723084.2,2816163.5,5943215.0,3510119.2,2849862.8,0.0,
4,936.7500700850196,0.46755576,height,,,,,,,,,,,618975.3,0.0,0.0,960899.5,437867.4,344456.47,395754.7,0.0,371643.6,673642.9,597129.06,568436.75,868502.75,807512.3,939435.3,854359.3,937606.2,741626.75,986591.6,2003996.4,1070561.1,472208.66,0.0,
5,1010.0348474698876,0.46751004,height,,,,,,,,,,,1527461.4,1858813.8,2171138.2,2260978.2,1703558.9,1746961.4,1808026.9,1743666.1,3434666.5,1285844.0,1996671.2,2065832.6,2731493.2,2919293.2,2820134.5,3250379.8,3534036.2,2498198.0,1610614.5,1854757.2,2420306.8,1458088.1,2176533.2,
6,1008.0203440254452,0.46799037,height,,,,,,,,,,,1240291.9,1377342.9,1525346.6,1565133.8,1191053.5,1229259.1,1011818.9,1181845.9,1990069.8,1012767.0,1388070.2,1378321.0,1952037.6,2137194.0,1991442.9,2290605.0,2336415.8,1812103.4,1272722.8,1891508.5,1804172.6,956391.3,1734326.8,
7,1012.0485978622714,0.46604472,height,,,,,,,,,,,722682.6,1152931.8,1188507.5,1379254.2,1102343.4,1049352.2,4911873.5,979680.7,2939909.0,661205.1,1030677.4,1173648.4,1516663.2,1587836.5,1683439.0,1883606.4,1977386.0,1394414.8,873379.7,778982.8,1265055.5,809307.7,1046769.75,
8,727.5664255453047,0.46790916,height,,,,,,,,,,,0.0,0.0,0.0,0.0,13881398.0,14479932.0,12265847.0,13877310.0,0.0,0.0,0.0,0.0,4620993.0,4401979.0,4343418.5,6016744.5,5071168.0,4007107.2,0.0,0.0,0.0,0.0,0.0,
9,744.5930333561223,0.46790916,height,,,,,,,,,,,0.0,0.0,0.0,0.0,36897096.0,32664652.0,30473786.0,34145170.0,0.0,0.0,0.0,0.0,11067639.0,10904247.0,11148714.0,12930291.0,13042391.0,9232745.0,0.0,0.0,0.0,0.0,0.0,
10,728.5718006555995,0.46792015,height,,,,,,,,,,,0.0,0.0,0.0,0.0,11825572.0,12359810.0,11284478.0,12534465.0,0.0,0.0,0.0,0.0,4530118.0,4168274.2,4394830.0,5657125.0,4583219.5,3716083.2,0.0,0.0,0.0,0.0,0.0,
