#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
620	spectra_filtered.mgf	*..*		:474	14920	-1	0	228.098	1	0.998723	0	0	9963890.0	5226320.0	DEOXYCYTIDINE M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf620	-1	GNPS-LIBRARY.mgf	1.20412				6	0	0.000274658	228.098	0	CCMSLIB00013583178
670	spectra_filtered.mgf	*..*		:408	885	-1	0	166.083	1	0.990991	0	0	62554700.0	5784860.0	Spectral Match to DL-Phenylalanine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf670	-1	GNPS-NIST14-MATCHES.mgf	20.3043				6	0	0.00337219	166.086	0	CCMSLIB00003135371
483	spectra_filtered.mgf	*..*		:441	14839	-1	0	269.088	1	0.990323	0	0	2846100.0	53176500.0	INOSINE M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf483	-1	GNPS-LIBRARY.mgf	3656.72				9	0	0.983978	268.104	0	CCMSLIB00013583097
872	spectra_filtered.mgf	*..*		:971	50212	-1	0	258.11	1	0.990168	0	0	130.4	1028670.0	SN-GLYCERO-3-PHOSPHOCHOLINE M+H	MONA	temp/spectra_filtered.mgf872	-1	MONA.mgf	0.591174				6	0	0.000152588	258.11	0	CCMSLIB00006679241
267	spectra_filtered.mgf	*..*		:26	561	-1	0	298.097	1	0.988226	0	0	22214200.0	6381790.0	METHYLTHIOADENOSINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf267	-1	GNPS-MSMLS.mgf	0.511873				9	0	0.000152588	298.097	0	CCMSLIB00005464312
222	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.987734	0	0	4896590.0	18861100.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf222	-1	BERKELEY-LAB.mgf	0.881985				8	0	0.000366211	415.212	0	CCMSLIB00010113136
47	spectra_filtered.mgf	*..*		:4371	2613	-1	0	256.263	1	0.985515	0	0	2967350.0	5632210.0	Spectral Match to Palmitamide from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf47	-1	GNPS-NIST14-MATCHES.mgf	2.38174				11	0	0.000610352	256.264	0	CCMSLIB00003137100
731	spectra_filtered.mgf	*..*		:9865	9865	-1	0	205.0	1	0.985041	0	0	58861400.0	831366.0	Massbank:KO004073 Trp|Tryptophan|L-Tryptophan|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid [M+H]+	MASSBANK	temp/spectra_filtered.mgf731	-1	MASSBANK.mgf	474.437				7	0	0.0972595	205.097	0	CCMSLIB00000220666
700	spectra_filtered.mgf	*..*		:373	15069	-1	0	146.092	1	0.984685	0	0	21951800.0	1385290.0	4_GUANIDINOBUTANOATE M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf700	-1	GNPS-LIBRARY.mgf	2.82005				6	0	0.000411987	146.092	0	CCMSLIB00013583327
680	spectra_filtered.mgf	*..*		:21	198	-1	0	257.147	1	0.982849	0	0	4072860.0	3155210.0	BETAINE 2M+Na	GNPS-MSMLS	temp/spectra_filtered.mgf680	-1	GNPS-MSMLS.mgf	0.47471				6	0	0.00012207	257.147	0	CCMSLIB00005463949
204	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.982611	0	0	4896590.0	28257000.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf204	-1	BERKELEY-LAB.mgf	0.881985				6	0	0.000366211	415.212	0	CCMSLIB00010113136
76	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.981722	0	0	4896590.0	653704000.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf76	-1	BERKELEY-LAB.mgf	0.661489				7	0	0.000274658	415.212	0	CCMSLIB00010113136
889	spectra_filtered.mgf	*..*		:8330	8330	-1	0	176.0	1	0.980271	0	0	55158500.0	3842000.0	Massbank:KO002528 Citrulline|L-Citrulline|2-Amino-5-ureidovaleric acid [M+H]+	MASSBANK	temp/spectra_filtered.mgf889	-1	MASSBANK.mgf	584.949				6	0	0.102951	176.103	0	CCMSLIB00000217553
333	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.97977	0	0	4896590.0	4330310.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf333	-1	BERKELEY-LAB.mgf	1.02898				7	0	0.000427246	415.212	0	CCMSLIB00010113136
665	spectra_filtered.mgf	*..*		:12099	12545	-1	0	268.104	1	0.979742	0	0	1498900.0	858699.0	2'-deoxyguanosine CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/spectra_filtered.mgf665	-1	BERKELEY-LAB.mgf	0.113827				6	0	3.05176e-05	268.104	0	CCMSLIB00010114533
