cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:11	ATTRIBUTE_group:GNPSGROUP:4	ATTRIBUTE_group:GNPSGROUP:8	ATTRIBUTE_group:GNPSGROUP:WT	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:A	ATTRIBUTE_replicate:GNPSGROUP:B	ATTRIBUTE_replicate:GNPSGROUP:C	ATTRIBUTE_replicate:GNPSGROUP:D	ATTRIBUTE_mutant:GNPSGROUP:nan	ATTRIBUTE_mutant:GNPSGROUP:xthA1	ATTRIBUTE_mutant:GNPSGROUP:xthB1	ATTRIBUTE_mutant:GNPSGROUP:xthA2	ATTRIBUTE_mutant:GNPSGROUP:WT	component	#Scan#	Compound_Name
1	864.6970432842786	0.46420103	0	1853813.95	0.0	2166562.15	1521295.55	0	1155670.475	1355844.15	1563200.5	1466956.525	0	1853813.95	0.0	2166562.15	1521295.55	78	1.0	Ubidecarenone
2	880.7186449323104	0.46513987	0	6179323.05	165162.85499999998	7187316.125	4891513.575	0	3945169.225	4620497.68	5138476.75	4719171.95	0	6179323.05	165162.85499999998	7187316.125	4891513.575	78	2.0	Ubidecarenone
3	896.7131757348998	0.46667564	0	3165487.325	0.0	2758559.725	3779840.125	0	2501813.525	2354944.475	2620971.625	2226157.55	0	3165487.325	0.0	2758559.725	3779840.125	78		
4	936.7500700850196	0.46755576	0	394968.7	294519.6425	552713.0775	1133339.44	0	603769.475	755523.9425	515861.215	500386.2275	0	394968.7	294519.6425	552713.0775	1133339.44	-1		
5	1010.0348474698876	0.46751004	0	1954597.9	1750553.325	2195753.575	1835941.65	0	2069075.325	1686594.1	2099035.775	1882141.25	0	1954597.9	1750553.325	2195753.575	1835941.65	43		
6	1008.0203440254452	0.46799037	0	1427028.8	1153494.35	1442307.0	1481198.8	0	1423534.5	1377719.375	1432352.0750000002	1270423.0	0	1427028.8	1153494.35	1442307.0	1481198.8	43		
7	1012.0485978622714	0.46604472	0	1110844.025	2010812.45	1451359.975	931681.425	0	1409578.675	910617.975	2099028.475	1085472.75	0	1110844.025	2010812.45	1451359.975	931681.425	43	7.0	Val-CA
8	727.5664255453047	0.46790916	0	0.0	13626121.75	0.0	0.0	0	3470349.5	3619983.0	3066461.75	3469327.5	0	0.0	13626121.75	0.0	0.0	78	8.0	CoQ8; [M+H]+ C49H75O4
9	744.5930333561223	0.46790916	0	0.0	33545176.0	0.0	0.0	0	9224274.0	8166163.0	7618446.5	8536292.5	0	0.0	33545176.0	0.0	0.0	78		
10	728.5718006555995	0.46792015	0	0.0	12001081.25	0.0	0.0	0	2956393.0	3089952.5	2821119.5	3133616.25	0	0.0	12001081.25	0.0	0.0	78		
