CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
532	535	1	1.0	0.006
791	1045	2	0.9807	0.000
1025	1045	2	0.8095	0.000
802	1133	2	0.9473	0.000
837	1133	2	0.9749	0.000
1056	1133	2	0.9701	-0.000
1119	1133	2	0.9895	-0.036
791	1050	2	0.9554	-14.016
795	1050	2	0.9964	-0.000
800	1050	2	0.9524	-14.016
1050	1105	2	0.9977	0.000
1050	1122	2	0.9974	0.000
1050	1134	2	0.9543	14.016
1050	1137	2	0.9985	0.008
1050	1140	2	0.9973	-0.008
599	889	2	0.8569	24.984
600	889	2	0.702	42.011
853	889	2	0.801	-0.995
879	889	2	0.9363	-17.026
802	1056	2	0.9377	0.000
837	1056	2	0.9634	0.000
878	1056	2	0.9569	0.000
978	1056	2	0.9104	-0.000
996	1056	2	0.9203	-0.036
1056	1119	2	0.9672	0.036
1056	1134	2	0.9141	28.031
472	1110	2	0.7861	0.055
690	1110	2	0.7519	0.151
252	571	2	0.8194	-17.063
252	612	2	0.8294	-17.063
252	674	2	0.9815	0.000
955	978	2	0.902	43.990
958	978	2	0.9766	-0.036
964	978	2	0.9182	13.979
965	978	2	0.9263	-17.063
974	978	2	0.9553	13.979
978	991	2	0.9793	0.036
978	996	2	0.998	0.036
978	1013	2	0.9993	0.000
978	1026	2	0.9479	-0.000
628	910	2	0.8173	-31.031
1080	1091	2	0.7114	-1.976
703	791	2	0.9388	14.016
791	795	2	0.9574	-14.016
791	800	2	0.9943	0.000
791	1105	2	0.9563	-14.016
791	1122	2	0.9572	-14.016
791	1134	2	0.9949	0.000
791	1137	2	0.9568	-14.008
791	1140	2	0.9555	-14.023
561	924	2	0.7058	13.968
795	1122	2	0.9966	-0.000
800	1122	2	0.9534	-14.016
1105	1122	2	0.9984	-0.000
1122	1134	2	0.9569	14.016
1122	1137	2	0.9988	0.008
1122	1140	2	0.9979	-0.008
860	924	2	0.7189	27.995
920	924	2	0.8258	1.003
924	930	2	0.996	0.000
516	571	2	0.7313	70.078
516	612	2	0.7354	70.078
795	1105	2	0.9968	0.000
800	1105	2	0.9523	-14.016
914	1105	2	0.8575	57.969
1105	1137	2	0.9992	0.008
1105	1140	2	0.9986	-0.008
795	1140	2	0.9964	-0.008
800	1140	2	0.9516	-14.023
1137	1140	2	0.9988	-0.016
662	974	2	0.9236	-27.995
849	974	2	0.9344	-27.995
938	974	2	0.9317	14.016
958	974	2	0.9456	-14.016
974	991	2	0.9538	14.016
974	996	2	0.9475	14.016
974	1013	2	0.9577	13.979
974	1026	2	0.9007	13.979
938	991	2	0.8843	28.031
955	991	2	0.8954	44.026
958	991	2	0.9715	-0.000
965	991	2	0.9235	-17.026
991	996	2	0.9691	0.000
991	1013	2	0.9838	-0.036
991	1026	2	0.9249	-0.036
549	802	2	0.8699	56.974
802	837	2	0.9633	-0.000
802	878	2	0.9435	-0.000
802	1119	2	0.96	0.036
802	1134	2	0.8979	28.031
795	1137	2	0.9978	0.008
800	1137	2	0.9537	-14.008
914	1137	2	0.8629	57.977
472	690	2	0.7526	-0.096
571	690	2	0.7355	-4.006
612	690	2	0.7332	-4.006
690	720	2	0.8646	-57.047
690	863	2	0.744	-15.984
800	1134	2	0.9895	0.000
1119	1134	2	0.9338	27.995
853	930	2	0.7093	-0.011
860	930	2	0.7131	27.995
920	930	2	0.8241	1.003
958	1026	2	0.9678	-0.036
965	1026	2	0.8832	-17.063
996	1026	2	0.9422	-0.036
1013	1026	2	0.9438	-0.000
662	703	2	0.9722	0.000
599	879	2	0.8381	42.010
780	879	2	0.7831	-0.984
853	879	2	0.738	16.031
879	919	2	0.816	0.984
910	992	2	0.8969	-43.006
1025	1042	2	0.7741	3.011
938	955	2	0.9019	-15.995
955	964	2	0.8915	30.011
955	1013	2	0.905	43.990
842	860	2	0.7775	14.016
958	965	2	0.9242	17.026
965	967	2	0.9172	0.984
965	993	2	0.935	0.984
965	994	2	0.9098	0.000
965	995	2	0.9111	-0.019
965	996	2	0.9135	-17.026
965	1013	2	0.9311	-17.063
600	842	2	0.75	0.984
878	992	2	0.8577	-27.959
938	992	2	0.9012	0.036
780	919	2	0.856	-0.000
919	929	2	0.9258	0.000
599	600	2	0.9118	-17.027
571	612	2	0.9627	0.000
