CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1	2	-16.022	0.000	0.8578	0.7263	1
1	3	-32.016	0.000	0.8107	0.6714	1
1	8	137.131	0.000	0.8580	0.6683	1
1	9	120.104	0.000	0.8766	0.7453	1
1	10	136.125	0.000	0.9043	0.7185	1
1	13	104.110	0.000	0.7950	0.6538	1
2	3	-15.995	0.000	0.8880	0.7772	1
2	8	153.152	0.000	0.8980	0.7396	1
2	9	136.126	0.000	0.9406	0.8326	1
2	10	152.147	0.000	0.8716	0.7364	1
2	13	120.132	0.000	0.8688	0.7859	1
3	8	169.147	0.000	0.8540	0.6713	1
3	9	152.120	0.000	0.8682	0.7237	1
3	10	168.141	0.000	0.8079	0.6290	1
3	13	136.127	0.000	0.8412	0.7472	1
5	6	2.015	0.000	0.8602	0.8243	1
5	7	-2.014	0.000	0.7976	0.7544	1
5	18	-132.791	0.000	0.8486	0.7246	1
7	18	-130.777	0.000	0.9240	0.7239	1
8	9	-17.027	0.000	0.9127	0.7145	1
8	10	-1.005	0.000	0.8769	0.7572	1
8	13	-33.020	0.000	0.8238	0.6645	1
9	10	16.021	0.000	0.8637	0.6916	1
9	13	-15.994	0.000	0.8468	0.7372	1
10	13	-32.015	0.000	0.7702	0.5937	1
14	15	2.007	0.000	0.7207	0.7279	1
14	19	30.037	0.000	0.7859	0.7136	1
14	104	2.005	0.000	0.7549	0.7761	1
15	19	28.031	0.000	0.8599	0.8080	1
15	21	2.015	0.000	0.7382	0.6473	1
15	22	-13.980	0.000	0.7021	0.5517	1
15	28	110.109	0.000	0.7006	0.4447	1
15	34	-11.964	0.000	0.7328	0.6260	1
15	36	-9.949	0.000	0.7185	0.6659	1
15	104	-0.001	0.000	0.9498	0.8409	1
15	196	-0.001	0.000	0.9105	0.6951	1
15	246	-0.001	0.000	0.9018	0.6823	1
17	30	122.167	0.000	0.8659	0.6186	1
17	33	139.194	0.000	0.8622	0.5536	1
17	73	238.229	0.000	0.8766	0.7131	1
17	75	273.267	0.000	0.8998	0.5896	1
17	76	255.256	0.000	0.9126	0.5556	1
17	79	-175.976	0.000	0.7100	0.5203	1
17	81	212.214	0.000	0.8275	0.6129	1
17	89	224.214	0.000	0.8164	0.6071	1
17	119	224.214	0.000	0.8133	0.6750	1
17	138	224.214	0.000	0.8101	0.6166	1
17	187	224.214	0.000	0.7974	0.6265	1
17	204	255.256	0.000	0.9094	0.5383	1
17	206	238.230	0.000	0.8610	0.6613	1
17	210	224.214	0.000	0.7984	0.6351	1
17	222	255.256	0.000	0.9075	0.5145	1
17	255	224.214	0.000	0.8198	0.6486	1
17	263	224.214	0.000	0.7590	0.5447	1
17	333	255.256	0.000	0.9104	0.5095	1
17	339	238.230	0.000	0.8554	0.6254	1
17	580	255.256	0.000	0.8957	0.4771	1
17	585	255.256	0.000	0.9093	0.5450	1
17	697	255.256	0.000	0.8602	0.4438	1
17	712	255.256	0.000	0.8642	0.5221	1
19	21	-26.016	0.000	0.7393	0.6976	1
19	22	-42.011	0.000	0.7296	0.5417	1
19	34	-39.995	0.000	0.7045	0.5025	1
19	104	-28.032	0.000	0.8545	0.7974	1
19	196	-28.032	0.000	0.7892	0.6178	1
19	246	-28.032	0.000	0.8014	0.6396	1
20	21	-2.015	0.000	0.8235	0.7040	1
20	22	-18.010	0.000	0.7245	0.6196	1
20	28	106.079	0.000	0.7506	0.5325	1
20	32	106.115	0.000	0.7527	0.5218	1
20	37	-3.018	0.000	0.7221	0.6711	1
21	22	-15.995	0.000	0.7667	0.6265	1
21	28	108.094	0.000	0.7157	0.4807	1
21	32	108.131	0.000	0.7172	0.4922	1
21	36	-11.963	0.000	0.7515	0.5616	1
21	37	-1.003	0.000	0.8019	0.6911	1
21	104	-2.016	0.000	0.7044	0.5859	1
21	246	-2.016	0.000	0.7036	0.5434	1
22	34	2.016	0.000	0.8382	0.7339	1
22	35	-13.979	0.000	0.7464	0.6261	1
22	43	-43.042	0.000	0.7788	0.5998	1
25	28	28.031	0.000	0.7403	0.6602	1
25	29	56.063	0.000	0.8666	0.6846	1
25	32	28.068	0.000	0.7337	0.6322	1
26	27	17.027	0.000	0.9361	0.7957	1
26	39	-264.245	0.000	0.7208	0.6041	1
27	39	-281.272	0.000	0.7470	0.6602	1
27	487	188.156	0.000	0.7375	0.4914	1
28	29	28.031	0.000	0.7062	0.7430	1
28	32	0.036	0.000	0.9790	0.8802	1
28	734	100.125	0.000	0.8642	0.5420	1
29	38	-0.036	0.000	0.7415	0.6922	1
30	33	17.026	0.000	0.8969	0.6867	1
30	73	116.062	0.000	0.7921	0.5754	1
30	75	151.100	0.000	0.8696	0.5940	1
30	76	133.089	0.000	0.8450	0.4716	1
30	81	90.047	0.000	0.7373	0.4667	1
30	89	102.047	0.000	0.7562	0.5206	1
30	119	102.047	0.000	0.7565	0.5912	1
30	138	102.047	0.000	0.7438	0.5429	1
30	187	102.047	0.000	0.7534	0.5909	1
30	204	133.089	0.000	0.8487	0.5003	1
30	206	116.063	0.000	0.7860	0.5506	1
30	210	102.047	0.000	0.7194	0.5472	1
30	222	133.089	0.000	0.8429	0.4453	1
30	255	102.047	0.000	0.7450	0.5391	1
30	333	133.089	0.000	0.8510	0.4999	1
30	339	116.063	0.000	0.7828	0.5234	1
30	580	133.089	0.000	0.8242	0.4187	1
30	585	133.089	0.000	0.8451	0.4816	1
30	697	133.089	0.000	0.7990	0.4092	1
30	712	133.089	0.000	0.7923	0.4120	1
32	734	100.089	0.000	0.8604	0.5424	1
33	73	99.036	0.000	0.7150	0.4505	1
33	75	134.073	0.000	0.9121	0.6554	1
33	76	116.062	0.000	0.9148	0.6235	1
33	81	73.021	0.000	0.7259	0.4676	1
33	89	85.020	0.000	0.7264	0.4528	1
33	119	85.021	0.000	0.7153	0.4340	1
33	138	85.021	0.000	0.7176	0.4592	1
33	187	85.021	0.000	0.7092	0.4338	1
33	204	116.063	0.000	0.9122	0.5780	1
33	206	99.036	0.000	0.7295	0.5067	1
33	222	116.063	0.000	0.9125	0.5616	1
33	255	85.021	0.000	0.7135	0.4822	1
33	333	116.063	0.000	0.9070	0.5461	1
33	339	99.036	0.000	0.7105	0.4396	1
33	580	116.063	0.000	0.8841	0.4902	1
33	585	116.063	0.000	0.9028	0.5500	1
33	613	116.063	0.000	0.8035	0.4015	1
33	697	116.063	0.000	0.8671	0.4895	1
33	712	116.063	0.000	0.8634	0.5212	1
34	35	-15.995	0.000	0.7592	0.6176	1
34	36	2.016	0.000	0.8468	0.7128	1
34	104	11.963	0.000	0.7258	0.5885	1
34	196	11.963	0.000	0.7307	0.4707	1
36	37	10.960	0.000	0.7217	0.5490	1
36	104	9.947	0.000	0.7134	0.6153	1
40	45	-13.979	0.000	0.7206	0.6800	1
40	46	42.047	0.000	0.7281	0.7169	1
40	49	56.062	0.000	0.7598	0.6326	1
40	51	12.037	0.000	0.7570	0.6935	1
40	57	12.045	0.000	0.7195	0.6271	1
40	66	0.073	0.000	0.7670	0.6998	1
40	71	-1.943	0.000	0.7448	0.7018	1
40	80	28.168	0.000	0.7489	0.6541	1
40	94	44.099	0.000	0.7021	0.6657	1
40	99	-13.907	0.000	0.7350	0.6770	1
40	100	0.073	0.000	0.9018	0.8340	1
40	125	28.104	0.000	0.8565	0.7897	1
40	129	-13.906	0.000	0.7080	0.6900	1
40	142	56.135	0.000	0.8132	0.7567	1
40	195	2.088	0.000	0.7327	0.6921	1
40	205	16.068	0.000	0.7927	0.7726	1
41	49	29.034	0.000	0.8322	0.7101	1
41	52	28.030	0.000	0.8450	0.7567	1
41	80	1.139	0.000	0.8461	0.7859	1
41	125	1.075	0.000	0.7704	0.6698	1
41	194	29.034	0.000	0.8446	0.7473	1
41	197	-0.001	0.000	0.7551	0.6773	1
42	49	11.005	0.000	0.7863	0.6872	1
42	58	2.016	0.000	0.7885	0.7545	1
42	80	-16.890	0.000	0.8332	0.7457	1
42	86	-11.964	0.000	0.7353	0.6564	1
42	100	-44.985	0.000	0.7051	0.6024	1
42	125	-16.954	0.000	0.8285	0.7225	1
42	194	11.005	0.000	0.7118	0.6293	1
42	202	-15.011	0.000	0.7240	0.6093	1
42	356	-338.282	0.000	0.8086	0.7069	1
42	363	-310.251	0.000	0.7723	0.6285	1
42	379	-282.220	0.000	0.7766	0.6588	1
42	510	-46.005	0.000	0.8118	0.7234	1
42	524	-74.037	0.000	0.8750	0.7360	1
42	541	-46.005	0.000	0.8562	0.7812	1
43	80	281.409	0.000	0.7447	0.7327	1
43	125	281.345	0.000	0.7056	0.6954	1
43	259	210.199	0.000	0.7508	0.5151	1
45	49	70.042	0.000	0.7212	0.5921	1
45	51	26.016	0.000	0.7655	0.6505	1
45	54	28.031	0.000	0.7409	0.6759	1
45	55	27.028	0.000	0.7616	0.6721	1
45	56	45.057	0.000	0.7689	0.6362	1
45	57	26.025	0.000	0.7172	0.5724	1
45	58	61.053	0.000	0.7447	0.5628	1
45	60	44.026	0.000	0.7847	0.6365	1
45	61	43.022	0.000	0.8492	0.7090	1
45	63	46.041	0.000	0.7713	0.6338	1
45	65	56.062	0.000	0.7130	0.6976	1
45	66	14.052	0.000	0.7264	0.7001	1
45	67	10.021	0.000	0.7107	0.6358	1
45	68	72.057	0.000	0.8083	0.6800	1
45	71	12.036	0.000	0.7172	0.6970	1
45	74	43.151	0.000	0.7466	0.6066	1
45	84	30.047	0.000	0.8245	0.7599	1
45	94	58.078	0.000	0.7340	0.6932	1
45	100	14.052	0.000	0.7163	0.6339	1
45	125	42.083	0.000	0.7751	0.7077	1
45	200	28.031	0.000	0.7515	0.7073	1
45	202	44.026	0.000	0.8205	0.6736	1
45	205	30.047	0.000	0.8375	0.7891	1
45	300	-225.198	0.000	0.7612	0.6157	1
45	338	28.031	0.000	0.7317	0.6427	1
45	356	-279.245	0.000	0.7390	0.5777	1
45	363	-251.214	0.000	0.7256	0.5444	1
45	370	-225.198	0.000	0.7551	0.6084	1
45	379	-223.183	0.000	0.7451	0.5908	1
45	411	-197.131	0.000	0.7331	0.5701	1
45	510	13.032	0.000	0.7118	0.5963	1
45	541	13.032	0.000	0.7015	0.5602	1
46	54	-27.995	0.000	0.8164	0.7911	1
46	63	-9.985	0.000	0.7415	0.7660	1
46	65	0.036	0.000	0.9290	0.9152	1
46	68	16.031	0.000	0.7184	0.6457	1
46	94	2.052	0.000	0.8168	0.8229	1
46	100	-41.974	0.000	0.7220	0.6938	1
46	142	14.089	0.000	0.7007	0.6654	1
