structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	2	-Infinity	-Infinity	-664.981	0.168	0.136	65.481	C52H91N5O6	[M - H2O + H]+	C52H90N5O5+	STYPXODERMQOCT	InChI=1S/C52H91N5O6/c1-4-7-10-13-14-17-20-29-38-57-45-47(55-56-57)33-24-19-16-15-18-21-30-41-63-52(60)46-42-48(61-39-31-22-25-34-50(58)53-36-27-11-8-5-2)44-49(43-46)62-40-32-23-26-35-51(59)54-37-28-12-9-6-3/h42-45H,4-41H2,1-3H3,(H,53,58)(H,54,59)	3,5-Bis[6-(hexylamino)-6-oxohexyloxy]benzoic acid 9-(1-decyl-1H-1,2,3-triazole-4-yl)nonyl ester	CCCCCCCCCCN1C=C(N=N1)CCCCCCCCCOC(=O)C2=CC(=CC(=C2)OCCCCCC(=O)NCCCCCC)OCCCCCC(=O)NCCCCCC	14.500	101476796	PUBCHEM:(101476796)	2	864.697	28	0.464	839079746797015967	839079602064162506	839079602043190985	1	
1	1	0.060	0.068	-549.721	1.000	1.000	142.572	C50H99NO9	[M + Na]+	C50H99NNaO9+	UPXMDSJKLJTXPQ	InChI=1S/C50H99NO9/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-25-27-29-31-33-35-37-39-44(54)49(58)51-42(41-59-50-48(57)47(56)46(55)45(40-52)60-50)43(53)38-36-34-32-30-28-26-16-14-12-10-8-6-4-2/h42-48,50,52-57H,3-41H2,1-2H3,(H,51,58)	2-hydroxy-N-(3-hydroxy-1-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}octadecan-2-yl)hexacosanamide	CCCCCCCCCCCCCCCCCCCCCCCCC(C(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(CCCCCCCCCCCCCCC)O)O	16.500	74990153;10395803;73349850;46845191	COCONUT:(CNP0299043);SUPERNATURAL:(SN0376965);PUBCHEM:(74990153 10395803 73349850 46845191);LOTUS:(Q110197209);PUBMED:(null)	271581250	880.719	28	0.465	839079756183869416	839079602361958094	839079602353569485	2	
1	1	0.057	0.084	-478.175	1.000	1.000	129.116	C50H99NO10	[M + Na]+	C50H99NNaO10+	LFEYXCVBYKQPHV	InChI=1S/C50H99NO10/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-24-26-28-30-32-34-36-38-43(54)49(59)51-41(40-60-50-48(58)47(57)46(56)44(39-52)61-50)45(55)42(53)37-35-33-31-29-27-25-18-16-14-12-10-8-6-4-2/h41-48,50,52-58H,3-40H2,1-2H3,(H,51,59)		CCCCCCCCCCCCCCCCCCCCCCC(C(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C(CCCCCCCCCCCCCCCC)O)O)O	15.300	91480805;138201262	COCONUT:(CNP0431049);SUPERNATURAL:(SN0203832);PUBCHEM:(91480805 138201262)	3145730	896.713	28	0.467	839079746503414625	839079602504564434	839079602500370129	3	
1	5	0.495	0.495	-262.034	0.085	0.161	176.869	C55H98O10	[M + H3N + H]+	C55H102NO10+	QEPMAEOKROWCAO	InChI=1S/C55H98O10/c1-4-7-10-12-16-25-34-47-48(63-47)36-26-17-13-20-29-38-53(56)59-42-44(61-55(58)40-31-22-15-18-27-35-46-45(62-46)33-24-11-8-5-2)43-60-54(57)39-30-21-14-19-28-37-50-52(65-50)41-51-49(64-51)32-23-9-6-3/h44-52H,4-43H2,1-3H3	[2-[8-(3-Hexyloxiran-2-yl)octanoyloxy]-3-[8-[3-[(3-pentyloxiran-2-yl)methyl]oxiran-2-yl]octanoyloxy]propyl] 8-(3-octyloxiran-2-yl)octanoate	CCCCCCCCC1C(O1)CCCCCCCC(=O)OCC(COC(=O)CCCCCCCC2C(O2)CC3C(O3)CCCCC)OC(=O)CCCCCCCC4C(O4)CCCCCC	16.400	118553588	PUBCHEM:(118553588)	2	936.750	28	0.468	839079749468787856	839079602622004950	839079602617810645	4	
1	4	0.129	0.129	-199.995	0.023	0.027	141.507	C42H78O9	[M + H3N + H]+	C42H82NO9+	UIRWAKVRMPCRBC	InChI=1S/C42H78O9/c1-9-17-37(25-43-21-13-5)29-47-33-41(50-31-39(19-11-3)27-45-23-15-7)35-49-36-42(51-32-40(20-12-4)28-46-24-16-8)34-48-30-38(18-10-2)26-44-22-14-6/h9-12,37-42H,1-4,13-36H2,5-8H3	4-[[3-[2,3-Bis[2-(propoxymethyl)pent-4-enoxy]propoxy]-2-[2-(propoxymethyl)pent-4-enoxy]propoxy]methyl]-5-propoxypent-1-ene	CCCOCC(CC=C)COCC(COCC(COCC(CC=C)COCCC)OCC(CC=C)COCCC)OCC(CC=C)COCCC	8.100	23572292	PUBCHEM:(23572292)	2	744.593	28	0.468	839079749477176482	839079603016269546	839079603012075241	9	
1	2	0.859	0.859	-69.814	0.467	0.500	144.840	C49H74O4	[M + H]+	C49H75O4+	ICFIZJQGJAJRSU	InChI=1S/C49H74O4/c1-36(2)20-13-21-37(3)22-14-23-38(4)24-15-25-39(5)26-16-27-40(6)28-17-29-41(7)30-18-31-42(8)32-19-33-43(9)34-35-45-44(10)46(50)48(52-11)49(53-12)47(45)51/h20,22,24,26,28,30,32,34H,13-19,21,23,25,27,29,31,33,35H2,1-12H3	2,3-dimethoxy-5-methyl-6-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaen-1-yl)cyclohexa-2,5-diene-1,4-dione	CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C	15.700	5283546;1157	PUBCHEMANNOTATIONBIO;HMDB:(HMDB0304524);MiMeDB:(MMDBc0017738);TeroMol:(TKC027601 TKC096567 TKC102914);BloodExposome:(5283546);LIPIDMAPS:(LMPR02010005);SUPERNATURAL:(SN0141709);MESH:(5283546);FooDB:(FDB031235);PUBCHEM:(5283546 1157);COCONUT:(CNP0298127);METACYC:(NAD-STEM-GROUP UBIQUINONE-8);CHEBI:(61683);KEGG:(C17569);DSSTox:(DTXSID501317994);LOTUS:(Q104168617 Q27131283);PUBCHEMANNOTATIONDRUG;PUBMED	141531548014	727.566	28	0.468	839079750676747531	839079602932383462	839079602928189157	8	
1	4	0.184	0.184	-391.963	0.054	0.047	78.453	C42H75N5O6	[M - H2O + H]+	C42H74N5O5+	QVLMDPXTJSVFAT	InChI=1S/C42H75N5O6/c1-3-34-22-16-17-26-41(53-34)31-33-24-25-35-37(42(27-18-19-30-51-42)46-40(45-41)47(33)35)39(50)52-32(2)21-14-12-10-8-6-4-5-7-9-11-13-15-23-36(48)38(49)44-29-20-28-43/h16,22,32-37,40,45-46,48H,3-15,17-21,23-31,43H2,1-2H3,(H,44,49)		CCC1C=CCCC2(O1)CC3CCC4N3C(N2)NC5(C4C(=O)OC(C)CCCCCCCCCCCCCCC(C(=O)NCCCN)O)CCCCO5	7.900	163160616;163160617;163160618;163160619	COCONUT:(CNP0464432);PUBCHEM:(163160616 163160617 163160618 163160619)	2097154	728.572	28	0.468	839079746805404603	839079603091767022	839079603087572717	10	
1	1	0.233	0.233	-306.736	0.385	0.333	142.752	C42H83NO11	[M - H2O + H]+	C42H82NO10+	CWUUCAZZNNCXSL	InChI=1S/C42H83NO11/c1-4-6-8-10-12-14-16-18-20-22-24-26-28-51-32-36(52-29-27-25-23-21-19-17-15-13-11-9-7-5-2)40(49)38(47)34(46)31-53-42-37(43-33(3)45)41(50)39(48)35(30-44)54-42/h34-42,44,46-50H,4-32H2,1-3H3,(H,43,45)	1-O-[2-(Acetylamino)-2-deoxy-beta-D-glucopyranosyl]-5-O,6-O-ditetradecyl-D-mannitol	CCCCCCCCCCCCCCOCC(C(C(C(COC1C(C(C(C(O1)CO)O)O)NC(=O)C)O)O)O)OCCCCCCCCCCCCCC	9.200	101102757;101102758	PUBCHEM:(101102757 101102758)	2	760.587	28	0.470	839079750165042392	839079603305676538	839079603305676537	13	
1	2	0.247	0.266	-105.767	0.275	0.500	85.821	C10H12O4	[M + H]+	C10H13O4+	UCTUXUGXIFRVGX	InChI=1S/C10H12O4/c1-12-8-5-4-7(6-11)9(13-2)10(8)14-3/h4-6H,1-3H3	2,3,4-trimethoxybenzaldehyde	COC1=C(C(=C(C=C1)C=O)OC)OC	1.300	75006	COCONUT:(CNP0413552);NORMAN:(NS00021056);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);SUPERNATURAL:(SN0366973);LotusExpanded;PUBCHEM:(75006);DSSTox:(DTXSID6062179);PUBMED:(null)	146099404866	197.081	28	0.472	839079745320620730	839079603238567670	839079603234373365	12	
1	1	0.105	0.105	-157.381	1.000	0.333	73.218	C34H64O	[M + H3N + H]+	C34H68NO+	OTCMZAZJVCILSR	InChI=1S/C34H64O/c1-4-6-8-10-12-14-16-18-20-22-24-26-32-28-31(3)34(30-35)29-33(32)27-25-23-21-19-17-15-13-11-9-7-5-2/h35H,4-30H2,1-3H3	(2-Methyl-4,5-Ditridecyl-1,4-Cyclohexadienyl)Methanol	CCCCCCCCCCCCCC1=C(CC(=C(C1)C)CO)CCCCCCCCCCCCC	13.400	15381134	COCONUT:(CNP0112957);MiMeDB:(MMDBc0007366);SUPERNATURAL:(SN0274581);PUBCHEM:(15381134);LOTUS:(Q77380803)	1345323010	506.529	29	0.479	839079778958942138	839079603444088578	839079603439894273	15	
