"samples"	"PC1"	"PC2"	"PC3"
"20260428_CVOL_Group_01_11A.mzML"	-0.320396300937211	0.0171138841012004	-0.0665060541507075
"20260428_CVOL_Group_01_11B.mzML"	-0.260156522617285	-0.196933184025479	0.271756908236225
"20260428_CVOL_Group_01_11C.mzML"	-0.243401743348225	0.0272966540674254	0.0675969935766107
"20260428_CVOL_Group_01_11D.mzML"	-0.262985177420985	0.085952688388481	-0.131434077553153
"20260428_CVOL_Group_01_4A.mzML"	0.790004909247519	-0.00265333365419795	0.00662535284030509
"20260428_CVOL_Group_01_4B.mzML"	0.83375619160554	0.0761297237266376	-0.0729913499467734
"20260428_CVOL_Group_01_4C.mzML"	0.817807370387026	-0.0638188881665145	0.0482214502410089
"20260428_CVOL_Group_01_4D.mzML"	0.789070763928861	0.045490354132905	0.0162436209758519
"20260428_CVOL_Group_01_8A.mzML"	-0.256844899043337	0.277680777440395	-0.130523545998043
"20260428_CVOL_Group_01_8B.mzML"	-0.182140975915404	-0.547527879355246	-0.0475246749821623
"20260428_CVOL_Group_01_8C.mzML"	-0.292357488585626	-0.178869658395606	-0.388202703797909
"20260428_CVOL_Group_01_8D.mzML"	-0.274738251703802	-0.257168127484144	0.111509904788282
"20260428_CVOL_Group_01_WT_A.mzML"	-0.294620948541736	0.266444280444227	-0.10632795463572
"20260428_CVOL_Group_01_WT_B.mzML"	-0.320183600632877	0.191102318960161	0.163565651720291
"20260428_CVOL_Group_01_WT_C.mzML"	-0.293165415790487	0.214047688612332	0.158981415013436
"20260428_CVOL_Group_01_WT_D.mzML"	-0.22964791063197	0.0457127012074238	0.0990090636724564
