"features"	"LV1"	"LV2"
1	-0.0701984405807126	0.0488184689036795
10	-0.0218140731828108	-0.0832496668010604
101	-0.0350407364466825	-0.0214308528668531
1013	-0.0381468675091556	-0.0452711168594199
1020	-0.0679539012589164	-0.0247489576493032
1025	-0.055784385333817	0.00258143248026561
1026	-0.0168339590668837	-0.0312566012037541
103	-0.0330791214180907	-0.0236285872057574
1030	-0.0211458396646165	-0.0806474803361323
1037	-0.0183512186033544	-0.0702089984984468
104	-0.0301051692241687	0.00930791453170194
1042	-0.0485459744412647	-0.0433318104521837
1043	-0.0479820402498374	-0.0418288337532762
1045	-0.0487660885401859	-0.0345459477837135
1048	-0.0192173615790052	-0.0737849987088642
1050	-0.0463536976146695	-0.0448833381135483
1053	-0.0206875266887988	-0.0789506737888522
1054	-0.0202458970440898	-0.0773232166823969
1055	-0.0194216551113797	-0.0742441920181279
1056	-0.0237155390309505	-0.0438327425829526
1058	-0.0185407040079477	-0.0709661356402271
1064	-0.0189014470693889	-0.0722742224858338
1065	-0.0201190700290588	-0.0771274546841385
1066	-0.0195930960564324	-0.0750333394892254
1067	-0.0195519736999061	-0.0749108357198484
1068	-0.0177937838802268	-0.0681164993914145
1074	-0.021799730758467	-0.0833192874169111
1077	-0.02163703525091	-0.0827206716984824
1079	-0.0200964585088339	-0.0769692008812076
108	-0.0284425498743043	0.0197124274885966
1081	-0.0655530861354215	0.0374447302323498
109	-0.0684360115580902	0.0480073299561478
11	-0.0521095507761066	-0.0204567371811303
1104	-0.0760497086749928	-0.0145956796228623
1105	-0.0749086282734584	-0.0141834432776882
1108	-0.0622724627442336	0.00890855223823819
111	-0.0476394485082579	0.0334702457981267
1112	-0.0707299895580559	-0.000664144328338923
1114	-0.0625623322045809	0.0107150576051765
1117	-0.0670282161769099	-0.00176733710536656
112	-0.0609127392015584	0.0432760347577023
1122	-0.0673883063377359	-0.000829652667686997
1124	-0.0659397702696484	-8.12116648528534e-05
1129	-0.0689876597292556	-0.0355906356386495
1130	-0.0665142689464111	-0.0372724358609433
1131	-0.0653300329341933	-0.0344395073950446
1132	-0.0663347551917863	-0.0387926487586797
1133	-0.0468259509869884	-0.0278249676279564
1134	-0.0628832884764633	0.0112002848735411
1135	-0.062130785426051	0.0124832580878045
119	-0.0564989230446766	-0.0229057322596527
12	-0.0331571790575678	-0.0681606462772125
120	-0.021175551832792	-0.0166360730619155
121	-0.0174936370209905	0.00550500728416953
122	-0.028397584695645	-0.020450618334821
