"samples"	"LV1"	"LV2"
"20260428_CVOL_Group_01_11A.mzML"	-9.66151868282445	3.15045417259768
"20260428_CVOL_Group_01_11B.mzML"	-9.25341120901809	2.2367195396502
"20260428_CVOL_Group_01_11C.mzML"	-9.80693948432376	1.9560778999755
"20260428_CVOL_Group_01_11D.mzML"	-9.69086283246374	2.23741367907378
"20260428_CVOL_Group_01_4A.mzML"	-7.32736686544326	-10.0719227294194
"20260428_CVOL_Group_01_4B.mzML"	-5.6363815101053	-8.69951212198858
"20260428_CVOL_Group_01_4C.mzML"	-6.93467936876587	-10.306295265521
"20260428_CVOL_Group_01_4D.mzML"	-6.90856087806732	-9.37289159155014
"20260428_CVOL_Group_01_8A.mzML"	-8.59970865177223	2.22506167498023
"20260428_CVOL_Group_01_8B.mzML"	-9.55654570781036	2.32559569906963
"20260428_CVOL_Group_01_8C.mzML"	-8.06668105204836	2.68468508786739
"20260428_CVOL_Group_01_8D.mzML"	-9.1672347498626	2.48497824057853
"20260428_CVOL_Group_01_WT_A.mzML"	-7.96302935641147	2.35064879487896
"20260428_CVOL_Group_01_WT_B.mzML"	-8.42930573119066	2.74754692085842
"20260428_CVOL_Group_01_WT_C.mzML"	-9.08796955765423	2.38756965896192
"20260428_CVOL_Group_01_WT_D.mzML"	-9.58555670584582	1.84492608557121
