"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1_864.7_0.5",1,864.697043284279,0.46420103,"C52H91N5O6"
"10_728.57_0.5",10,728.5718006556,0.46792015,"C42H75N5O6"
"101_330.26_0.7",101,330.263896765399,0.6568202,"C18H35NO3"
"1013_174.2_9.9",1013,174.196261638425,9.884512,"C9H20N2"
"1020_143.15_10",1020,143.154361321968,9.997561,"C8H15N"
"1025_146.17_10.2",1025,146.16517963254,10.18713,"C7H16N2"
"1026_174.2_10.2",1026,174.19638547266,10.226232,"C9H20N2"
"103_344.24_0.7",103,344.243147654944,0.6643747,"C18H30O5"
"1030_370.04_10.4",1030,370.039789872594,10.358854,"C14H8O11"
"1037_266.12_10.4",1037,266.120422823945,10.364637,"C13H16O3Si"
"104_506.53_0.6",104,506.530735644738,0.6139299,"C34H64O"
"1042_143.15_10.3",1042,143.154356449422,10.33952,"C8H15N"
"1043_161.18_10.3",1043,161.183869691326,10.340953,NA
"1045_146.17_10.4",1045,146.165176232531,10.36542,"C7H16N2"
"1048_369.04_10.4",1048,369.037553235639,10.373503,"C12H15ClN4O4S"
"1050_160.18_10.3",1050,160.180835223179,10.348731,"C8H18N2"
"1053_371.03_10.4",1053,371.033523951545,10.360648,NA
"1054_367.04_10.4",1054,367.042308094255,10.364782,"C13H11F3N4O3"
"1055_311.12_10.4",1055,311.122309761845,10.370391,"C10H20N6O3"
"1056_174.2_10.4",1056,174.196424357058,10.397798,"C9H20N2"
"1058_265.12_10.4",1058,265.117027757088,10.372612,NA
"1064_369.04_10.4",1064,369.037705970214,10.408551,"C18H10N4O3"
"1065_515.97_10.4",1065,515.971069759328,10.4285555,NA
"1066_368.04_10.4",1066,368.040307426216,10.427004,NA
"1067_370.04_10.4",1067,370.037031840766,10.426466,"C8H17N3O8S2"
"1068_266.11_10.4",1068,266.114571841721,10.428875,NA
"1074_516.97_10.4",1074,516.969011000335,10.442651,"C18H14N4O6S3"
"1077_517.97_10.5",1077,517.967058834362,10.451136,NA
"1079_310.95_10.5",1079,310.948047791849,10.45899,"C7H4ClF3N2O3S"
"108_786.6_0.7",108,786.601078745508,0.7020431,"C44H84NO8P"
"1081_263.1_10.5",1081,263.103817839233,10.465502,"C11H18N3O2"
"109_772.59_0.7",109,772.585616109437,0.70287555,"C48H79NO5"
"11_850.25_0.5",11,850.251414534821,0.47134376,NA
"1104_143.15_10.7",1104,143.154340052624,10.743841,"C8H15N"
"1105_160.18_10.8",1105,160.180809740801,10.751088,"C8H18N2"
"1108_208.09_11",1108,208.087022053356,11.039075,"C13H6N2"
"111_758.57_0.7",111,758.570056113688,0.71031934,"C40H82NO8P"
"1112_222.1_11.1",1112,222.102627650353,11.050099,"C14H8N2"
"1114_208.09_11.1",1114,208.087022030286,11.068689,"C10H16ClN"
"1117_161.18_11.3",1117,161.183840355155,11.283569,NA
"112_744.55_0.7",112,744.55447240636,0.71204513,"C39H80NO8P"
"1122_160.18_11.3",1122,160.180828233406,11.2833805,"C8H18N2"
"1124_143.15_11.3",1124,143.154358743386,11.279235,"C8H15N"
"1129_151.04_11.3",1129,151.035272316503,11.281667,NA
"1130_242_11.3",1130,241.999569498403,11.277787,"C9H5N3O2S"
"1131_265.02_11.3",1131,265.015623151307,11.278296,NA
"1132_218.98_11.3",1132,218.983691604521,11.279565,"C4H8N2O4S"
"1133_174.2_11.3",1133,174.19645772338,11.286511,"C9H20N2"
"1134_146.17_11.3",1134,146.16518418879,11.281065,"C7H16N2"
"1135_129.14_11.3",1135,129.138745050483,11.2820425,"C7H16N2"
"119_446.25_0.7",119,446.253680283246,0.7419734,"C25H32O6"
"12_197.08_0.5",12,197.08086733537,0.47501713,"C10H12O4"
"120_357.24_0.8",120,357.238343586777,0.75587773,"C18H29NO5"
"121_544.36_0.8",121,544.363761550283,0.7559148,"C32H46O6"
"122_184.13_0.8",122,184.133250613104,0.77035815,"C10H14O2"
"123_160.13_0.8",123,160.133256529337,0.7860444,"C8H14O2"
"127_343.22_0.8",127,343.222027483394,0.80078393,NA
"128_453.17_0.8",128,453.167374248359,0.7881619,NA
"13_760.59_0.5",13,760.586552407329,0.4701272,"C42H83NO11"
"130_168.12_0.8",130,168.123123959571,0.81864625,"C6H14O4"
"132_125.1_0.8",132,125.096238018811,0.83098686,"C8H14O2"
"133_124.11_0.8",133,124.112231351661,0.83236927,"C8H10"
"134_170.12_0.8",134,170.117573692979,0.83236927,"C9H12O2"
"137_346.26_0.9",137,346.258818863194,0.85020006,"C18H32O5"
"138_446.25_0.9",138,446.25362856823,0.8571239,"C25H32O6"
"139_299.16_0.9",139,299.159895829361,0.8783978,"C14H19NO5"
"140_317.17_0.9",140,317.17062327921,0.8834823,"C14H21NO6"
"143_156.1_0.9",143,156.101976448596,0.90381277,"C8H10O2"
"144_139.08_0.9",144,139.075373743407,0.91189945,"C8H10O2"
"145_174.11_0.9",145,174.112512812535,0.90372866,"C8H12O3"
"150_808.58_0.9",150,808.582539912211,0.9174051,"C46H82NO8P"
"151_814.63_0.9",151,814.632492370953,0.9218649,"C46H88NO8P"
"155_1586.21_0.9",155,1586.21005790856,0.9298337,NA
"156_1587.21_0.9",156,1587.21366758608,0.9298122,NA
"158_800.62_0.9",158,800.615825634026,0.93145597,"C45H86NO8P"
"159_1572.2_0.9",159,1572.19550590301,0.9317686,NA
"160_1573.2_0.9",160,1573.19871642026,0.9329028,NA
"161_786.6_0.9",161,786.601906298029,0.9349726,"C44H84NO8P"
"162_184.07_0.9",162,184.07337531132,0.93733597,"C7H15NO2"
"163_1545.17_0.9",163,1545.16769551209,0.9380374,NA
"164_1558.18_0.9",164,1558.17895719258,0.93908256,NA
"165_1559.18_0.9",165,1559.18199705712,0.9399982,NA
"166_1544.16_0.9",166,1544.16399980161,0.93924844,NA
"167_733.56_0.9",167,733.557896310423,0.94755155,NA
"169_758.57_0.9",169,758.570701851773,0.9413801,"C42H80NO8P"
"17_670.47_0.5",17,670.467957735151,0.48036534,"C40H60O7"
"170_772.59_0.9",170,772.586280204878,0.942401,"C43H82NO8P"
"171_1516.13_0.9",171,1516.13219222187,0.94310135,"C78H148N16O14"
"172_1532.16_0.9",172,1532.15941780345,0.94481766,NA
"173_1518.15_0.9",173,1518.14594138303,0.9454242,NA
"174_760.58_0.9",174,760.584042524756,0.9456087,"C42H82NO8P"
"175_744.55_0.9",175,744.554461880657,0.94789976,"C41H78NO8P"
"176_730.54_1",176,730.538994932772,0.9511101,"C40H76NO8P"
"177_123.06_1",177,123.055469933457,0.9515661,"C6H3NO"
"178_773.55_1",178,773.553598514702,0.9564101,"C45H74N4O5"
"179_814.59_1",179,814.594710453253,0.95211846,"C45H81O9P"
"18_1142.83_0.5",18,1142.82577330169,0.48102048,NA
"180_800.58_1",180,800.579638500856,0.9527524,"C44H84NO10P"
"181_801.58_1",181,801.582258019571,0.9557521,NA
"182_772.55_1",182,772.550718044305,0.9569169,NA
"185_816.57_1",185,816.571421645502,0.97727203,"C44H82NO10P"
"186_187.14_1",186,187.144141119346,0.9875838,"C9H15NO2"
"193_818.59_1",193,818.590185503462,1.0046645,"C44H84NO10P"
"2_880.72_0.5",2,880.71864493231,0.46513987,"C50H99NO9"
"212_1544.16_1.1",212,1544.16382696476,1.0769928,NA
"213_1545.17_1.1",213,1545.16751991924,1.0807861,NA
"215_184.07_1.1",215,184.073363090388,1.1090444,"C5H14NO4P"
"217_772.55_1.1",217,772.550059639676,1.1434094,"C44H70N2O8"
"218_730.54_1.1",218,730.53885889402,1.13701,"C40H73O8P"
"219_800.58_1.1",219,800.579380865327,1.1432211,"C46H74N2O8"
"220_801.58_1.1",220,801.582292077214,1.1478137,"C44H73N5O7"
"221_808.58_1.2",221,808.582439497762,1.1625377,"C44H84NO8P"
"226_816.57_1.3",226,816.573466134427,1.2537103,"C46H74N2O9"
"232_818.59_1.2",232,818.589864596159,1.2350702,"C44H84NO10P"
"233_799.57_1.3",233,799.567843155485,1.3049356,"C47H76N4O5"
"238_212.13_1.3",238,212.128212813687,1.279717,"C11H14O3"
"239_676.46_1.3",239,676.45522107326,1.3090572,"C42H58O6"
"240_816.57_1.3",240,816.573601523431,1.3175029,"C44H82NO10P"
"242_718.5_1.3",242,718.502280111982,1.318632,"C38H72NO9P"
"243_808.58_1.3",243,808.582491553242,1.2772952,"C43H74N4O9"
"244_704.49_1.3",244,704.486607139708,1.3352022,"C37H72NO10P"
"247_798.56_1.4",247,798.564009188162,1.3666687,NA
"248_298.09_1.4",248,298.089634677313,1.3644851,"C11H17NO7"
"249_276.11_1.4",249,276.107889800645,1.3644568,"C11H14O7"
"250_186.08_1.4",250,186.076119627151,1.3670741,"C8H8O4"
"252_138.05_1.4",252,138.05496866968,1.3662883,"C7H9NO3"
"253_690.47_1.4",253,690.470671869963,1.3851217,"C43H60O6"
"255_446.25_1.4",255,446.253765690764,1.3835596,"C25H32O6"
"256_799.57_1.4",256,799.567802837999,1.3590041,"C44H71N5O7"
"257_798.56_1.4",257,798.564093866013,1.383916,"C44H82NO10P"
"258_690.47_1.4",258,690.470590876211,1.3997381,"C36H70NO10P"
"26_654.33_0.5",26,654.332435657972,0.48810425,"C29H48O15"
"264_327.34_1.5",264,327.336840169993,1.5148609,"C20H39NO"
"265_712.3_1.5",265,712.301746715439,1.5242022,"C35H42N4O9S"
"267_298.1_1.5",267,298.096839731175,1.5424638,"C11H15N5O3S"
"268_325.32_1.5",268,325.32123801363,1.5459254,"C20H37NO"
"27_637.31_0.5",27,637.305538251967,0.48893395,"C29H48O15"
"270_718.47_1.6",270,718.46665514575,1.5952377,"C37H65O10P"
"272_470.49_1.6",272,470.493325102292,1.606422,"C30H60O2"
"273_397.34_1.6",273,397.342555507475,1.6070843,"C23H41NO3"
"274_786.6_1.6",274,786.601266691413,1.6234609,"C46H76N2O7"
"276_832.57_1.6",276,832.569251578603,1.6296965,"C46H83NO9"
"277_371.33_1.6",277,371.32685139241,1.6377276,"C21H39NO3"
"278_758.57_1.6",278,758.569488351501,1.6338567,"C42H80NO8P"
"279_718.47_1.6",279,718.466702956772,1.6089901,"C44H60O7"
"280_442.46_1.6",280,442.461674064267,1.6492269,"C28H59NO2"
"281_744.55_1.7",281,744.55444211913,1.6635165,"C41H78NO8P"
"282_1489.1_1.7",282,1489.10459482363,1.6672407,"C100H142O8"
"284_1488.1_1.7",284,1488.10109025414,1.6683602,NA
"285_1434.05_1.7",285,1434.05277172648,1.6931,"C84H146O16"
"287_1462.08_1.7",287,1462.08397959831,1.6874204,"C94H144N2O10"
"288_730.54_1.7",288,730.538620468236,1.6981525,"C40H76NO8P"
"289_250.09_1.7",289,250.093466992252,1.7066222,"C10H13N5O4"
"290_717.53_1.7",290,717.526349268996,1.7099999,NA
"291_718.54_1.7",291,718.537462372091,1.7086095,"C39H76NO8P"
"292_719.54_1.7",292,719.54159879568,1.7092842,NA
"293_744.55_1.7",293,744.554529531131,1.6689646,"C39H80NO8P"
"294_716.52_1.7",294,716.522984771286,1.715501,"C39H74NO8P"
"295_1406.02_1.7",295,1406.02268050076,1.7193737,"C85H136N4O12"
"296_1434.05_1.7",296,1434.05301575576,1.6943332,"C84H146O16"
"297_760.55_1.7",297,760.545127911287,1.7391715,"C41H78NO9P"
"298_703.51_1.7",298,703.509843326416,1.744498,NA
"299_705.53_1.7",299,705.525789390193,1.7358158,"C40H74O8"
"3_896.71_0.5",3,896.7131757349,0.46667564,"C50H99NO10"
"30_548.3_0.5",30,548.300934547647,0.48985967,"C33H38O6"
"300_549.49_1.7",300,549.487896648898,1.7379472,"C35H66O5"
"301_758.53_1.7",301,758.533104478313,1.7408271,"C41H76NO9P"
"302_704.52_1.7",302,704.521948428237,1.744852,"C38H74NO8P"
"303_1380.01_1.7",303,1380.0067981286,1.7430937,NA
"304_1377.99_1.7",304,1377.99168922165,1.7431898,"C74H142N2O16P2"
"305_1394.02_1.7",305,1394.02039956202,1.7432384,NA
"306_702.51_1.7",306,702.506463463598,1.7433583,"C38H72NO8P"
"307_759.54_1.7",307,759.536261483737,1.7378066,"C45H74O9"
"308_1379_1.8",308,1378.99546817511,1.7509878,"C92H133NO9"
"309_689.5_1.8",309,689.496659628339,1.7576939,"C40H66N4O4"
"31_425.36_0.5",31,425.36248051868,0.49033463,"C26H48O4"
"310_688.49_1.8",310,688.493124097852,1.7587707,"C37H70NO8P"
"311_690.51_1.8",311,690.50757800165,1.7599324,"C37H72NO8P"
"313_676.49_1.8",313,676.49234737749,1.7812836,"C36H70NO8P"
