	WT_vs_xthA1_fold_change_log2	WT_vs_xthA1_p_value	WT_vs_xthA2_fold_change_log2	WT_vs_xthA2_p_value	WT_vs_xthB1_fold_change_log2	WT_vs_xthB1_p_value	xthA1_vs_xthA2_fold_change_log2	xthA1_vs_xthA2_p_value	xthA1_vs_xthB1_fold_change_log2	xthA1_vs_xthB1_p_value	xthA2_vs_xthB1_fold_change_log2	xthA2_vs_xthB1_p_value
Fusaridioic acid C	-0.184983022443685	0.894795462210399	-0.0374030456230517	0.998751255223426	0.153285659113391	0.912536361763987	0.147579976820633	0.944282832141351	0.338268681557076	0.549045663124796	0.190688704736443	0.852267523512071
(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol	0.111109484298849	0.936784882992278	0.203832214678436	0.698702633185202	-0.117502047973827	0.940648025565207	0.0927227303795869	0.95324261416931	-0.228611532272676	0.671604217672066	-0.321334262652263	0.384303316695478
N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine	0	1	0	1	0.91203613242206	1.13994369499437e-11	0	1	0.91203613242206	1.13994369499437e-11	0.91203613242206	1.13994369499437e-11
1,2-dioleoyl-sn-glycero-3-phosphocholine(1+)	0.129579985509095	0.838050037136542	0.381601283292221	0.0814861821419322	-0.202804017351842	0.660503029800907	0.252021297783126	0.298582236507711	-0.332384002860937	0.24307138802155	-0.584405300644062	0.0108267407758829
(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid	-0.159141013540694	0.938320927918551	-0.00376911812291069	0.999998883436098	0.189713138636307	0.866071899550606	0.155371895417783	0.942417111878962	0.348854152177001	0.554851473785883	0.193482256759218	0.859798538495778
(E,E)-2-methyl-6-oxohepta-2,4-dienal	-0.110627132327949	0.946009828845897	-0.0462086678917177	0.995303722033663	0.35852252185561	0.212690743902625	0.0644184644362315	0.988882864077491	0.469149654183559	0.0890021206206304	0.404731189747328	0.148325942458044
(S)-3-Amino-5-methylhexanoic acid	0.00554928800784803	0.999672443363723	0.136644007978114	0.119004585179439	-0.771007851066597	1.47375906500713e-06	0.131094719970266	0.138811232553437	-0.776557139074445	1.33323781803529e-06	-0.90765185904471	1.37245528719632e-07
PC(17:1(9Z)/17:1(9Z))	-0.0255114745263389	0.974140880015465	0.0630639029254891	0.714315120102464	-0.764834514622754	2.24091506062507e-06	0.088575377451828	0.474079306465367	-0.739323040096415	3.56558220726555e-06	-0.827898417548243	7.33731714941399e-07
PC(22:1(11Z)/12:0)	-0.008069715945183	0.998819237074252	0.111125539707495	0.207943633855484	-0.694200889286721	1.84726571150762e-06	0.119195255652678	0.16607597750654	-0.686131173341538	2.16355239179844e-06	-0.805326428994216	2.29316130306856e-07
dioleoyl phosphatidylethanolamine	0.118382959322919	0.451755870879579	0.278156317324017	0.0116829128258185	-0.550141801760781	0.000522652763110365	0.159773358001098	0.159324772731233	-0.6685247610837	5.61497855720017e-05	-0.828298119084798	3.370438793171e-06
1,2-dipalmitoleoyl-sn-glycero-3-phosphocholine	-0.243630275159309	0.180651690782086	-0.260478451608594	0.14538853375504	-0.691281943025803	0.000834758767701782	-0.0168481764492847	0.999000210549847	-0.447651667866494	0.0347561569355574	-0.430803491417209	0.0442093258658799
phosphocholine	0.0916772633357529	0.899091523737852	-0.0769405503375632	0.945897543856094	-0.737232305247958	0.00578931029271246	-0.168617813673316	0.61762309128051	-0.828909568583711	0.00180582301555032	-0.660291754910395	0.0149614002757267
Thermophillin	-0.0909410329879188	0.702734347768055	-0.0640272016411938	0.864855641219724	0.764185982370858	1.69690754781016e-07	0.026913831346725	0.98861922202852	0.855127015358777	6.56179145464009e-08	0.828213184012052	8.58093021083306e-08
Oleoyl ethylamide	0	1	0	1	0.884984829901331	8.30409800922638e-08	0	1	0.884984829901331	8.30409800922638e-08	0.884984829901331	8.30409800922638e-08
5'-S-methyl-5'-thioadenosine	-0.0179859146460304	0.994642149653975	-0.0348861930336417	0.964313636063997	-0.762643562257996	1.77691726496176e-05	-0.0169002783876114	0.995696975907095	-0.744657647611965	2.42500702942738e-05	-0.727757369224354	3.25593721292039e-05
1,2-dioleoyl-sn-glycero-3-phospho-N-methylethanolamine zwitterion	0.0858367239841905	0.815631461591452	0.2366803163809	0.100671103375236	-0.523855488180123	0.0043981540485053	0.15084359239671	0.376153402348027	-0.609692212164313	0.00102071400125636	-0.760535804561023	8.19612661230318e-05
PE(17:0/18:2)	0.212588910752263	0.546339112094852	0.415157919746762	0.0610322584344538	-0.129630841228275	0.881070260202425	0.202569008994499	0.470125877812976	-0.342219751980538	0.209856727908602	-0.544788760975037	0.0169589781647402
adenosine	-0.0783002209279093	0.958602495984281	-0.165920704568229	0.741986541015975	-0.288956496737805	0.364266201295687	-0.0876204836403191	0.951797404583053	-0.210656275809895	0.634429747729629	-0.123035792169576	0.901467677886351
PE(17:1(9Z)/17:1(9Z))	-0.0273521274276186	0.991530968316027	-0.0283144365144886	0.990639513393719	0.810343496807071	4.40193893114227e-07	-0.000962309086870046	0.999999628153688	0.837695624234689	3.35236381765469e-07	0.838657933321559	3.32101993905098e-07
glycerol phenylbutyrate	0.224354572906825	0.753218754546191	0.192216812415125	0.831878229312651	0.417878275872891	0.243469616786116	-0.0321377604916997	0.998657575261646	0.193523702966066	0.754991822219293	0.225661463457766	0.668693089933279
PE(16:1(9Z)/17:1(9Z))	0	1	0	1	0.941317143777309	7.42743644366328e-11	0	1	0.941317143777309	7.42743644366328e-11	0.941317143777309	7.42743644366328e-11
1,2-di-[(9Z)-hexadecenoyl]-sn-glycero-3-phosphoethanolamine zwitterion	0	1	0	1	0.930225673587737	3.54605234065275e-12	0	1	0.930225673587737	3.54605234065275e-12	0.930225673587737	3.54605234065275e-12
PS(16:0/15:0)	0	1	0	1	0.824328621052148	5.23866903190395e-08	0	1	0.824328621052148	5.23866903190395e-08	0.824328621052148	5.23866903190395e-08
2-methyl-2E-heptenoic acid	0.202152594353138	0.430772085319733	0.238243165538802	0.289491207595811	-0.467249729012041	0.0577811580807002	0.0360905711856638	0.989755592449849	-0.669402323365179	0.00378889352339395	-0.705492894550843	0.00227091686908898
1,2-dioleoylglycerol	0.107220439414462	0.848129858257765	0.255423760577308	0.228741767399359	-0.467223373211132	0.0555396275508681	0.148203321162846	0.623782416262612	-0.574443812625594	0.0134893935961446	-0.722647133788439	0.00166666317759778
dioleoyl phosphatidylglycerol	0.0849942391603371	0.954257892803873	0.297599128921827	0.263491176356292	-0.402095723924022	0.221193740286526	0.21260488976149	0.50840237973232	-0.487089963084359	0.0980558138396521	-0.69969485284585	0.00830013620611381
R-(+)-N-[15-methyl-3-(13-methyl-4Z-tetradecenoyloxy)-hexadecanoyl]glycine methyl ester	0	1	6.2477264870624e-05	0.999999999460573	0.910681438787748	1.48559387014302e-10	6.2477264870624e-05	0.999999999460573	0.910681438787748	1.48559387014302e-10	0.910618961522878	1.48665524335456e-10
DG(20:0/14:1(9Z)/0:0)	0.0862518250552657	0.951004756221878	0.343865061280314	0.152498680599299	-0.261994129495006	0.511803496534489	0.257613236225049	0.331410604482298	-0.348245954550271	0.260897951181577	-0.60585919077532	0.0134776703861218
Enniatin-B2	0.00031689805673319	0.999999942581564	0.00799064657493292	0.999079905908544	0.926380432345458	2.79089196197901e-10	0.00767374851819952	0.999184287804757	0.926063534288725	2.80014789133531e-10	0.918389785770525	3.0341607004658e-10
S-(-)-N-[14-methyl-3-(13-methyl-4Z-tetradecenoyloxy)pentadecanoyl]glycine	0	1	0	1	0.833442330343606	2.99491153765707e-07	0	1	0.833442330343606	2.99491153765707e-07	0.833442330343606	2.99491153765707e-07
PG(16:1(9Z)/16:1(9Z))	0	1	0	1	0.738955528169951	2.89613879744799e-05	0	1	0.738955528169951	2.89613879744799e-05	0.738955528169951	2.89613879744799e-05
1,2-di-[(9Z)-hexadecenoyl]glycerol	0	1	0	1	0.755794514619188	9.11953968896206e-06	0	1	0.755794514619188	9.11953968896206e-06	0.755794514619188	9.11953968896206e-06
trans-urocanate	-0.0905661940148977	0.822302009560709	-0.0812301273534726	0.862606252572652	0.670926120790174	1.15088719262468e-05	0.0093360666614251	0.999752312658236	0.761492314805072	4.13824249545502e-06	0.752156248143647	4.56975277451921e-06
PC(O-16:0/3:1(2E))	0.0686788799529887	0.989828959933092	0.387054843184513	0.273292165032231	-0.0194327574744873	0.999781351028375	0.318375963231525	0.409379992794783	-0.088111637427476	0.979494548290558	-0.406487600659001	0.242427294731418
1-(9Z-nonadecenoyl)-glycero-3-phosphoethanolamine	0.00345730126985704	0.999996618288079	0.288320530721923	0.274933450459769	-0.377821805037825	0.245329689496101	0.284863229452066	0.283090207476208	-0.381279106307682	0.238014584632137	-0.666142335759749	0.00987921706932748
1-tetradecyl-2-acetyl-sn-glycero-3-phosphocholine	0.0179114150736707	0.999666012927978	0.382116038363449	0.146293374819307	-0.261865585210023	0.595535243737772	0.364204623289778	0.17014609396088	-0.279777000283694	0.540151746607172	-0.643981623573472	0.0166203735855792
4-(trimethylammonio)butanoate	0.125434595058557	0.921111492536094	0.380704315922482	0.211907776668572	-0.0697989963974154	0.987383777320668	0.255269720863925	0.489420547794896	-0.195233591455972	0.776951173326513	-0.450503312319897	0.127160346915685
maleamate	0.170293729188068	0.426566076735517	0.355648285453294	0.0191856398325088	-0.356599195333322	0.0720314983539505	0.185354556265226	0.262558597575516	-0.52689292452139	0.00465785726144952	-0.712247480786617	0.000208228257483456
hypoxanthine	0.504993785262964	0.00965535828629083	0.603960101838236	0.00194452010830592	0.434437297784512	0.0291843014029973	0.0989663165752716	0.784398721396604	-0.0705564874784528	0.919730508544252	-0.169522804053724	0.428875142077353
1-oleoyl phosphatidylethanolamine	0.0483464673592422	0.994212316712542	0.28537260661711	0.411990836045045	-0.433799607857753	0.276284555479631	0.237026139257868	0.548361380038693	-0.482146075216995	0.191027394576035	-0.719172214474863	0.0194354822210485
PE(17:1(9Z)/0:0)	0	1	0	1	0.875136830693675	1.68155578350593e-09	0	1	0.875136830693675	1.68155578350593e-09	0.875136830693675	1.68155578350593e-09
PE(16:1(9Z)/0:0)	0	1	0	1	0.955361507520135	1.07003295113373e-12	0	1	0.955361507520135	1.07003295113373e-12	0.955361507520135	1.07003295113373e-12
4-cyanobenzaldehyde	0.179962938271495	0.784688507411299	0.402364889053386	0.158691752972675	0.0447817890037615	0.995872455477712	0.222401950781891	0.559573511136236	-0.135181149267734	0.888602294850161	-0.357583100049625	0.22334721631099
1-hexadecanoyl-sn-glycero-3-phosphoethanolamine zwitterion	0	1	0	1	0.887708895558001	2.58527987906376e-09	0	1	0.887708895558001	2.58527987906376e-09	0.887708895558001	2.58527987906376e-09
(S,S)-3-oleoylglycero-1-phospho-1'-glycerol(1-)	-0.0551169043386543	0.989892393808755	0.296137383525325	0.303333681270399	-0.332899257142075	0.383123538702528	0.351254287863979	0.195275168123737	-0.277782352803421	0.545208183974971	-0.6290366406674	0.019741067499763
1-[(9E)-octadecenoyl]glycerol	-0.0623161057274313	0.975412972030179	0.268617627499043	0.243649703468986	-0.42441521432715	0.113784642872566	0.330933733226475	0.129024596480707	-0.362099108599719	0.217374967162004	-0.693032841826193	0.00365318753691657
2'-deoxyinosine	0.159154862939077	0.202263107266794	0.140105804097119	0.29777778226652	0.925111643547551	7.93046539548925e-09	-0.0190490588419582	0.993060929354902	0.765956780608474	3.77737501278119e-08	0.785005839450432	3.05647900322725e-08
1-[(9Z)-hexadecenoyl]glycerol	0	1	0	1	0.902737338020201	6.4520204734464e-09	0	1	0.902737338020201	6.4520204734464e-09	0.902737338020201	6.4520204734464e-09
2-aminopteridin-4-ol	0.0773620557039454	0.823709288841904	-0.0763850271606913	0.849730763911006	-0.861691424893558	6.94418705868838e-05	-0.153747082864637	0.37963688657201	-0.939053480597504	2.20228284935065e-05	-0.785306397732867	0.00022085634494029
5'-deoxy-5'-(methylsulfinyl)adenosine	-0.0973305548028517	0.630781258965237	-0.0808378356998546	0.745106858819688	-0.813930969107175	1.90742904810914e-05	0.0164927191029971	0.997015638152762	-0.716600414304323	9.67971879918261e-05	-0.73309313340732	7.31829772815384e-05
Lys-Met-His	-0.006050446695651	0.999989572447185	-0.0969336495070144	0.964689755911723	0.0944702718340259	0.960449173709149	-0.0908832028113633	0.970722933565417	0.100520718529677	0.953287158511968	0.19140392134104	0.77641138228301
2,6-dimethyl-4-[2-[3-[(2-methylpropan-2-yl)oxy]-3-oxoprop-1-enyl]phenyl]-3,4-dihydropyridine-3,5-dicarboxylic acid diethyl ester	-0.0924126427092246	0.983209136069304	-0.220992636035395	0.841708552111198	0.195070099501984	0.834168782640138	-0.128579993326171	0.965417715635332	0.287482742211209	0.637645661905832	0.41606273553738	0.381744492191483
Grandisin	0.0309739561156642	0.998564562589976	-0.0816560500551443	0.977985269445543	0.145832621355657	0.868338517771515	-0.112630006170808	0.944166672537229	0.114858665239993	0.927151945771502	0.227488671410801	0.660721579062281
5',6'-diamino-1,3'-bis(2-deoxy-beta-D-erythro-pentofuranosyl)-4',5'-dihydro[4,4'-bipyrimidine]-2,2'(1H,3'H)-dione	0	1	0	1	0.764088667483192	6.02766290027645e-05	0	1	0.764088667483192	6.02766290027645e-05	0.764088667483192	6.02766290027645e-05
2'-deoxycytidine	0.030651580086619	0.98664289122001	0.0199464965768809	0.996250222782763	0.816980628729274	3.04995440680855e-07	-0.0107050835097381	0.999392330648902	0.786329048642655	4.18699392934485e-07	0.797034132152393	3.74241462375302e-07
cyclo(L-His-L-Pro)	0.000735192810849853	0.999999781913817	0.00687046214162169	0.999821376822599	0.812862581118357	1.89316076482093e-07	0.00613526933077206	0.999872631763454	0.812127388307507	1.90752089457291e-07	0.805992118976735	2.03230973050417e-07
9H-xanthine	0.0789847975416067	0.876875514025602	0.0567941452180172	0.949629249870961	0.815921012896525	1.73928039437499e-06	-0.0221906523235895	0.996366670657405	0.736936215354918	3.9549514128101e-06	0.759126867678508	3.109645380861e-06
N-acetyl-D-muramic acid	-0.485746380856447	0.0984490956103998	-0.233776538867361	0.554220498722717	-0.463530881401455	0.116006222203869	0.251969841989086	0.623762713436235	0.0222154994549915	0.999625084205403	-0.229754342534094	0.681662450780292
2'-deoxyguanosine	0.021369404697659	0.997218668973758	0.0233472828405801	0.996377761665673	0.862195353439604	9.09170547513938e-07	0.00197787814292113	0.999997700348171	0.840825948741945	1.11083938469925e-06	0.838848070599024	1.13197296292e-06
Ethynylbenzene	0.0354509239941056	0.98430571386202	0.00853506970147906	0.999775190989607	0.711972195518589	5.57528197497881e-06	-0.0269158542926266	0.992901918049436	0.676521271524484	8.45144032557421e-06	0.70343712581711	6.14998417747259e-06
D-phenylalanine	0.0338906352849066	0.986834315719702	0.00444483527310705	0.999969717260184	0.702930475485988	7.74137952253007e-06	-0.0294458000117994	0.991217730415467	0.669039840201081	1.15541661516172e-05	0.698485640212881	8.1493113844866e-06
N-(D-ribulosyl)-cadaverine(2+)	-0.11006856825688	0.376261659271028	-0.1580526474151	0.136653308174901	-0.9221900627301	8.30820371278129e-07	-0.0479840791582199	0.898195733649394	-0.81212149447322	5.09787222091607e-06	-0.764137415315	1.1624690806844e-05
glycine betaine	-0.0138934050652889	0.96281300051672	-0.0658619001593289	0.17305587205512	-0.8463307192011	2.3700641449409e-10	-0.0519684950940402	0.345278264626161	-0.832437314135811	3.18904902485428e-10	-0.780468819041771	9.16253739546846e-10
N2-Acetyl-L-glutaminyl-L-glutamamide	0.0651397955916744	0.930077063065744	0.0345845722648799	0.988601399199941	-0.60791846196422	0.0036977957583797	-0.0305552233267945	0.991517595534268	-0.673058257555894	0.00136019489506434	-0.6425030342291	0.0021757920235681
(E)-3-(indol-3-yl)acrylate(1-)	0.282422123628118	0.422241729231662	0.596411542610436	0.0127212643468246	0.383097992213701	0.170487603207546	0.313989418982319	0.187575876815956	0.100675868585583	0.915517002727676	-0.213313550396736	0.454686974727345
(2E,4E,12Z)-N-Isobutyl-2,4,12-octadecatrienamide	0	1	0	1	0.793574443540684	1.41746722537306e-06	0	1	0.793574443540684	1.41746722537306e-06	0.793574443540684	1.41746722537306e-06
Ala-His	0.0428976910804286	0.98786417376191	0.193343427018071	0.450765303364268	0.741586862186975	5.80264855618573e-05	0.150445735937643	0.633428728511049	0.698689171106547	9.06897744582524e-05	0.548243435168904	0.000544218407578567
2-hydroxy-4-(methylthio)butanoic acid	0.0755576865517084	0.95414314560028	0.169604460937896	0.642655958931185	0.646735491979144	0.000786986043443294	0.0940467743861878	0.903229496797102	0.571177805427436	0.00181166530884413	0.477131031041248	0.00569949156681926
Cyclo(Ala-Ile)	0.0487494165160773	0.985746072596884	-0.0513778691162757	0.984992414534884	-0.531095113117837	0.0433762998286887	-0.100127285632353	0.900051096784943	-0.579844529633915	0.0239419692340379	-0.479717244001562	0.0785650986370569
N-ribosylnicotinamide	0.0939267741462698	0.959537644827398	0.639286394789065	0.00728765780116913	-0.0237196303954194	0.999360403802409	0.545359620642795	0.0171746496463315	-0.117646404541689	0.926799729430623	-0.663006025184484	0.00593238073813307
ubiquinone-8	0	1	0	1	0.956184769178723	4.34652314140749e-13	0	1	0.956184769178723	4.34652314140749e-13	0.956184769178723	4.34652314140749e-13
Val-Ala-Ala	-0.0811501331380655	0.985358232290009	-0.230479429323997	0.790909438155895	0.213425122609133	0.751368146953505	-0.149329296185931	0.935004151068656	0.294575255747199	0.553810358045416	0.44390455193313	0.267062459100338
L-ornithine	0	1	0	1	0.9226620583648	2.12574402524979e-12	0	1	0.9226620583648	2.12574402524979e-12	0.9226620583648	2.12574402524979e-12
Ile-Ser-Thr	0.0522223730618012	0.995216217567599	0.378257409567438	0.275997165370858	-0.0315495387826901	0.999016907375673	0.326035036505637	0.378744460369492	-0.0837719118444911	0.981606300230736	-0.409806948350128	0.226080480389999
5-methyl-N-(5-methyl-3-isoxazolyl)-3-isoxazolecarboxamide	0.170088827721707	0.736518824071501	0.366293860510296	0.135089371483119	0.723830714002863	0.00085347905912958	0.196205032788589	0.552610067171318	0.553741886281156	0.00469425841821247	0.357536853492566	0.0490292912006742
N(1)-acetylspermidine	0.157887516476128	0.817521115355365	0.214723985064943	0.629943134952437	-0.433549429310368	0.254055738314588	0.0568364685888147	0.985896434357526	-0.591436945786496	0.0624727379273959	-0.648273414375311	0.0347465770574178
