"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","WT_vs_xthA1_p_value","WT_vs_xthA2_p_value","WT_vs_xthB1_p_value","xthA1_vs_xthA2_p_value","xthA1_vs_xthB1_p_value","xthA2_vs_xthB1_p_value","WT_vs_xthA1_p_value_minus_log10","WT_vs_xthA2_p_value_minus_log10","WT_vs_xthB1_p_value_minus_log10","xthA1_vs_xthA2_p_value_minus_log10","xthA1_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_p_value_minus_log10","xthA2_vs_xthB1_fold_change","xthA1_vs_xthB1_fold_change","WT_vs_xthB1_fold_change","xthA1_vs_xthA2_fold_change","WT_vs_xthA2_fold_change","WT_vs_xthA1_fold_change","xthA2_vs_xthB1_fold_change_log2","xthA1_vs_xthB1_fold_change_log2","WT_vs_xthB1_fold_change_log2","xthA1_vs_xthA2_fold_change_log2","WT_vs_xthA2_fold_change_log2","WT_vs_xthA1_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescoreapproximate","sirius_confidencescoreexact","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","WT","WT.pval","xthA1","xthA1.pval","xthA2","xthA2.pval","xthB1","xthB1.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
31,"31_425.36_0.5","NA_[31_425.36_0.5]",425.36248051868,0.49033463,0.0154451208863956,0.0209172724008415,0.000350541352638012,0.998053932276533,0.15618056596729,0.118291740115518,1.81120868819846,1.67949494783987,3.45526074185381,0.000845989917801663,0.806373007707496,0.927045579526677,0.762577642532486,0.775537319859313,0.571210817597043,1.01699456764007,0.749052667870092,0.736535564401549,-0.391043860545516,-0.366731887603452,-0.807904793486334,0.0243119729420638,-0.416860932940818,-0.441172905882882,NA,NA,NA,0.611,0.611,-88.071,85.471,0.647,"InChI=1S/C26H48O4/c1-21(2)15-9-5-7-13-19-29-25(27)23-17-11-12-18-24(23)26(28)30-20-14-8-6-10-16-22(3)4/h21-24H,5-20H2,1-4H3","HORIEOQXBKUKGQ","C26H48O4","[M + H]+","CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C","Fatty acids","Wax monoesters","Fatty esters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5232010066502,0.0239520958083832,2.5173603022098,0.139720558882236,1.3541670899407,0.229540918163673,8.51264758110259,0.00598802395209581,8.26128169685509,0.00598802395209581,1.1752963980464,0.205588822355289
396,"396_252.11_2.2","NA_[396_252.11_2.2]",252.109113274438,2.1640906,0.0292788870885758,0.731676013543897,0.0807135823773726,0.167848629613619,0.933756627727394,0.388896991891857,1.53344543514357,0.135681182162557,1.09305337661375,0.7750822001632,0.0297663025792548,0.410165416096099,1.24682954182643,0.934126072879154,1.47567917817803,0.749201106921792,1.1835452471044,1.57974305719752,0.318264243057618,-0.098310820709278,0.561379104622604,-0.416575063766896,0.243114861564986,0.659689925331882,"1,6-Hexanedithiol diacetate",NA,NA,0.018,0.018,-100.063,6.456,0.085,"InChI=1S/C10H18O2S2/c1-9(11)13-7-5-3-4-6-8-14-10(2)12/h3-8H2,1-2H3","CFIOOCBLOLNSED","C10H18O2S2","[M + H3N + H]+","CC(=O)SCCCCCCSC(=O)C","Fatty acids","Thia fatty acids","Monoterpenoids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6412505168446,0.0698602794411178,4.88291925798154,0.0399201596806387,-1.62516176858409,0.676646706586826,0.127517416083445,0.401197604790419,3.97220122614633,0.0878243512974052,0.946333488733489,0.646706586826347
472,"472_159.03_2.7","NA_[472_159.03_2.7]",159.027761633326,2.6949923,0.0113189233068941,0.00441546642103707,0.680211806819428,0.946323324575187,0.080317493587979,0.0314497096544174,1.94619488269844,2.35502341363035,0.167355834043955,0.0239604554711072,1.09518985271268,1.50238335963259,0.741964867477802,0.775632975732853,1.13795016127119,1.04537695749598,1.53369817244781,1.46712452522535,-0.430577218978651,-0.366553954522918,0.186437373407739,0.0640232644557332,0.617014592386391,0.552991327930658,NA,NA,NA,0.03,0.03,-138.567,19.79,0.225,"InChI=1S/C4H6BNO3S/c5-4(7)6-10(8,9)3-1-2-3/h3H,1-2H2,(H,6,7)","LBNHMGMYDHLIKE","C4H6BNO3S","[M + H]+","[B]C(=O)NS(=O)(=O)C1CC1","Amino acids and Peptides","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91667771633727,0.0459081836327345,-0.117042750532462,0.441117764471058,1.63140271116533,0.211576846307385,-0.470464530781364,0.481037924151697,2.82712696793596,0.141716566866267,0.920602852702853,0.477045908183633
475,"475_137.05_2.7","hypoxanthine_[475_137.05_2.7]",137.045819042555,2.6970472,0.00965535828629083,0.00194452010830592,0.0291843014029973,0.784398721396604,0.919730508544252,0.428875142077353,2.01523160599934,2.71118756144882,1.53485069812064,0.105463122922219,0.0363394072167298,0.36766912506308,0.889136729643767,0.952270610015007,1.35138364269053,1.07100581751531,1.51988282300739,1.41911724301691,-0.169522804053724,-0.0705564874784528,0.434437297784512,0.0989663165752716,0.603960101838236,0.504993785262964,"Sarkin","hypoxanthine","CHEBI:17368",0.849,0.849,-20.931,52.592,0.014,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)","FDGQSTZJBFJUBT","C5H4N4O","[M + H]+","C1=NC2=C(N1)C(=O)N=CN2","Alkaloids","Purine alkaloids","Pseudoalkaloids (transamidation)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.89958751513547,0.00199600798403194,-0.848460263317647,0.578842315369261,0.242549893096765,0.359281437125749,2.16036152376747,0.159680638722555,5.00128734460637,0.031936127744511,0.863725752025752,0.483033932135729
476,"476_138.04_2.7","NA_[476_138.04_2.7]",138.042707888246,2.6970541,0.0100082276261995,0.00206377896028842,0.028402566580502,0.79234969559315,0.931400149582786,0.456002454589528,1.99964282564895,2.6853368193838,1.54664241342531,0.10108310458705,0.0308636966556246,0.341032819590349,0.89367549758052,0.955460809768767,1.34716991313459,1.06913618237886,1.50744863967048,1.4099687808866,-0.162177025243268,-0.0657313956373039,0.429931823611795,0.0964456296059643,0.592108848855064,0.495663219249099,"chloro (NZ,1Z)-N-ethylidenemethanehydrazonate",NA,NA,0.007,0.007,-70.358,31.203,0.047,"InChI=1S/C3H5ClN2O/c1-2-5-6-3-7-4/h2-3H,1H3","YFWLERXHLQLIOB","C3H5ClN2O","[M + H3N + H]+","CC=NN=COCl","Alkaloids","Halogenated fatty acids","Histidine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.96176647611682,0.00199600798403194,-1.20917091390778,0.63872255489022,2.43831936494108,0.127744510978044,2.4188727028677,0.159680638722555,5.77217199997212,0.0139720558882236,0.911527994227994,0.439121756487026
477,"477_138.05_2.7","NA_[477_138.05_2.7]",138.048885048563,2.698066,0.00812404327648453,0.00193236654878415,0.0417267567843386,0.832363471324376,0.786405682072377,0.328188850162416,2.09022777179008,2.71391048919639,1.37958536955147,0.0796869872666981,0.104353357226068,0.483876177686314,0.873046741043185,0.928979429290894,1.33500832147803,1.06406608674912,1.52913728293958,1.43706984179086,-0.195869200178047,-0.106281444015267,0.41684873466015,0.0895877561627799,0.612717934838197,0.523130178675418,"(Z)-fluoro(prop-1-en-2-ylsulfanyl)diazene",NA,NA,0.023,0.023,-47.396,11.052,0.184,"InChI=1S/C3H5FN2S/c1-3(2)7-6-5-4/h1H2,2H3","MXNWHAZAOVCVNE","C3H5FN2S","[M + H3N + H]+","CC(=C)SN=NF","Alkaloids","Pyridine alkaloids","Fatty acyls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47312837018194,0.00199600798403194,-1.58843195112001,0.70059880239521,0.454463301766435,0.337325349301397,0.0764723584982697,0.373253493013972,3.85460394853056,0.0558882235528942,0.916489316239316,0.353293413173653
537,"537_275.08_3","2'-deoxyinosine_[537_275.08_3]",275.07504327414,3.0099168,0.0255980323189515,0.0942204612688581,3.28982747710427e-08,0.871873865888957,6.51726846601086e-07,3.13134251084257e-07,1.59179341694849,1.02585477394591,7.48282687642881,0.0595463399650044,6.18593438873194,6.50426942601664,1.58847709837509,1.5305840198424,1.82514270861484,0.963554351150607,1.14898899737481,1.19244855882055,0.667644290366881,0.614082242305561,0.86800927328668,-0.0535620480613209,0.200364982919798,0.253927030981119,"Deoxyinosine","2'-deoxyinosine","CHEBI:28997",0.934,0.875,-38.108,18.866,0.77,"InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)","VGONTNSXDCQUGY","C10H12N4O4","[M + Na]+","C1C(C(OC1N2C=NC3=C2N=CNC3=O)CO)O","Carbohydrates","Purine nucleosides","Nucleosides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55011093496964,0.0279441117764471,0.925236503650265,0.311377245508982,0.381369752912315,0.377245508982036,9.00918616454473,0.00199600798403194,7.81282767186454,0.00798403193612774,1.3227134032634,0.0778443113772455
700,"700_146.09_4.4","NA_[700_146.09_4.4]",146.092402242703,4.4166703,0.00500694834941462,0.182186189956527,0.000221849451442213,0.206711689324515,0.262775085467906,0.00764930898934157,2.30042688866499,0.739484546424409,3.65394164080776,0.684634963790743,0.580415813985704,2.11637779565299,1.32925419176315,1.13489205112553,1.61709210105262,0.853781058700434,1.21654090773088,1.4248862695345,0.41061701592339,0.182555077505308,0.693401849465818,-0.228061938418082,0.282784833542428,0.51084677196051,"2-methylbut-2-enediamide",NA,NA,0.051,0.051,-114.342,91.559,1,"InChI=1S/C5H8N2O2/c1-3(5(7)9)2-4(6)8/h2H,1H3,(H2,6,8)(H2,7,9)","HWYGBPPFPNZPGQ","C5H8N2O2","[M + H3N + H]+","CC(=CC(=O)N)C(=O)N","Amino acids and Peptides","Aminoacids","Small peptides","145.085126592","InChI=1S/C5H11N3O2/c6-5(7)8-3-1-2-4(9)10/h1-3H2,(H,9,10)(H4,6,7,8)","TUHVEAJXIMEOSA-UHFFFAOYSA-N","TUHVEAJXIMEOSA","N=C(N)NCCCC(=O)O","C5H11N3O2","4-Guanidinobutyrate","http://www.wikidata.org/entity/Q27457468","Amino acids and Peptides","Small peptides","nan","nan","nan","Salmonella enterica","['Bacteria']","['Unknown']","['Proteobacteria']","['Gammaproteobacteria']","['Enterobacteriales']","['Enterobacteriaceae']","['Unknown']","['Salmonella']","['Salmonella enterica']","nan","338023.0","http://www.wikidata.org/entity/Q2264864",2,6.67491239234977,0.00598802395209581,3.09124993201766,0.093812375249501,1.44761701234389,0.255489021956088,5.42292951404978,0.0179640718562874,6.97556223331803,0.0139720558882236,1.26570147630148,0.19560878243513
858,"858_253.08_6.3","NA_[858_253.08_6.3]",253.081881623925,6.280925,0.0372836645033036,0.00575898634705518,0.641798196690028,0.713006520763313,0.261524717857081,0.0462033381813282,1.42848140867454,2.23965395105954,0.192601507509555,0.146906498312826,0.582487257765653,1.33532664562662,0.771048633069606,0.839287869169987,1.133292481397,1.08850185730661,1.46980674472539,1.35030246835066,-0.375106235427236,-0.252762366233918,0.180520241569875,0.122343869193319,0.555626476997111,0.433282607803792,"3-[[(Z)-3-carboxylatoprop-2-enoyl]amino]benzoate",NA,NA,0.145,0.351,-107.687,26.704,0.99,"InChI=1S/C11H9NO5/c13-9(4-5-10(14)15)12-8-3-1-2-7(6-8)11(16)17/h1-6H,(H,12,13)(H,14,15)(H,16,17)","UXIAYWKXDXAWJB","C11H9NO5","[M + H3N + H]+","C1=CC(=CC(=C1)NC(=O)C=CC(=O)O)C(=O)O","Alkaloids","Anthranillic acid derivatives","Anthranilic acid alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.18811195096777,0.0199600798403194,-1.10133342064713,0.614770459081836,0.406961612714581,0.343313373253493,1.0168485405045,0.259481037924152,2.95970370776844,0.105788423153693,0.85024484959485,0.788423153692615
865,"865_168.07_6.5","NA_[865_168.07_6.5]",168.074164284922,6.524923,0.00471360009303323,0.0699382191626815,1,0.439266542552315,0.00471360009303323,0.0699382191626814,2.32664726626571,1.15528543032914,0,0.357271874217628,2.32664726626571,1.15528543032914,0.719557500365997,0.62192910094708,1,0.864321615202038,1.38974300106851,1.60790031930841,-0.474818116499596,-0.685177970386862,0,-0.210359853887267,0.474818116499596,0.685177970386862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"167.058243148","InChI=1S/C8H9NO3/c1-12-5-2-3-6(8(9)11)7(10)4-5/h2-4,10H,1H3,(H2,9,11)","BCYRZPCPWKCINY-UHFFFAOYSA-N","BCYRZPCPWKCINY","COc1ccc(C(N)=O)c(O)c1","C8H9NO3","4-Methoxysalicylamide","http://www.wikidata.org/entity/Q72486046","Alkaloids","Peptide alkaloids","Alkaloids","Peptide alkaloids","Simple amide alkaloids","Streptomyces","['Bacteria']","['Unknown']","['Actinobacteria']","['Unknown']","['Streptomycetales']","['Streptomycetaceae']","['Unknown']","['Streptomyces']","['Unknown']","nan","772892.0","http://www.wikidata.org/entity/Q1144013",1,3.41132760712283,0.0199600798403194,2.89139182882258,0.0379241516966068,-2.44308305180219,0.898203592814371,4.94842634623322,0.0119760479041916,4.11566382726641,0.0359281437125748,0.487583849483849,0.419161676646707
